method,missed_branch,covered_branch,total_branch
org.apache.commons.cli.CommandLine.getParsedOptionValue,1,3,4
org.apache.commons.cli.AmbiguousOptionException.createMessage,4,0,4
org.apache.commons.cli.Parser.processOption,1,3,4
org.apache.commons.cli.PosixParser.processNonOptionToken,2,4,6
org.apache.commons.cli.CommandLine.getArgList,0,0,0
org.apache.commons.cli.DefaultParser.<init>,0,0,0
org.apache.commons.cli.Parser.getRequiredOptions,0,0,0
org.apache.commons.cli.PatternOptionBuilder.<init>,0,0,0
org.apache.commons.cli.Parser.updateRequiredOptions,0,6,6
org.apache.commons.cli.Option.getValueSeparator,0,0,0
org.apache.commons.cli.DefaultParser.isOption,1,3,4
org.apache.commons.cli.Option.setArgs,0,0,0
org.apache.commons.cli.CommandLine$Builder.build,0,0,0
org.apache.commons.cli.CommandLine.getOptionValues,0,8,8
org.apache.commons.cli.HelpFormatter.setLeftPadding,0,0,0
org.apache.commons.cli.OptionGroup.addOption,0,0,0
org.apache.commons.cli.HelpFormatter.getLongOptSeparator,0,0,0
org.apache.commons.cli.CommandLine.getOptionValue,0,4,4
org.apache.commons.cli.TypeHandler.createNumber,0,2,2
org.apache.commons.cli.OptionGroup.<init>,0,0,0
org.apache.commons.cli.Option.clearValues,0,0,0
org.apache.commons.cli.HelpFormatter.setLongOptPrefix,0,0,0
org.apache.commons.cli.Options.addOptionGroup,0,4,4
org.apache.commons.cli.CommandLine.iterator,0,0,0
org.apache.commons.cli.DefaultParser.handleLongOptionWithoutEqual,4,0,4
org.apache.commons.cli.Option.requiresArg,3,1,4
org.apache.commons.cli.TypeHandler.createURL,0,0,0
org.apache.commons.cli.Option.processValue,1,5,6
org.apache.commons.cli.MissingArgumentException.getOption,0,0,0
org.apache.commons.cli.Option$Builder.required,0,0,0
org.apache.commons.cli.MissingArgumentException.<init>,0,0,0
org.apache.commons.cli.Parser.<init>,0,0,0
org.apache.commons.cli.DefaultParser.handleConcatenatedOptions,8,4,12
org.apache.commons.cli.Option.<init>,0,2,2
org.apache.commons.cli.AlreadySelectedException.<init>,0,0,0
org.apache.commons.cli.BasicParser.<init>,0,0,0
org.apache.commons.cli.DefaultParser.isNegativeNumber,0,0,0
org.apache.commons.cli.HelpFormatter.setDescPadding,0,0,0
org.apache.commons.cli.Option.setValueSeparator,0,0,0
org.apache.commons.cli.Options.getOptions,0,0,0
org.apache.commons.cli.BasicParser.flatten,0,0,0
org.apache.commons.cli.HelpFormatter.setWidth,0,0,0
org.apache.commons.cli.UnrecognizedOptionException.getOption,0,0,0
org.apache.commons.cli.Option.getType,0,0,0
org.apache.commons.cli.OptionBuilder.create,0,2,2
org.apache.commons.cli.PatternOptionBuilder.<clinit>,0,0,0
org.apache.commons.cli.CommandLine.resolveOption,0,6,6
org.apache.commons.cli.TypeHandler.createValue,1,17,18
org.apache.commons.cli.OptionValidator.isValidOpt,0,6,6
org.apache.commons.cli.HelpFormatter.setOptionComparator,0,0,0
org.apache.commons.cli.DefaultParser.checkRequiredArgs,1,3,4
org.apache.commons.cli.PatternOptionBuilder.getValueClass,1,9,10
org.apache.commons.cli.PosixParser.gobble,3,1,4
org.apache.commons.cli.TypeHandler.createFiles,0,0,0
org.apache.commons.cli.CommandLine.getOptionObject,0,0,0
org.apache.commons.cli.MissingOptionException.getMissingOptions,0,0,0
org.apache.commons.cli.Option.acceptsArg,5,5,10
org.apache.commons.cli.Options.getOption,0,2,2
org.apache.commons.cli.HelpFormatter.printUsage,0,10,10
org.apache.commons.cli.HelpFormatter.rtrim,1,7,8
org.apache.commons.cli.Option$Builder.<init>,0,0,0
org.apache.commons.cli.Option.hasArgName,0,4,4
org.apache.commons.cli.Option$Builder.desc,0,0,0
org.apache.commons.cli.Option.getOpt,0,0,0
org.apache.commons.cli.Option.clone,0,0,0
org.apache.commons.cli.OptionGroup.toString,1,7,8
org.apache.commons.cli.OptionBuilder.hasOptionalArg,0,0,0
org.apache.commons.cli.AmbiguousOptionException.<init>,0,0,0
org.apache.commons.cli.Option.builder,0,0,0
org.apache.commons.cli.OptionBuilder.withValueSeparator,0,0,0
org.apache.commons.cli.AmbiguousOptionException.getMatchingOptions,0,0,0
org.apache.commons.cli.Option.getValuesList,0,0,0
org.apache.commons.cli.Option.setOptionalArg,0,0,0
org.apache.commons.cli.ParseException.<init>,0,0,0
org.apache.commons.cli.Option$Builder.argName,0,0,0
