method,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.cli.CommandLine.getParsedOptionValue,75.0,75.0,0.0
org.apache.commons.cli.Util.stripLeadingAndTrailingQuotes,100.0,50.0,50.0
org.apache.commons.cli.Parser.processOption,75.0,25.0,50.0
org.apache.commons.cli.Option.add,100.0,50.0,50.0
org.apache.commons.cli.Parser.parse,78.57143,64.28571,14.285713
org.apache.commons.cli.Option.hasArg,100.0,100.0,0.0
org.apache.commons.cli.MissingOptionException.createMessage,100.0,16.666668,83.33333
org.apache.commons.cli.Parser.processArgs,100.0,70.0,30.0
org.apache.commons.cli.GnuParser.flatten,85.0,75.0,10.0
org.apache.commons.cli.Options.addOption,100.0,33.333336,66.666664
org.apache.commons.cli.Parser.updateRequiredOptions,100.0,16.666668,83.33333
org.apache.commons.cli.Parser.processProperties,50.0,26.923079,23.076921
org.apache.commons.cli.Util.stripLeadingHyphens,100.0,100.0,0.0
org.apache.commons.cli.DefaultParser.isOption,75.0,75.0,0.0
org.apache.commons.cli.DefaultParser.isJavaProperty,50.0,50.0,0.0
org.apache.commons.cli.CommandLine.getOptionValues,100.0,75.0,25.0
org.apache.commons.cli.CommandLine.getOptionValue,100.0,75.0,25.0
org.apache.commons.cli.TypeHandler.createNumber,100.0,100.0,0.0
org.apache.commons.cli.HelpFormatter.findWrapPos,81.818184,77.27273,4.545456
org.apache.commons.cli.Options.addOptionGroup,100.0,50.0,50.0
org.apache.commons.cli.CommandLine.getOptionProperties,100.0,70.0,30.0
org.apache.commons.cli.OptionValidator.validateOption,100.0,30.000002,70.0
org.apache.commons.cli.Option.hasArgs,100.0,100.0,0.0
org.apache.commons.cli.DefaultParser.isLongOption,50.0,50.0,0.0
org.apache.commons.cli.Option.hasLongOpt,100.0,50.0,50.0
org.apache.commons.cli.Option.processValue,83.33333,83.33333,0.0
org.apache.commons.cli.Option.getValue,100.0,100.0,0.0
org.apache.commons.cli.DefaultParser.handleConcatenatedOptions,33.333336,25.0,8.333336
org.apache.commons.cli.Option.<init>,100.0,50.0,50.0
org.apache.commons.cli.PatternOptionBuilder.parsePattern,100.0,78.57143,21.428574
org.apache.commons.cli.Option.getKey,100.0,100.0,0.0
org.apache.commons.cli.OptionGroup.setSelected,83.33333,50.0,33.33333
org.apache.commons.cli.DefaultParser.handleToken,70.0,60.000004,9.999996
org.apache.commons.cli.DefaultParser.handleOption,100.0,100.0,0.0
org.apache.commons.cli.OptionBuilder.create,100.0,50.0,50.0
org.apache.commons.cli.Option.getValues,100.0,100.0,0.0
org.apache.commons.cli.Option.hasValueSeparator,100.0,100.0,0.0
org.apache.commons.cli.CommandLine.resolveOption,100.0,100.0,0.0
org.apache.commons.cli.TypeHandler.createValue,94.44444,83.33333,11.1111145
org.apache.commons.cli.OptionValidator.isValidOpt,100.0,50.0,50.0
org.apache.commons.cli.PosixParser.burstToken,60.000004,50.0,10.000004
org.apache.commons.cli.DefaultParser.isArgument,75.0,75.0,0.0
org.apache.commons.cli.DefaultParser.getLongPrefix,75.0,75.0,0.0
org.apache.commons.cli.Option$Builder.hasArg,100.0,100.0,0.0
org.apache.commons.cli.Options.hasOption,100.0,100.0,0.0
org.apache.commons.cli.Option.acceptsArg,50.0,30.000002,19.999998
org.apache.commons.cli.Options.getOption,100.0,100.0,0.0
org.apache.commons.cli.HelpFormatter.printUsage,100.0,10.0,90.0
org.apache.commons.cli.HelpFormatter.rtrim,87.5,75.0,12.5
org.apache.commons.cli.DefaultParser.isShortOption,66.66667,66.66667,0.0
org.apache.commons.cli.Option.hasArgName,100.0,100.0,0.0
org.apache.commons.cli.DefaultParser.handleShortAndLongOption,37.5,37.5,0.0
org.apache.commons.cli.PosixParser.flatten,73.07692,65.38461,7.6923065
org.apache.commons.cli.HelpFormatter.printHelp,100.0,7.1428576,92.85714
org.apache.commons.cli.PatternOptionBuilder.isValueCode,100.0,100.0,0.0
org.apache.commons.cli.Option.equals,72.22222,55.555557,16.666664
org.apache.commons.cli.Parser.checkRequiredOptions,100.0,50.0,50.0
org.apache.commons.cli.Options.getMatchingOptions,100.0,83.33333,16.666672
org.apache.commons.cli.DefaultParser.parse,66.66667,50.0,16.666672
org.apache.commons.cli.OptionGroup.toString,87.5,12.5,75.0
