class,sc,omc_sc,cov_gap
org.apache.commons.cli.PatternOptionBuilder,97.61904,66.66667,30.95237
org.apache.commons.cli.Options,89.28571,67.85714,21.428574
org.apache.commons.cli.Parser,89.88764,73.03371,16.853935
org.apache.commons.cli.HelpFormatter,97.126434,30.45977,66.666664
org.apache.commons.cli.MissingOptionException,100.0,61.538464,38.461536
org.apache.commons.cli.TypeHandler,97.560974,73.17073,24.390244
org.apache.commons.cli.DefaultParser,49.142857,39.42857,9.714287
org.apache.commons.cli.GnuParser,80.769226,80.769226,0.0
org.apache.commons.cli.AlreadySelectedException,100.0,66.66667,33.33333
org.apache.commons.cli.ParseException,100.0,100.0,0.0
org.apache.commons.cli.OptionBuilder,95.0,50.0,45.0
org.apache.commons.cli.OptionValidator,100.0,63.636364,36.363636
org.apache.commons.cli.OptionGroup,100.0,46.666668,53.333332
org.apache.commons.cli.CommandLine,100.0,94.545456,5.454544
org.apache.commons.cli.PosixParser,69.49152,52.54237,16.949154
org.apache.commons.cli.Option,88.2353,69.85294,18.382355
org.apache.commons.cli.Util,100.0,100.0,0.0
org.apache.commons.cli.MissingArgumentException,100.0,50.0,50.0
