method,sc,omc_sc,cov_gap
org.apache.commons.cli.CommandLine.getParsedOptionValue,100.0,100.0,0.0
org.apache.commons.cli.Options.getRequiredOptions,100.0,100.0,0.0
org.apache.commons.cli.Util.stripLeadingAndTrailingQuotes,100.0,100.0,0.0
org.apache.commons.cli.Parser.processOption,87.5,62.5,25.0
org.apache.commons.cli.OptionValidator.isValidChar,100.0,100.0,0.0
org.apache.commons.cli.PosixParser.processNonOptionToken,50.0,25.0,25.0
org.apache.commons.cli.CommandLine.getArgList,100.0,100.0,0.0
org.apache.commons.cli.HelpFormatter.setLongOptSeparator,100.0,100.0,0.0
org.apache.commons.cli.Option.optionalArg,100.0,100.0,0.0
org.apache.commons.cli.Parser.getRequiredOptions,100.0,100.0,0.0
org.apache.commons.cli.MissingOptionException.createMessage,100.0,44.444447,55.555553
org.apache.commons.cli.Parser.processArgs,100.0,72.72727,27.272728
org.apache.commons.cli.AlreadySelectedException.getOption,100.0,100.0,0.0
org.apache.commons.cli.Options.addOption,86.666664,66.66667,19.999992
org.apache.commons.cli.Parser.updateRequiredOptions,100.0,42.857143,57.142857
org.apache.commons.cli.Parser.processProperties,84.210526,57.894737,26.315788
org.apache.commons.cli.Util.stripLeadingHyphens,100.0,100.0,0.0
org.apache.commons.cli.Option.getValueSeparator,100.0,100.0,0.0
org.apache.commons.cli.DefaultParser.isOption,100.0,100.0,0.0
org.apache.commons.cli.Option.setArgs,100.0,100.0,0.0
org.apache.commons.cli.OptionBuilder.hasArgs,100.0,50.0,50.0
org.apache.commons.cli.CommandLine.getOptionValues,100.0,100.0,0.0
org.apache.commons.cli.Options.getOptionGroup,100.0,100.0,0.0
org.apache.commons.cli.Options.toString,100.0,28.57143,71.42857
org.apache.commons.cli.CommandLine.build,100.0,100.0,0.0
org.apache.commons.cli.HelpFormatter.setLeftPadding,100.0,100.0,0.0
org.apache.commons.cli.OptionGroup.addOption,100.0,50.0,50.0
org.apache.commons.cli.CommandLine.getOptionValue,100.0,100.0,0.0
org.apache.commons.cli.HelpFormatter.getLongOptSeparator,100.0,100.0,0.0
org.apache.commons.cli.OptionBuilder.withType,66.66667,33.333336,33.333336
org.apache.commons.cli.TypeHandler.createNumber,100.0,80.0,20.0
org.apache.commons.cli.Option.clearValues,100.0,100.0,0.0
org.apache.commons.cli.HelpFormatter.setLongOptPrefix,100.0,100.0,0.0
org.apache.commons.cli.Options.addOptionGroup,100.0,57.14286,42.85714
org.apache.commons.cli.CommandLine.getOptionProperties,100.0,100.0,0.0
org.apache.commons.cli.CommandLine.iterator,100.0,100.0,0.0
org.apache.commons.cli.DefaultParser.isLongOption,77.77778,77.77778,0.0
org.apache.commons.cli.Option.hasArgs,33.333336,33.333336,0.0
org.apache.commons.cli.TypeHandler.createURL,100.0,66.66667,33.33333
org.apache.commons.cli.Option.processValue,90.0,90.0,0.0
org.apache.commons.cli.MissingArgumentException.getOption,100.0,100.0,0.0
org.apache.commons.cli.Option.valueSeparator,100.0,66.66667,33.33333
org.apache.commons.cli.MissingArgumentException.<init>,100.0,33.333336,66.666664
org.apache.commons.cli.MissingOptionException.<init>,100.0,100.0,0.0
