class,missed_branch, covered_branch, total_branch  
org.apache.commons.codec.language.bm.Rule,120,0,120
org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,0,12,12
org.apache.commons.codec.language.bm.PhoneticEngine,44,0,44
org.apache.commons.codec.language.SoundexUtils,0,18,18
org.apache.commons.codec.net.Utils,0,2,2
org.apache.commons.codec.digest.UnixCrypt,1,27,28
org.apache.commons.codec.binary.BaseNCodecOutputStream,1,21,22
org.apache.commons.codec.binary.Base64,39,63,102
org.apache.commons.codec.language.Caverphone1,0,4,4
org.apache.commons.codec.language.Caverphone2,0,4,4
org.apache.commons.codec.language.bm.Lang,28,0,28
org.apache.commons.codec.language.Caverphone,2,0,2
org.apache.commons.codec.net.BCodec,2,18,20
org.apache.commons.codec.Charsets,1,3,4
org.apache.commons.codec.binary.BaseNCodec,28,34,62
org.apache.commons.codec.digest.HmacUtils,6,0,6
org.apache.commons.codec.language.bm.PhoneticEngine$RulesApplication,10,0,10
org.apache.commons.codec.digest.Crypt,0,8,8
org.apache.commons.codec.binary.BinaryCodec,0,50,50
org.apache.commons.codec.language.AbstractCaverphone,0,2,2
org.apache.commons.codec.net.QuotedPrintableCodec,2,80,82
org.apache.commons.codec.binary.Base32,14,61,75
org.apache.commons.codec.cli.Digest,32,0,32
org.apache.commons.codec.digest.Sha2Crypt,4,38,42
org.apache.commons.codec.language.DaitchMokotoffSoundex,14,76,90
org.apache.commons.codec.net.PercentCodec,0,72,72
org.apache.commons.codec.net.RFC1522Codec,2,16,18
org.apache.commons.codec.language.DaitchMokotoffSoundex$Rule,0,16,16
org.apache.commons.codec.digest.Md5Crypt,0,26,26
org.apache.commons.codec.language.Nysiis,0,74,74
org.apache.commons.codec.binary.Hex,0,22,22
org.apache.commons.codec.binary.CharSequenceUtils,6,8,14
org.apache.commons.codec.net.QCodec,2,40,42
org.apache.commons.codec.language.bm.Languages$LanguageSet,2,0,2
org.apache.commons.codec.language.bm.PhoneticEngine$PhonemeBuilder,16,0,16
org.apache.commons.codec.language.bm.Languages,14,0,14
org.apache.commons.codec.digest.XXHash32,8,12,20
org.apache.commons.codec.digest.PureJavaCrc32C,7,3,10
org.apache.commons.codec.language.Metaphone,14,146,160
org.apache.commons.codec.language.RefinedSoundex,1,13,14
org.apache.commons.codec.language.DaitchMokotoffSoundex$Branch,3,17,20
org.apache.commons.codec.language.Soundex,2,32,34
org.apache.commons.codec.language.MatchRatingApproachEncoder,0,76,76
org.apache.commons.codec.digest.PureJavaCrc32,0,10,10
org.apache.commons.codec.language.bm.Rule$Phoneme$1,8,0,8
org.apache.commons.codec.language.bm.BeiderMorseEncoder,4,0,4
org.apache.commons.codec.language.bm.Rule$8,4,0,4
org.apache.commons.codec.language.bm.Rule$7,4,0,4
org.apache.commons.codec.language.DoubleMetaphone,39,399,438
org.apache.commons.codec.language.bm.Rule$9,4,0,4
org.apache.commons.codec.language.bm.Rule$3,2,0,2
org.apache.commons.codec.digest.B64,0,4,4
org.apache.commons.codec.binary.BaseNCodecInputStream,1,33,34
org.apache.commons.codec.net.URLCodec,0,46,46
org.apache.commons.codec.binary.StringUtils,2,22,24
org.apache.commons.codec.language.ColognePhonetic,4,78,82
org.apache.commons.codec.digest.DigestUtils,4,0,4
org.apache.commons.codec.language.bm.Languages$SomeLanguages,16,0,16
