method,missed_branch,covered_branch,total_branch
org.apache.commons.codec.language.Metaphone.isMetaphoneEqual,0,0,0
org.apache.commons.codec.binary.BaseNCodec.available,0,2,2
org.apache.commons.codec.digest.PureJavaCrc32C.<init>,0,0,0
org.apache.commons.codec.language.DaitchMokotoffSoundex$Rule.<init>,0,0,0
org.apache.commons.codec.language.MatchRatingApproachEncoder.<clinit>,0,0,0
org.apache.commons.codec.digest.XXHash32.getValue,3,3,6
org.apache.commons.codec.language.bm.Rule.createScanner,4,0,4
org.apache.commons.codec.binary.StringUtils.getBytesUsAscii,0,0,0
org.apache.commons.codec.language.bm.Rule$9.isMatch,4,0,4
org.apache.commons.codec.digest.DigestUtils.sha512,0,0,0
org.apache.commons.codec.language.bm.Rule.parseRules,20,0,20
org.apache.commons.codec.language.Caverphone.caverphone,0,0,0
org.apache.commons.codec.language.Caverphone.<init>,0,0,0
org.apache.commons.codec.digest.Sha2Crypt.sha2Crypt,2,32,34
org.apache.commons.codec.language.bm.Languages$2.isEmpty,0,0,0
org.apache.commons.codec.language.bm.Languages$2.contains,0,0,0
org.apache.commons.codec.language.bm.Rule$6.isMatch,0,0,0
org.apache.commons.codec.language.ColognePhonetic$CologneBuffer.<init>,0,0,0
org.apache.commons.codec.language.DoubleMetaphone.isVowel,0,2,2
org.apache.commons.codec.language.bm.Rule$Phoneme.join,0,0,0
org.apache.commons.codec.binary.BinaryCodec.isEmpty,0,4,4
org.apache.commons.codec.digest.HmacUtils.hmacHex,0,0,0
org.apache.commons.codec.digest.DigestUtils.isAvailable,2,0,2
org.apache.commons.codec.language.bm.BeiderMorseEncoder.isConcat,0,0,0
org.apache.commons.codec.language.bm.Rule$2.toString,0,0,0
org.apache.commons.codec.language.bm.Rule$2.<init>,0,0,0
org.apache.commons.codec.binary.BaseNCodec.encode,5,5,10
org.apache.commons.codec.language.bm.BeiderMorseEncoder.getNameType,0,0,0
org.apache.commons.codec.language.ColognePhonetic$CologneInputBuffer.getNextChar,0,0,0
org.apache.commons.codec.language.bm.Rule$6.<init>,0,0,0
org.apache.commons.codec.language.MatchRatingApproachEncoder.removeVowels,0,2,2
org.apache.commons.codec.language.SoundexUtils.clean,0,10,10
org.apache.commons.codec.language.Metaphone.isLastChar,0,2,2
org.apache.commons.codec.digest.XXHash32.<init>,0,0,0
org.apache.commons.codec.language.bm.Lang.guessLanguages,8,0,8
org.apache.commons.codec.binary.BaseNCodec.resizeBuffer,1,1,2
