class,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.codec.digest.Md5Crypt,100.0,19.23077,80.769226
org.apache.commons.codec.language.Nysiis,100.0,6.7567563,93.24324
org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,100.0,33.333336,66.666664
org.apache.commons.codec.language.SoundexUtils,100.0,83.33333,16.666672
org.apache.commons.codec.binary.Hex,100.0,63.636364,36.363636
org.apache.commons.codec.digest.UnixCrypt,96.42857,17.857143,78.57143
org.apache.commons.codec.binary.CharSequenceUtils,57.14286,57.14286,0.0
org.apache.commons.codec.net.QCodec,95.2381,54.761906,40.476192
org.apache.commons.codec.binary.Base64,61.764706,9.803922,51.960785
org.apache.commons.codec.language.Caverphone1,100.0,50.0,50.0
org.apache.commons.codec.language.Caverphone2,100.0,50.0,50.0
org.apache.commons.codec.net.BCodec,90.0,75.0,15.0
org.apache.commons.codec.digest.XXHash32,60.000004,35.0,25.000004
org.apache.commons.codec.digest.PureJavaCrc32C,30.000002,10.0,20.000002
org.apache.commons.codec.language.Metaphone,91.25,13.75,77.5
org.apache.commons.codec.Charsets,75.0,75.0,0.0
org.apache.commons.codec.language.RefinedSoundex,92.85714,42.857143,49.999996
org.apache.commons.codec.language.Soundex,94.117645,55.88235,38.235294
org.apache.commons.codec.binary.BaseNCodec,54.83871,25.80645,29.03226
org.apache.commons.codec.language.MatchRatingApproachEncoder,100.0,75.0,25.0
org.apache.commons.codec.digest.Crypt,100.0,100.0,0.0
org.apache.commons.codec.binary.BinaryCodec,100.0,64.0,36.0
org.apache.commons.codec.net.QuotedPrintableCodec,97.560974,75.60976,21.951218
org.apache.commons.codec.language.DoubleMetaphone,91.09589,45.89041,45.205475
org.apache.commons.codec.binary.Base32,81.333336,34.666668,46.666668
org.apache.commons.codec.digest.Sha2Crypt,90.47619,35.714287,54.7619
org.apache.commons.codec.net.URLCodec,100.0,69.565216,30.434784
org.apache.commons.codec.binary.StringUtils,91.66667,91.66667,0.0
org.apache.commons.codec.net.PercentCodec,100.0,87.5,12.5
org.apache.commons.codec.net.RFC1522Codec,88.88889,22.222223,66.66667
