method,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.codec.binary.BaseNCodec.decode,37.5,37.5,0.0
org.apache.commons.codec.net.URLCodec.decodeUrl,100.0,87.5,12.5
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable,100.0,66.66667,33.33333
org.apache.commons.codec.digest.XXHash32.update,60.000004,30.000002,30.000002
org.apache.commons.codec.digest.XXHash32.getValue,50.0,50.0,0.0
org.apache.commons.codec.net.QCodec.doDecoding,100.0,83.33333,16.666672
org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte,100.0,100.0,0.0
org.apache.commons.codec.binary.StringUtils.getBytes,50.0,50.0,0.0
org.apache.commons.codec.digest.Sha2Crypt.sha2Crypt,94.117645,35.294117,58.82353
org.apache.commons.codec.language.DoubleMetaphone.charAt,75.0,75.0,0.0
org.apache.commons.codec.language.DoubleMetaphone.conditionM0,87.5,75.0,12.5
org.apache.commons.codec.language.DoubleMetaphone.isVowel,100.0,100.0,0.0
org.apache.commons.codec.binary.BinaryCodec.isEmpty,100.0,100.0,0.0
org.apache.commons.codec.language.Caverphone1.encode,100.0,50.0,50.0
org.apache.commons.codec.binary.CharSequenceUtils.regionMatches,57.14286,57.14286,0.0
org.apache.commons.codec.language.MatchRatingApproachEncoder.removeDoubleConsonants,100.0,50.0,50.0
org.apache.commons.codec.net.BCodec.doEncoding,100.0,50.0,50.0
org.apache.commons.codec.net.QuotedPrintableCodec.decode,100.0,90.0,10.0
org.apache.commons.codec.net.BCodec.doDecoding,100.0,100.0,0.0
org.apache.commons.codec.digest.Sha2Crypt.sha512Crypt,75.0,50.0,25.0
org.apache.commons.codec.binary.Base32.<init>,71.42857,28.57143,42.857143
org.apache.commons.codec.binary.BinaryCodec.toByteArray,100.0,100.0,0.0
org.apache.commons.codec.language.Soundex.<init>,75.0,50.0,25.0
org.apache.commons.codec.binary.BaseNCodec.encode,50.0,50.0,0.0
org.apache.commons.codec.language.RefinedSoundex.getMappingCode,100.0,50.0,50.0
org.apache.commons.codec.language.MatchRatingApproachEncoder.removeAccents,100.0,66.66667,33.33333
org.apache.commons.codec.language.MatchRatingApproachEncoder.cleanName,100.0,50.0,50.0
org.apache.commons.codec.net.PercentCodec.decode,100.0,92.85714,7.1428604
org.apache.commons.codec.net.PercentCodec.doEncode,100.0,66.66667,33.33333
org.apache.commons.codec.language.MatchRatingApproachEncoder.getMinRating,100.0,100.0,0.0
