method,missed_stmt,covered_stmt,total_stmts
org.apache.commons.codec.language.Metaphone.isMetaphoneEqual,0,1,1
org.apache.commons.codec.digest.PureJavaCrc32C.<init>,0,1,1
org.apache.commons.codec.binary.BaseNCodec.available,0,1,1
org.apache.commons.codec.language.bm.PhoneticEngine.getI,1,0,1
org.apache.commons.codec.language.DaitchMokotoffSoundex.compare,0,1,1
org.apache.commons.codec.language.bm.Rule.getPhonemes,2,0,2
org.apache.commons.codec.digest.XXHash32.getValue,3,14,17
org.apache.commons.codec.language.bm.Rule.createScanner,10,0,10
org.apache.commons.codec.binary.StringUtils.getBytesUsAscii,0,1,1
org.apache.commons.codec.digest.DigestUtils.sha512,3,0,3
org.apache.commons.codec.language.bm.Rule.parseRules,34,0,34
org.apache.commons.codec.language.Caverphone.caverphone,1,0,1
org.apache.commons.codec.language.Caverphone.<init>,1,0,1
org.apache.commons.codec.digest.Sha2Crypt.sha2Crypt,3,114,117
org.apache.commons.codec.language.DoubleMetaphone.isVowel,0,1,1
org.apache.commons.codec.binary.BinaryCodec.isEmpty,0,1,1
org.apache.commons.codec.language.ColognePhonetic.toString,0,1,1
org.apache.commons.codec.digest.DigestUtils.isAvailable,1,0,1
org.apache.commons.codec.digest.HmacUtils.hmacHex,5,0,5
org.apache.commons.codec.BinaryDecoder.null,0,0,0
org.apache.commons.codec.language.bm.BeiderMorseEncoder.isConcat,1,0,1
org.apache.commons.codec.binary.BaseNCodec.encode,4,10,14
org.apache.commons.codec.language.bm.BeiderMorseEncoder.getNameType,1,0,1
org.apache.commons.codec.language.ColognePhonetic.addRight,0,2,2
org.apache.commons.codec.language.bm.Languages.contains,3,0,3
org.apache.commons.codec.language.MatchRatingApproachEncoder.removeVowels,0,10,10
org.apache.commons.codec.language.SoundexUtils.clean,0,11,11
org.apache.commons.codec.language.Metaphone.isLastChar,0,1,1
org.apache.commons.codec.digest.XXHash32.<init>,0,3,3
org.apache.commons.codec.language.bm.Lang.guessLanguages,9,0,9
org.apache.commons.codec.binary.BaseNCodec.resizeBuffer,3,5,8
org.apache.commons.codec.binary.Base64.isInAlphabet,0,1,1
org.apache.commons.codec.binary.BinaryCodec.encode,0,4,4
org.apache.commons.codec.language.RefinedSoundex.encode,0,4,4
org.apache.commons.codec.digest.UnixCrypt.desSetKey,0,36,36
org.apache.commons.codec.language.Soundex.hasMarker,0,4,4
org.apache.commons.codec.language.Metaphone.setMaxCodeLen,0,1,1
org.apache.commons.codec.language.DaitchMokotoffSoundex.parseRules,4,39,43
org.apache.commons.codec.language.bm.RuleType.getName,1,0,1
org.apache.commons.codec.net.PercentCodec.expectedDecodingBytes,0,6,6
org.apache.commons.codec.language.bm.Rule.getInstanceMap,5,0,5
org.apache.commons.codec.net.PercentCodec.encode,0,12,12
org.apache.commons.codec.digest.XXHash32.process,0,13,13
