class,sc,omc_sc,cov_gap
org.apache.commons.codec.digest.Md5Crypt,100.0,26.086956,73.91304
org.apache.commons.codec.language.Nysiis,100.0,28.35821,71.64179
org.apache.commons.codec.EncoderException,100.0,100.0,0.0
org.apache.commons.codec.StringEncoderComparator,88.88889,55.555557,33.333336
org.apache.commons.codec.language.SoundexUtils,100.0,95.0,5.0
org.apache.commons.codec.net.Utils,100.0,60.000004,39.999996
org.apache.commons.codec.digest.UnixCrypt,100.0,7.1428576,92.85714
org.apache.commons.codec.binary.Hex,100.0,81.35593,18.644073
org.apache.commons.codec.binary.CharSequenceUtils,80.0,73.333336,6.666664
org.apache.commons.codec.net.QCodec,93.68421,38.94737,54.736843
org.apache.commons.codec.binary.Base64,72.41379,15.862068,56.55172
org.apache.commons.codec.language.Caverphone1,100.0,6.666667,93.333336
org.apache.commons.codec.language.Caverphone2,100.0,6.349207,93.650795
org.apache.commons.codec.net.BCodec,84.210526,60.526318,23.684208
org.apache.commons.codec.digest.XXHash32,72.46377,66.66667,5.7970963
org.apache.commons.codec.digest.PureJavaCrc32C,73.333336,60.000004,13.333332
org.apache.commons.codec.language.Metaphone,99.45055,14.285715,85.16483
org.apache.commons.codec.Charsets,100.0,100.0,0.0
org.apache.commons.codec.language.RefinedSoundex,100.0,37.931034,62.068966
org.apache.commons.codec.language.Soundex,95.55556,73.333336,22.222221
org.apache.commons.codec.language.MatchRatingApproachEncoder,100.0,67.567566,32.432434
org.apache.commons.codec.binary.BaseNCodec,68.6747,39.759037,28.91566
org.apache.commons.codec.digest.Crypt,100.0,100.0,0.0
org.apache.commons.codec.DecoderException,100.0,100.0,0.0
org.apache.commons.codec.binary.BinaryCodec,100.0,81.13208,18.86792
org.apache.commons.codec.language.AbstractCaverphone,100.0,20.0,80.0
org.apache.commons.codec.net.QuotedPrintableCodec,97.2973,83.78378,13.513519
org.apache.commons.codec.language.DoubleMetaphone,98.32536,49.760765,48.564598
org.apache.commons.codec.binary.Base32,88.88889,58.024693,30.8642
org.apache.commons.codec.digest.Sha2Crypt,96.94656,29.77099,67.175575
org.apache.commons.codec.net.URLCodec,98.79518,68.6747,30.120483
org.apache.commons.codec.binary.StringUtils,94.73685,81.57895,13.157898
org.apache.commons.codec.net.PercentCodec,100.0,96.1039,3.896103
org.apache.commons.codec.digest.DigestUtils,2.5641026,0.8547009,1.7094017
org.apache.commons.codec.net.RFC1522Codec,94.871796,41.025642,53.846153
