method,sc,omc_sc,cov_gap
org.apache.commons.codec.language.Metaphone.isMetaphoneEqual,100.0,100.0,0.0
org.apache.commons.codec.language.DoubleMetaphone.handleAEIOUY,100.0,33.333336,66.666664
org.apache.commons.codec.binary.BaseNCodec.decode,64.28571,50.0,14.285713
org.apache.commons.codec.net.URLCodec.decodeUrl,100.0,86.666664,13.333336
org.apache.commons.codec.digest.XXHash32.update,45.454548,36.363636,9.090912
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable,100.0,75.0,25.0
org.apache.commons.codec.digest.XXHash32.getValue,82.35294,76.47059,5.8823547
org.apache.commons.codec.net.QCodec.doDecoding,100.0,93.75,6.25
org.apache.commons.codec.language.DoubleMetaphone.handleSC,100.0,8.333334,91.666664
org.apache.commons.codec.binary.Base64.<init>,89.47369,21.052631,68.42105
org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte,100.0,100.0,0.0
org.apache.commons.codec.binary.StringUtils.getBytesUsAscii,100.0,100.0,0.0
org.apache.commons.codec.language.Nysiis.encode,100.0,25.0,75.0
org.apache.commons.codec.binary.StringUtils.newStringUtf16Le,100.0,100.0,0.0
org.apache.commons.codec.binary.StringUtils.getBytes,66.66667,66.66667,0.0
org.apache.commons.codec.binary.StringUtils.getByteBufferUtf8,100.0,100.0,0.0
org.apache.commons.codec.digest.Sha2Crypt.sha2Crypt,97.4359,23.076923,74.35898
org.apache.commons.codec.digest.XXHash32.initializeState,100.0,100.0,0.0
org.apache.commons.codec.language.DoubleMetaphone.charAt,100.0,100.0,0.0
org.apache.commons.codec.language.DoubleMetaphone.conditionM0,100.0,100.0,0.0
org.apache.commons.codec.language.DoubleMetaphone.isVowel,100.0,100.0,0.0
org.apache.commons.codec.binary.BinaryCodec.isEmpty,100.0,100.0,0.0
org.apache.commons.codec.language.Caverphone1.encode,100.0,6.666667,93.333336
org.apache.commons.codec.binary.CharSequenceUtils.regionMatches,80.0,73.333336,6.666664
org.apache.commons.codec.binary.StringUtils.getBytesIso8859_1,100.0,100.0,0.0
org.apache.commons.codec.language.DoubleMetaphone.isDoubleMetaphoneEqual,100.0,100.0,0.0
org.apache.commons.codec.language.MatchRatingApproachEncoder.removeDoubleConsonants,100.0,100.0,0.0
org.apache.commons.codec.net.QuotedPrintableCodec.decode,100.0,93.333336,6.666664
org.apache.commons.codec.net.BCodec.doEncoding,100.0,66.66667,33.33333
org.apache.commons.codec.net.BCodec.doDecoding,100.0,100.0,0.0
org.apache.commons.codec.digest.Sha2Crypt.sha512Crypt,100.0,100.0,0.0
org.apache.commons.codec.binary.Base32.<init>,81.48148,37.037037,44.444447
org.apache.commons.codec.binary.BinaryCodec.toByteArray,100.0,100.0,0.0
org.apache.commons.codec.language.Soundex.<init>,100.0,66.66667,33.33333
org.apache.commons.codec.language.RefinedSoundex.getMappingCode,100.0,66.66667,33.33333
org.apache.commons.codec.binary.Hex.encodeHexString,100.0,100.0,0.0
