method,missed_branch,covered_branch,total_branch
org.apache.commons.csv.ExtendedBufferedReader.getPosition,0,0,0
org.apache.commons.csv.CSVFormat.withIgnoreHeaderCase,0,0,0
org.apache.commons.csv.CSVFormat.withCommentMarker,0,2,2
org.apache.commons.csv.CSVRecord.iterator,0,0,0
org.apache.commons.csv.Lexer.isCommentStart,0,2,2
org.apache.commons.csv.CSVFormat.getEscapeCharacter,0,0,0
org.apache.commons.csv.CSVFormat.withNullString,0,0,0
org.apache.commons.csv.Lexer.isWhitespace,0,4,4
org.apache.commons.csv.CSVFormat.getAllowMissingColumnNames,0,0,0
org.apache.commons.csv.CSVFormat.withRecordSeparator,0,0,0
org.apache.commons.csv.Lexer.close,0,0,0
org.apache.commons.csv.CSVFormat$Predefined.<init>,0,0,0
org.apache.commons.csv.CSVRecord.get,2,2,4
org.apache.commons.csv.Lexer.isClosed,0,0,0
org.apache.commons.csv.CSVRecord.isSet,1,3,4
org.apache.commons.csv.CSVPrinter.<init>,0,10,10
org.apache.commons.csv.CSVFormat.toStringArray,0,6,6
org.apache.commons.csv.Token.<init>,0,0,0
org.apache.commons.csv.CSVFormat.withIgnoreSurroundingSpaces,0,0,0
org.apache.commons.csv.Lexer.parseEncapsulatedToken,3,15,18
org.apache.commons.csv.CSVFormat.printAndQuote,1,50,51
org.apache.commons.csv.CSVParser.getHeaderMap,0,2,2
org.apache.commons.csv.QuoteMode.<clinit>,0,0,0
org.apache.commons.csv.Lexer.getFirstEol,0,0,0
org.apache.commons.csv.CSVParser.getRecords,0,2,2
org.apache.commons.csv.CSVRecord.values,0,0,0
org.apache.commons.csv.Lexer.isDelimiter,0,2,2
org.apache.commons.csv.CSVFormat.withAllowMissingColumnNames,0,0,0
org.apache.commons.csv.Assertions.notNull,0,2,2
org.apache.commons.csv.Lexer.trimTrailingSpaces,1,5,6
org.apache.commons.csv.CSVFormat.getCommentMarker,0,0,0
org.apache.commons.csv.CSVFormat.getTrim,0,0,0
org.apache.commons.csv.CSVFormat.withHeaderComments,0,0,0
org.apache.commons.csv.CSVRecord.<init>,1,1,2
org.apache.commons.csv.CSVParser.iterator,0,0,0
org.apache.commons.csv.CSVFormat.getSkipHeaderRecord,0,0,0
org.apache.commons.csv.CSVRecord.toList,0,0,0
org.apache.commons.csv.CSVFormat.isQuoteCharacterSet,0,2,2
org.apache.commons.csv.Lexer.readEndOfLine,0,16,16
org.apache.commons.csv.CSVFormat.valueOf,0,0,0
org.apache.commons.csv.CSVRecord.getCharacterPosition,0,0,0
org.apache.commons.csv.CSVFormat.<init>,0,2,2
org.apache.commons.csv.CSVFormat$Predefined.<clinit>,0,0,0
org.apache.commons.csv.CSVRecord.isMapped,1,3,4
org.apache.commons.csv.Lexer.<clinit>,0,0,0
org.apache.commons.csv.Token.reset,0,0,0
org.apache.commons.csv.CSVFormat.isEscapeCharacterSet,0,2,2
org.apache.commons.csv.CSVFormat.printAndEscape,0,18,18
org.apache.commons.csv.CSVRecord.toString,0,0,0
org.apache.commons.csv.Lexer.getCharacterPosition,0,0,0
org.apache.commons.csv.CSVParser.parse,0,0,0
org.apache.commons.csv.CSVParser$1.remove,0,0,0
org.apache.commons.csv.CSVPrinter.printRecords,0,16,16
org.apache.commons.csv.CSVFormat.print,0,18,18
org.apache.commons.csv.CSVFormat.isCommentMarkerSet,0,2,2
org.apache.commons.csv.CSVFormat.validate,1,31,32
org.apache.commons.csv.CSVFormat$Predefined.getFormat,0,0,0
org.apache.commons.csv.CSVFormat.parse,0,0,0
org.apache.commons.csv.CSVParser$1.<init>,0,0,0
org.apache.commons.csv.CSVPrinter.close,0,2,2
org.apache.commons.csv.CSVFormat.withEscape,0,2,2
org.apache.commons.csv.ExtendedBufferedReader.readLine,0,2,2
org.apache.commons.csv.CSVFormat.isNullStringSet,0,2,2
org.apache.commons.csv.ExtendedBufferedReader.close,0,0,0
org.apache.commons.csv.CSVRecord.putIn,6,0,6
org.apache.commons.csv.ExtendedBufferedReader.read,1,21,22
org.apache.commons.csv.CSVFormat.withSkipHeaderRecord,0,0,0
org.apache.commons.csv.Token$Type.<clinit>,0,0,0
org.apache.commons.csv.Lexer.nextToken,1,35,36
org.apache.commons.csv.CSVFormat.withFirstRecordAsHeader,0,0,0
