method,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.csv.ExtendedBufferedReader.read,95.454544,63.636364,31.81818
org.apache.commons.csv.Lexer.nextToken,97.22222,94.44444,2.7777786
org.apache.commons.csv.CSVRecord.<init>,50.0,50.0,0.0
org.apache.commons.csv.Lexer.parseSimpleToken,100.0,66.66667,33.33333
org.apache.commons.csv.CSVParser.nextRecord,87.5,37.5,50.0
org.apache.commons.csv.CSVFormat.isQuoteCharacterSet,100.0,100.0,0.0
org.apache.commons.csv.CSVParser$1.next,100.0,16.666668,83.33333
org.apache.commons.csv.CSVParser.addRecordValue,100.0,70.0,30.0
org.apache.commons.csv.Lexer.readEndOfLine,100.0,68.75,31.25
org.apache.commons.csv.Lexer.isCommentStart,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isStartOfLine,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isWhitespace,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.<init>,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withHeader,70.0,30.000002,40.0
org.apache.commons.csv.CSVFormat.getHeader,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.isMapped,75.0,75.0,0.0
org.apache.commons.csv.CSVFormat.isEscapeCharacterSet,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.isSet,75.0,75.0,0.0
org.apache.commons.csv.CSVRecord.hasComment,100.0,50.0,50.0
org.apache.commons.csv.ExtendedBufferedReader.getCurrentLineNumber,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isQuoteChar,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.equals,93.75,81.25,12.5
org.apache.commons.csv.CSVParser$1.hasNext,100.0,83.33333,16.666672
org.apache.commons.csv.Lexer.parseEncapsulatedToken,83.33333,72.22222,11.111107
org.apache.commons.csv.Lexer.isEndOfFile,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.println,100.0,25.0,75.0
org.apache.commons.csv.CSVPrinter.printRecords,100.0,18.75,81.25
org.apache.commons.csv.CSVRecord.isConsistent,75.0,75.0,0.0
org.apache.commons.csv.CSVFormat.print,100.0,22.222223,77.77778
org.apache.commons.csv.CSVParser.getHeaderMap,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.printRecord,100.0,25.0,75.0
org.apache.commons.csv.CSVParser.getRecords,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.isCommentMarkerSet,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isDelimiter,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.initializeHeader,91.66667,41.666664,50.000008
org.apache.commons.csv.Lexer.isEscape,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.hashCode,55.0,50.0,5.0
org.apache.commons.csv.ExtendedBufferedReader.readLine,100.0,100.0,0.0
org.apache.commons.csv.Lexer.mapNullToDisabled,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.isNullStringSet,100.0,100.0,0.0
org.apache.commons.csv.CSVPrinter.printRecord,100.0,50.0,50.0
