method,missed_stmt,covered_stmt,total_stmts
org.apache.commons.csv.ExtendedBufferedReader.getPosition,0,1,1
org.apache.commons.csv.CSVFormat.withIgnoreHeaderCase,0,2,2
org.apache.commons.csv.CSVParser.getNextRecord,1,2,3
org.apache.commons.csv.CSVFormat.withCommentMarker,0,4,4
org.apache.commons.csv.CSVRecord.iterator,0,1,1
org.apache.commons.csv.Lexer.isCommentStart,0,1,1
org.apache.commons.csv.CSVFormat.getEscapeCharacter,0,1,1
org.apache.commons.csv.CSVFormat.withNullString,0,1,1
org.apache.commons.csv.Lexer.isWhitespace,0,1,1
org.apache.commons.csv.CSVFormat.getAllowMissingColumnNames,0,1,1
org.apache.commons.csv.CSVFormat.withRecordSeparator,0,2,2
org.apache.commons.csv.Lexer.close,0,1,1
org.apache.commons.csv.CSVRecord.get,4,6,10
org.apache.commons.csv.Lexer.isClosed,0,1,1
org.apache.commons.csv.CSVRecord.isSet,0,1,1
org.apache.commons.csv.CSVPrinter.<init>,0,10,10
org.apache.commons.csv.CSVFormat.toStringArray,0,7,7
org.apache.commons.csv.CSVFormat.withIgnoreSurroundingSpaces,0,2,2
org.apache.commons.csv.Lexer.parseEncapsulatedToken,3,27,30
org.apache.commons.csv.CSVFormat.printAndQuote,2,56,58
org.apache.commons.csv.CSVParser.getHeaderMap,0,1,1
org.apache.commons.csv.CSVParser.getRecords,0,5,5
org.apache.commons.csv.Lexer.getFirstEol,0,1,1
org.apache.commons.csv.CSVRecord.values,0,1,1
org.apache.commons.csv.Constants.null,0,0,0
org.apache.commons.csv.Lexer.isDelimiter,0,1,1
org.apache.commons.csv.CSVFormat.withAllowMissingColumnNames,0,2,2
org.apache.commons.csv.Assertions.notNull,0,2,2
org.apache.commons.csv.Lexer.trimTrailingSpaces,0,5,5
org.apache.commons.csv.CSVFormat.getCommentMarker,0,1,1
org.apache.commons.csv.CSVFormat.getTrim,0,1,1
org.apache.commons.csv.CSVFormat.withHeaderComments,0,1,1
org.apache.commons.csv.CSVRecord.<init>,0,5,5
org.apache.commons.csv.CSVParser.iterator,0,1,1
org.apache.commons.csv.CSVFormat.getSkipHeaderRecord,0,1,1
org.apache.commons.csv.CSVRecord.toList,0,1,1
org.apache.commons.csv.CSVFormat.isQuoteCharacterSet,0,1,1
org.apache.commons.csv.Lexer.readEndOfLine,0,10,10
org.apache.commons.csv.CSVFormat.valueOf,0,1,1
org.apache.commons.csv.CSVRecord.getCharacterPosition,0,1,1
org.apache.commons.csv.CSVFormat.<init>,0,17,17
org.apache.commons.csv.CSVRecord.isMapped,0,1,1
org.apache.commons.csv.Token.reset,0,3,3
org.apache.commons.csv.CSVFormat.isEscapeCharacterSet,0,1,1
org.apache.commons.csv.CSVParser.remove,0,1,1
org.apache.commons.csv.CSVFormat.printAndEscape,0,20,20
org.apache.commons.csv.CSVRecord.toString,1,0,1
org.apache.commons.csv.Lexer.getCharacterPosition,0,1,1
org.apache.commons.csv.CSVParser.parse,3,14,17
org.apache.commons.csv.CSVPrinter.printRecords,0,17,17
org.apache.commons.csv.CSVFormat.print,0,22,22
org.apache.commons.csv.CSVFormat.isCommentMarkerSet,0,1,1
org.apache.commons.csv.CSVFormat.validate,1,18,19
org.apache.commons.csv.CSVParser.hasNext,0,5,5
org.apache.commons.csv.CSVFormat.parse,0,1,1
org.apache.commons.csv.CSVPrinter.close,0,2,2
org.apache.commons.csv.CSVFormat.getFormat,0,1,1
org.apache.commons.csv.CSVFormat.withEscape,0,4,4
org.apache.commons.csv.ExtendedBufferedReader.readLine,0,6,6
org.apache.commons.csv.CSVFormat.isNullStringSet,0,1,1
org.apache.commons.csv.ExtendedBufferedReader.close,0,3,3
org.apache.commons.csv.CSVRecord.putIn,7,0,7
org.apache.commons.csv.ExtendedBufferedReader.read,0,22,22
org.apache.commons.csv.CSVFormat.withSkipHeaderRecord,0,2,2
org.apache.commons.csv.Lexer.nextToken,2,37,39
org.apache.commons.csv.CSVFormat.withFirstRecordAsHeader,0,1,1
org.apache.commons.csv.CSVFormat.withQuoteMode,0,1,1
org.apache.commons.csv.CSVFormat.trim,8,2,10
org.apache.commons.csv.CSVRecord.getRecordNumber,0,1,1
org.apache.commons.csv.ExtendedBufferedReader.getLastChar,0,1,1
org.apache.commons.csv.CSVRecord.getComment,0,1,1
org.apache.commons.csv.Lexer.parseSimpleToken,0,22,22
org.apache.commons.csv.CSVParser.nextRecord,4,30,34
org.apache.commons.csv.CSVFormat.getDelimiter,0,1,1
org.apache.commons.csv.CSVParser.addRecordValue,0,6,6
org.apache.commons.csv.CSVFormat.toString,7,24,31
org.apache.commons.csv.CSVParser.getCurrentLineNumber,0,1,1
org.apache.commons.csv.ExtendedBufferedReader.lookAhead,0,4,4
org.apache.commons.csv.CSVPrinter.printComment,4,17,21
org.apache.commons.csv.CSVParser.<init>,0,8,8
org.apache.commons.csv.CSVFormat.withIgnoreEmptyLines,0,2,2
org.apache.commons.csv.Lexer.getCurrentLineNumber,0,1,1
org.apache.commons.csv.Lexer.isQuoteChar,0,1,1
org.apache.commons.csv.CSVFormat.getRecordSeparator,0,1,1
org.apache.commons.csv.CSVFormat.println,0,4,4
org.apache.commons.csv.CSVRecord.isConsistent,0,1,1
org.apache.commons.csv.CSVFormat.getIgnoreHeaderCase,0,1,1
org.apache.commons.csv.CSVPrinter.flush,0,2,2
org.apache.commons.csv.CSVFormat.getNullString,0,1,1
org.apache.commons.csv.Lexer.isEscape,0,1,1
org.apache.commons.csv.Lexer.readEscape,6,18,24
org.apache.commons.csv.CSVRecord.size,0,1,1
org.apache.commons.csv.Lexer.mapNullToDisabled,0,1,1
org.apache.commons.csv.CSVFormat.getQuoteCharacter,0,1,1
org.apache.commons.csv.Assertions.<init>,0,0,0
org.apache.commons.csv.CSVFormat.withQuote,0,4,4
org.apache.commons.csv.CSVFormat.getHeaderComments,0,1,1
org.apache.commons.csv.CSVFormat.newFormat,0,1,1
org.apache.commons.csv.CSVFormat.getIgnoreEmptyLines,0,1,1
org.apache.commons.csv.CSVFormat.withTrailingDelimiter,0,2,2
org.apache.commons.csv.CSVPrinter.println,0,2,2
org.apache.commons.csv.Lexer.isStartOfLine,0,1,1
org.apache.commons.csv.CSVParser.getFirstEndOfLine,0,1,1
org.apache.commons.csv.CSVParser.getRecordNumber,0,1,1
org.apache.commons.csv.CSVFormat.withHeader,0,16,16
org.apache.commons.csv.CSVFormat.format,1,4,5
org.apache.commons.csv.CSVFormat.getHeader,0,1,1
org.apache.commons.csv.CSVPrinter.print,0,2,2
org.apache.commons.csv.CSVFormat.Predefined,0,1,1
org.apache.commons.csv.CSVRecord.hasComment,0,1,1
org.apache.commons.csv.ExtendedBufferedReader.getCurrentLineNumber,0,3,3
org.apache.commons.csv.CSVFormat.equals,3,42,45
org.apache.commons.csv.CSVFormat.getTrailingDelimiter,0,1,1
org.apache.commons.csv.Lexer.<init>,0,7,7
org.apache.commons.csv.CSVFormat.isLineBreak,0,2,2
org.apache.commons.csv.Lexer.isEndOfFile,0,1,1
org.apache.commons.csv.CSVFormat.printRecord,0,3,3
org.apache.commons.csv.Lexer.isMetaChar,0,1,1
org.apache.commons.csv.ExtendedBufferedReader.<init>,0,1,1
org.apache.commons.csv.CSVParser.next,0,9,9
org.apache.commons.csv.CSVFormat.getQuoteMode,0,1,1
org.apache.commons.csv.CSVParser.initializeHeader,0,21,21
org.apache.commons.csv.Token.toString,1,0,1
org.apache.commons.csv.CSVFormat.withTrim,0,2,2
org.apache.commons.csv.CSVFormat.printer,0,1,1
org.apache.commons.csv.CSVFormat.withDelimiter,0,3,3
org.apache.commons.csv.CSVParser.close,0,2,2
org.apache.commons.csv.QuoteMode.null,0,0,0
org.apache.commons.csv.CSVFormat.hashCode,0,15,15
org.apache.commons.csv.CSVParser.isClosed,0,1,1
org.apache.commons.csv.CSVFormat.getIgnoreSurroundingSpaces,0,1,1
org.apache.commons.csv.ExtendedBufferedReader.isClosed,0,1,1
org.apache.commons.csv.CSVPrinter.getOut,1,0,1
org.apache.commons.csv.CSVRecord.toMap,1,0,1
org.apache.commons.csv.CSVPrinter.printRecord,0,5,5
