method,sc,omc_sc,cov_gap
org.apache.commons.csv.ExtendedBufferedReader.getPosition,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withIgnoreHeaderCase,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.getNextRecord,66.66667,33.333336,33.333336
org.apache.commons.csv.CSVFormat.withCommentMarker,100.0,50.0,50.0
org.apache.commons.csv.CSVRecord.iterator,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isCommentStart,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getEscapeCharacter,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withNullString,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isWhitespace,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getAllowMissingColumnNames,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withRecordSeparator,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.get,60.000004,30.000002,30.000002
org.apache.commons.csv.CSVRecord.isSet,100.0,100.0,0.0
org.apache.commons.csv.CSVPrinter.<init>,100.0,20.0,80.0
org.apache.commons.csv.CSVFormat.withIgnoreSurroundingSpaces,100.0,100.0,0.0
org.apache.commons.csv.Lexer.parseEncapsulatedToken,90.0,50.0,40.0
org.apache.commons.csv.CSVParser.getHeaderMap,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.getRecords,100.0,80.0,20.0
org.apache.commons.csv.Lexer.getFirstEol,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.values,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isDelimiter,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withAllowMissingColumnNames,100.0,50.0,50.0
org.apache.commons.csv.CSVFormat.getCommentMarker,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getTrim,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withHeaderComments,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.<init>,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.iterator,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getSkipHeaderRecord,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.toList,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.isQuoteCharacterSet,100.0,100.0,0.0
org.apache.commons.csv.Lexer.readEndOfLine,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.valueOf,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.getCharacterPosition,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.<init>,100.0,88.2353,11.764702
org.apache.commons.csv.CSVRecord.isMapped,100.0,100.0,0.0
org.apache.commons.csv.Token.reset,100.0,33.333336,66.666664
org.apache.commons.csv.CSVFormat.isEscapeCharacterSet,100.0,100.0,0.0
org.apache.commons.csv.Lexer.getCharacterPosition,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.parse,82.35294,29.411766,52.941177
org.apache.commons.csv.CSVPrinter.printRecords,100.0,29.411766,70.588234
org.apache.commons.csv.CSVFormat.print,100.0,36.363636,63.636364
org.apache.commons.csv.CSVFormat.isCommentMarkerSet,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.hasNext,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.parse,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getFormat,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withEscape,100.0,50.0,50.0
org.apache.commons.csv.ExtendedBufferedReader.readLine,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.isNullStringSet,100.0,100.0,0.0
org.apache.commons.csv.ExtendedBufferedReader.read,100.0,95.454544,4.545456
org.apache.commons.csv.CSVFormat.withSkipHeaderRecord,100.0,100.0,0.0
org.apache.commons.csv.Lexer.nextToken,94.871796,79.48718,15.384613
org.apache.commons.csv.CSVFormat.withQuoteMode,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withFirstRecordAsHeader,100.0,100.0,0.0
org.apache.commons.csv.ExtendedBufferedReader.getLastChar,100.0,100.0,0.0
org.apache.commons.csv.CSVRecord.getRecordNumber,100.0,100.0,0.0
org.apache.commons.csv.Lexer.parseSimpleToken,100.0,50.0,50.0
org.apache.commons.csv.CSVRecord.getComment,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.nextRecord,88.2353,55.88235,32.352947
org.apache.commons.csv.CSVFormat.getDelimiter,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.addRecordValue,100.0,66.66667,33.33333
org.apache.commons.csv.CSVFormat.toString,77.41935,6.4516125,70.967735
org.apache.commons.csv.CSVParser.getCurrentLineNumber,100.0,100.0,0.0
org.apache.commons.csv.ExtendedBufferedReader.lookAhead,100.0,100.0,0.0
org.apache.commons.csv.CSVParser.<init>,100.0,75.0,25.0
org.apache.commons.csv.CSVFormat.withIgnoreEmptyLines,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isQuoteChar,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getRecordSeparator,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.println,100.0,50.0,50.0
org.apache.commons.csv.CSVRecord.isConsistent,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getIgnoreHeaderCase,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getNullString,100.0,100.0,0.0
org.apache.commons.csv.Lexer.isEscape,100.0,100.0,0.0
org.apache.commons.csv.Lexer.readEscape,75.0,4.166667,70.833336
org.apache.commons.csv.CSVRecord.size,100.0,100.0,0.0
org.apache.commons.csv.Lexer.mapNullToDisabled,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.getQuoteCharacter,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.withQuote,100.0,50.0,50.0
org.apache.commons.csv.CSVFormat.getIgnoreEmptyLines,100.0,100.0,0.0
org.apache.commons.csv.CSVFormat.newFormat,100.0,100.0,0.0
org.apache.commons.csv.CSVPrinter.println,100.0,50.0,50.0
org.apache.commons.csv.CSVFormat.withTrailingDelimiter,100.0,100.0,0.0
