class,missed_branch, covered_branch, total_branch  
org.apache.commons.validator.routines.PercentValidator,2,10,12
org.apache.commons.validator.routines.CurrencyValidator,2,8,10
org.apache.commons.validator.CreditCardValidator,1,29,30
org.apache.commons.validator.routines.BigIntegerValidator,0,8,8
org.apache.commons.validator.routines.ISBNValidator,1,19,20
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,1,9,10
org.apache.commons.validator.Validator,7,7,14
org.apache.commons.validator.Var,2,0,2
org.apache.commons.validator.routines.EmailValidator,3,27,30
org.apache.commons.validator.routines.ShortValidator,0,12,12
org.apache.commons.validator.Form,8,26,34
org.apache.commons.validator.util.ValidatorUtils,28,10,38
org.apache.commons.validator.routines.FloatValidator,0,20,20
org.apache.commons.validator.routines.AbstractNumberValidator,5,54,59
org.apache.commons.validator.routines.RegexValidator,0,42,42
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,0,2,2
org.apache.commons.validator.GenericValidator,56,18,74
org.apache.commons.validator.routines.IBANValidator,4,16,20
org.apache.commons.validator.routines.CalendarValidator,0,2,2
org.apache.commons.validator.routines.IBANValidator$Validator,3,9,12
org.apache.commons.validator.CreditCardValidator$Amex,1,3,4
org.apache.commons.validator.ValidatorAction,35,43,78
org.apache.commons.validator.ValidatorResult,2,2,4
org.apache.commons.validator.routines.UrlValidator,7,79,86
org.apache.commons.validator.routines.BigDecimalValidator,0,12,12
org.apache.commons.validator.EmailValidator,30,0,30
org.apache.commons.validator.routines.DoubleValidator,0,10,10
org.apache.commons.validator.DateValidator,14,0,14
org.apache.commons.validator.routines.InetAddressValidator,6,58,64
org.apache.commons.validator.CreditCardValidator$Visa,1,5,6
org.apache.commons.validator.CreditCardValidator$Discover,2,2,4
org.apache.commons.validator.util.Flags,6,6,12
org.apache.commons.validator.routines.DateValidator,1,1,2
org.apache.commons.validator.routines.CreditCardValidator,5,45,50
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit,0,14,14
org.apache.commons.validator.UrlValidator,9,75,84
org.apache.commons.validator.routines.DomainValidator,10,73,83
org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,2,4,6
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,1,7,8
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,0,6,6
org.apache.commons.validator.FormSetFactory,3,5,8
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,18,0,18
org.apache.commons.validator.ValidatorResults,2,8,10
org.apache.commons.validator.FormSet,29,17,46
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,1,29,30
org.apache.commons.validator.routines.CreditCardValidator$1,3,13,16
org.apache.commons.validator.routines.ISSNValidator,0,6,6
org.apache.commons.validator.CreditCardValidator$Mastercard,1,3,4
org.apache.commons.validator.routines.AbstractCalendarValidator,8,82,90
org.apache.commons.validator.routines.AbstractFormatValidator,1,7,8
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,0,6,6
org.apache.commons.validator.ValidatorResources,20,72,92
org.apache.commons.validator.routines.LongValidator,0,10,10
org.apache.commons.validator.routines.IntegerValidator,0,12,12
org.apache.commons.validator.ValidatorResources$1,2,0,2
org.apache.commons.validator.GenericTypeValidator,54,50,104
org.apache.commons.validator.routines.CodeValidator,1,25,26
org.apache.commons.validator.Field,44,88,132
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,2,22,24
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,0,12,12
org.apache.commons.validator.routines.ByteValidator,0,12,12
