method,missed_branch,covered_branch,total_branch
org.apache.commons.validator.routines.TimeValidator.compareTime,0,0,0
org.apache.commons.validator.Var.setResource,0,0,0
org.apache.commons.validator.Arg.getName,0,0,0
org.apache.commons.validator.routines.DateValidator.compareMonths,0,0,0
org.apache.commons.validator.FormSet.getLanguage,0,0,0
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit.isValid,6,0,6
org.apache.commons.validator.GenericValidator.isEmail,0,0,0
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit.<clinit>,0,0,0
org.apache.commons.validator.routines.DomainValidator.getTLDEntries,1,8,9
org.apache.commons.validator.Var.getJsType,0,0,0
org.apache.commons.validator.Field.setProperty,0,0,0
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit.weightedValue,0,0,0
org.apache.commons.validator.routines.ShortValidator.<init>,0,0,0
org.apache.commons.validator.CreditCardValidator$Discover.matches,2,2,4
org.apache.commons.validator.ValidatorResult.getResult,1,1,2
org.apache.commons.validator.Validator.setUseContextClassLoader,0,0,0
org.apache.commons.validator.util.Flags.isOn,0,2,2
org.apache.commons.validator.ValidatorResources.addFormSet,6,6,12
org.apache.commons.validator.Arg.toString,0,0,0
org.apache.commons.validator.ValidatorAction.getValidationClassInstance,3,1,4
org.apache.commons.validator.ValidatorResult$ResultStatus.setResult,0,0,0
org.apache.commons.validator.routines.IntegerValidator.<init>,0,0,0
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit.<clinit>,0,0,0
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit.isValid,0,12,12
org.apache.commons.validator.routines.BigDecimalValidator.<init>,0,0,0
org.apache.commons.validator.routines.ByteValidator.isInRange,0,4,4
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.toInt,0,2,2
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit.weightedValue,0,0,0
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit.<clinit>,0,0,0
org.apache.commons.validator.GenericTypeValidator.formatLong,7,7,14
org.apache.commons.validator.Field.setIndexedProperty,0,0,0
org.apache.commons.validator.UrlValidator.countToken,0,4,4
org.apache.commons.validator.routines.FloatValidator.minValue,0,2,2
org.apache.commons.validator.routines.EmailValidator.<clinit>,0,0,0
org.apache.commons.validator.Field.processVars,0,2,2
org.apache.commons.validator.routines.CurrencyValidator.getInstance,0,0,0
org.apache.commons.validator.Arg.setName,0,0,0
org.apache.commons.validator.routines.RegexValidator.toString,0,4,4
org.apache.commons.validator.routines.InetAddressValidator.isValidInet4Address,2,12,14
org.apache.commons.validator.Form.merge,2,4,6
org.apache.commons.validator.FormSet.toString,2,0,2
org.apache.commons.validator.Msg.getBundle,0,0,0
org.apache.commons.validator.FormSet.getVariant,0,0,0
org.apache.commons.validator.routines.UrlValidator.<clinit>,0,0,0
org.apache.commons.validator.Form.toString,2,0,2
org.apache.commons.validator.FormSet.<init>,0,0,0
org.apache.commons.validator.routines.PercentValidator.<clinit>,0,0,0
org.apache.commons.validator.routines.ShortValidator.<clinit>,0,0,0
org.apache.commons.validator.routines.TimeValidator.processParsedValue,0,0,0
org.apache.commons.validator.routines.DomainValidator$IDNBUGHOLDER.keepsTrailingDot,0,0,0
org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit.weightedValue,0,0,0
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit.calculateModulus,1,1,2
org.apache.commons.validator.routines.ISSNValidator.<init>,0,0,0
org.apache.commons.validator.ValidatorResults.merge,0,0,0
org.apache.commons.validator.ValidatorAction.loadValidationClass,1,1,2
org.apache.commons.validator.Field.isDependency,0,0,0
org.apache.commons.validator.ValidatorAction.javascriptAlreadyLoaded,1,1,2
org.apache.commons.validator.routines.ByteValidator.getInstance,0,0,0
org.apache.commons.validator.routines.UrlValidator.isOn,0,2,2
org.apache.commons.validator.ValidatorResources.addConstant,2,0,2
org.apache.commons.validator.GenericValidator.isShort,0,2,2
org.apache.commons.validator.routines.DoubleValidator.<init>,0,0,0
org.apache.commons.validator.routines.DomainValidator.isValidInfrastructureTld,0,0,0
org.apache.commons.validator.routines.UrlValidator.isValidFragment,0,2,2
org.apache.commons.validator.GenericValidator.isInt,0,2,2
org.apache.commons.validator.FormSet.getCountry,0,0,0
org.apache.commons.validator.ValidatorAction.isValid,0,4,4
org.apache.commons.validator.routines.ByteValidator.processParsedValue,0,4,4
org.apache.commons.validator.FormSetFactory.createFormSet,2,4,6
org.apache.commons.validator.util.ValidatorUtils.copyMap,8,0,8
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit.weightedValue,0,4,4
org.apache.commons.validator.routines.DoubleValidator.validate,0,0,0
org.apache.commons.validator.routines.IntegerValidator.<clinit>,0,0,0
org.apache.commons.validator.Field.processArg,2,6,8
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit.<init>,0,0,0
org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit.<init>,0,0,0
org.apache.commons.validator.Field.clone,6,0,6
org.apache.commons.validator.Form.isProcessed,0,0,0
org.apache.commons.validator.ValidatorAction.getDependencyList,0,0,0
org.apache.commons.validator.routines.CalendarValidator.compareMonths,0,0,0
org.apache.commons.validator.routines.UrlValidator.isValidQuery,0,2,2
org.apache.commons.validator.ValidatorResources.getActions,0,0,0
org.apache.commons.validator.ValidatorAction.getClassname,0,0,0
org.apache.commons.validator.Field.getMsgMap,0,0,0
org.apache.commons.validator.routines.AbstractFormatValidator.isStrict,0,0,0
org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit.weightedValue,0,0,0
org.apache.commons.validator.ValidatorResult.<init>,0,0,0
org.apache.commons.validator.routines.ISBNValidator.isValid,0,4,4
org.apache.commons.validator.routines.LongValidator.minValue,0,2,2
org.apache.commons.validator.Form.setExtends,0,0,0
org.apache.commons.validator.UrlValidator.<clinit>,0,0,0
org.apache.commons.validator.routines.DomainValidator.chompLeadingDot,0,2,2
org.apache.commons.validator.ValidatorResults.<init>,0,0,0
org.apache.commons.validator.Field.<init>,0,0,0
org.apache.commons.validator.ValidatorAction.onlyReturnErrors,0,0,0
org.apache.commons.validator.CreditCardValidator$Mastercard.matches,1,3,4
org.apache.commons.validator.routines.FloatValidator.isInRange,0,4,4
org.apache.commons.validator.Field.setKey,0,0,0
org.apache.commons.validator.CreditCardValidator.isValid,0,12,12
org.apache.commons.validator.UrlValidator.isValidPath,3,9,12
org.apache.commons.validator.Field.getKey,0,2,2
org.apache.commons.validator.util.Flags.isOff,0,2,2
org.apache.commons.validator.GenericValidator.isDate,0,0,0
org.apache.commons.validator.routines.DomainValidator.<clinit>,0,0,0
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit.<init>,0,0,0
org.apache.commons.validator.Validator.clear,0,0,0
org.apache.commons.validator.routines.ISSNValidator.validate,0,0,0
org.apache.commons.validator.ValidatorAction.getDepends,0,0,0
org.apache.commons.validator.routines.AbstractCalendarValidator.compareQuarters,0,4,4
org.apache.commons.validator.routines.BigDecimalValidator.isInRange,0,4,4
org.apache.commons.validator.routines.CreditCardValidator.isValid,0,8,8
org.apache.commons.validator.Field.getArg,1,9,10
org.apache.commons.validator.routines.AbstractFormatValidator.format,0,0,0
org.apache.commons.validator.UrlValidator.isValidQuery,0,2,2
org.apache.commons.validator.Var.setName,0,0,0
org.apache.commons.validator.routines.BigDecimalValidator.getInstance,0,0,0
org.apache.commons.validator.routines.CalendarValidator.getInstance,0,0,0
org.apache.commons.validator.routines.TimeValidator.<clinit>,0,0,0
org.apache.commons.validator.routines.IBANValidator.createValidators,0,2,2
org.apache.commons.validator.routines.AbstractCalendarValidator.getFormat,2,20,22
org.apache.commons.validator.routines.CurrencyValidator.<init>,0,0,0
org.apache.commons.validator.FormSet.isMerged,0,0,0
org.apache.commons.validator.routines.IntegerValidator.maxValue,0,2,2
org.apache.commons.validator.Validator.setOnlyReturnErrors,0,0,0
org.apache.commons.validator.Validator.setFormName,0,0,0
org.apache.commons.validator.util.Flags.<init>,0,0,0
org.apache.commons.validator.Msg.clone,0,0,0
org.apache.commons.validator.Field.getArgs,0,2,2
org.apache.commons.validator.routines.AbstractCalendarValidator.format,0,8,8
org.apache.commons.validator.routines.EmailValidator.getInstance,0,6,6
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit.toCheckDigit,0,2,2
org.apache.commons.validator.ValidatorResources.process,0,0,0
org.apache.commons.validator.Msg.setResource,0,0,0
org.apache.commons.validator.routines.FloatValidator.processParsedValue,0,12,12
org.apache.commons.validator.routines.DomainValidator.arrayContains,0,2,2
org.apache.commons.validator.routines.CreditCardValidator.genericCreditCardValidator,0,0,0
org.apache.commons.validator.EmailValidator.isValid,0,0,0
