class,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.validator.routines.PercentValidator,83.33333,50.0,33.33333
org.apache.commons.validator.CreditCardValidator,96.666664,76.666664,20.0
org.apache.commons.validator.routines.CurrencyValidator,80.0,50.0,30.0
org.apache.commons.validator.routines.ISBNValidator,95.0,70.0,25.0
org.apache.commons.validator.routines.BigIntegerValidator,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,90.0,20.0,70.0
org.apache.commons.validator.Validator,50.0,21.428572,28.571428
org.apache.commons.validator.routines.EmailValidator,90.0,90.0,0.0
org.apache.commons.validator.routines.ShortValidator,100.0,83.33333,16.666672
org.apache.commons.validator.Form,76.47059,58.823532,17.647057
org.apache.commons.validator.util.ValidatorUtils,26.31579,26.31579,0.0
org.apache.commons.validator.routines.AbstractNumberValidator,91.52542,44.0678,47.457623
org.apache.commons.validator.routines.FloatValidator,100.0,85.0,15.0
org.apache.commons.validator.routines.RegexValidator,100.0,76.190475,23.809525
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,100.0,100.0,0.0
org.apache.commons.validator.GenericValidator,24.324326,13.513513,10.810813
org.apache.commons.validator.routines.IBANValidator,80.0,65.0,15.0
org.apache.commons.validator.CreditCardValidator$Amex,75.0,75.0,0.0
org.apache.commons.validator.ValidatorAction,55.128204,32.051285,23.07692
org.apache.commons.validator.ValidatorResult,50.0,50.0,0.0
org.apache.commons.validator.routines.UrlValidator,91.860466,50.0,41.860466
org.apache.commons.validator.routines.BigDecimalValidator,100.0,83.33333,16.666672
org.apache.commons.validator.routines.DoubleValidator,100.0,90.0,10.0
org.apache.commons.validator.routines.InetAddressValidator,90.625,71.875,18.75
org.apache.commons.validator.CreditCardValidator$Visa,83.33333,83.33333,0.0
org.apache.commons.validator.CreditCardValidator$Discover,50.0,50.0,0.0
org.apache.commons.validator.util.Flags,50.0,41.666664,8.333336
org.apache.commons.validator.routines.CreditCardValidator,90.0,64.0,26.0
org.apache.commons.validator.routines.DateValidator,50.0,50.0,0.0
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit,100.0,35.714287,64.28571
org.apache.commons.validator.routines.DomainValidator,87.95181,45.78313,42.168682
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,87.5,37.5,50.0
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,100.0,50.0,50.0
org.apache.commons.validator.FormSetFactory,62.5,12.5,50.0
org.apache.commons.validator.ValidatorResults,80.0,50.0,30.0
org.apache.commons.validator.FormSet,36.95652,26.086956,10.869564
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,96.666664,33.333336,63.33333
org.apache.commons.validator.routines.CreditCardValidator$1,81.25,81.25,0.0
org.apache.commons.validator.routines.ISSNValidator,100.0,33.333336,66.666664
org.apache.commons.validator.CreditCardValidator$Mastercard,75.0,75.0,0.0
org.apache.commons.validator.routines.AbstractCalendarValidator,91.111115,78.888885,12.222229
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,100.0,50.0,50.0
org.apache.commons.validator.routines.AbstractFormatValidator,87.5,75.0,12.5
org.apache.commons.validator.ValidatorResources,78.26087,32.608696,45.652176
org.apache.commons.validator.routines.LongValidator,100.0,90.0,10.0
org.apache.commons.validator.routines.IntegerValidator,100.0,83.33333,16.666672
org.apache.commons.validator.GenericTypeValidator,48.076923,15.384616,32.692307
org.apache.commons.validator.routines.CodeValidator,96.15385,88.46153,7.692314
org.apache.commons.validator.Field,66.66667,50.757576,15.909096
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,91.66667,41.666664,50.000008
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,100.0,33.333336,66.666664
org.apache.commons.validator.routines.ByteValidator,100.0,83.33333,16.666672
