method,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.validator.ValidatorAction.setMethodParams,66.66667,50.0,16.666672
org.apache.commons.validator.routines.LongValidator.maxValue,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit.toInt,100.0,50.0,50.0
org.apache.commons.validator.routines.AbstractNumberValidator.isValid,100.0,100.0,0.0
org.apache.commons.validator.Field.isIndexed,25.0,25.0,0.0
org.apache.commons.validator.routines.IBANValidator.isValid,83.33333,83.33333,0.0
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit.isValid,100.0,50.0,50.0
org.apache.commons.validator.GenericValidator.adjustForLineEnding,100.0,50.0,50.0
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit.weightedValue,100.0,100.0,0.0
org.apache.commons.validator.routines.ByteValidator.minValue,100.0,100.0,0.0
org.apache.commons.validator.routines.AbstractCalendarValidator.isValid,100.0,100.0,0.0
org.apache.commons.validator.routines.DoubleValidator.minValue,100.0,100.0,0.0
org.apache.commons.validator.util.ValidatorUtils.getValueAsString,40.0,40.0,0.0
org.apache.commons.validator.ValidatorResult.getResult,50.0,50.0,0.0
org.apache.commons.validator.CreditCardValidator$Discover.matches,50.0,50.0,0.0
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit.calculateModulus,90.0,30.000002,60.0
org.apache.commons.validator.util.Flags.isOn,100.0,100.0,0.0
org.apache.commons.validator.ValidatorResources.addFormSet,50.0,16.666668,33.333332
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.isValid,100.0,66.66667,33.33333
org.apache.commons.validator.routines.AbstractCalendarValidator.calculateQuarter,100.0,75.0,25.0
org.apache.commons.validator.routines.UrlValidator.isValidAuthority,85.71429,42.857143,42.857143
org.apache.commons.validator.ValidatorAction.getValidationClassInstance,25.0,25.0,0.0
org.apache.commons.validator.FormSet.merge,83.33333,66.66667,16.666656
org.apache.commons.validator.routines.AbstractCalendarValidator.compareTime,93.75,93.75,0.0
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.calculateModulus,100.0,50.0,50.0
org.apache.commons.validator.ValidatorAction.executeValidationMethod,66.66667,50.0,16.666672
org.apache.commons.validator.routines.AbstractCalendarValidator.compare,90.909096,90.909096,0.0
org.apache.commons.validator.routines.EmailValidator.isValidDomain,90.0,90.0,0.0
org.apache.commons.validator.routines.PercentValidator.parse,83.33333,50.0,33.33333
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit.isValid,100.0,58.333332,41.666668
org.apache.commons.validator.routines.ByteValidator.isInRange,100.0,100.0,0.0
org.apache.commons.validator.Form.isExtending,100.0,100.0,0.0
org.apache.commons.validator.routines.UrlValidator.isOff,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.toInt,100.0,100.0,0.0
org.apache.commons.validator.routines.DateValidator.getCalendar,50.0,50.0,0.0
org.apache.commons.validator.routines.UrlValidator.isValid,90.0,40.0,50.0
org.apache.commons.validator.routines.FloatValidator.minValue,100.0,100.0,0.0
org.apache.commons.validator.routines.CreditCardValidator$1.validate,92.85714,92.85714,0.0
org.apache.commons.validator.ValidatorResources.getForm,91.66667,37.5,54.16667
org.apache.commons.validator.Field.processVars,100.0,50.0,50.0
org.apache.commons.validator.ValidatorAction.loadValidationMethod,50.0,50.0,0.0
org.apache.commons.validator.routines.RegexValidator.toString,100.0,25.0,75.0
org.apache.commons.validator.routines.InetAddressValidator.isValidInet4Address,85.71429,78.57143,7.1428604
org.apache.commons.validator.CreditCardValidator.<init>,100.0,50.0,50.0
org.apache.commons.validator.Field.generateKey,50.0,50.0,0.0
org.apache.commons.validator.Form.merge,66.66667,50.0,16.666672
org.apache.commons.validator.Form.validate,70.0,60.000004,9.999996
org.apache.commons.validator.routines.CreditCardValidator.isOn,100.0,50.0,50.0
org.apache.commons.validator.routines.DomainValidator.isValidTld,90.0,80.0,10.0
org.apache.commons.validator.routines.IntegerValidator.processParsedValue,100.0,50.0,50.0
org.apache.commons.validator.routines.RegexValidator.<init>,100.0,75.0,25.0
org.apache.commons.validator.routines.DomainValidator.unicodeToASCII,75.0,50.0,25.0
org.apache.commons.validator.util.Flags.toString,100.0,50.0,50.0
org.apache.commons.validator.routines.IBANValidator.setValidator,50.0,16.666668,33.333332
org.apache.commons.validator.ValidatorResources.<init>,87.5,50.0,37.5
org.apache.commons.validator.routines.UrlValidator.isValidPath,91.66667,50.0,41.66667
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.sumDigits,100.0,50.0,50.0
org.apache.commons.validator.CreditCardValidator$Visa.matches,83.33333,83.33333,0.0
org.apache.commons.validator.routines.BigDecimalValidator.processParsedValue,100.0,50.0,50.0
org.apache.commons.validator.routines.UrlValidator.countToken,100.0,50.0,50.0
org.apache.commons.validator.routines.ByteValidator.maxValue,100.0,100.0,0.0
org.apache.commons.validator.FormSet.process,100.0,50.0,50.0
org.apache.commons.validator.Field.setDepends,66.66667,50.0,16.666672
org.apache.commons.validator.ValidatorAction.loadValidationClass,50.0,50.0,0.0
org.apache.commons.validator.routines.CodeValidator.<init>,75.0,75.0,0.0
org.apache.commons.validator.routines.AbstractCalendarValidator.calculateCompareResult,100.0,100.0,0.0
org.apache.commons.validator.routines.ShortValidator.isInRange,100.0,100.0,0.0
org.apache.commons.validator.FormSet.addConstant,50.0,50.0,0.0
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit.calculateModulus,90.0,20.0,70.0
org.apache.commons.validator.util.ValidatorUtils.replace,50.0,50.0,0.0
org.apache.commons.validator.routines.CreditCardValidator.validate,87.5,87.5,0.0
org.apache.commons.validator.CreditCardValidator.luhnCheck,90.0,70.0,20.0
org.apache.commons.validator.routines.DoubleValidator.processParsedValue,100.0,50.0,50.0
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit.calculate,100.0,25.0,75.0
org.apache.commons.validator.routines.UrlValidator.isValidScheme,100.0,75.0,25.0
org.apache.commons.validator.routines.UrlValidator.isOn,100.0,100.0,0.0
org.apache.commons.validator.routines.CreditCardValidator.validLength,100.0,100.0,0.0
org.apache.commons.validator.routines.DomainValidator.isValidCountryCodeTld,100.0,66.66667,33.33333
org.apache.commons.validator.Field.validate,75.0,66.66667,8.333328
org.apache.commons.validator.routines.DoubleValidator.isInRange,100.0,100.0,0.0
org.apache.commons.validator.Validator.validate,75.0,25.0,50.0
org.apache.commons.validator.ValidatorResources.processForms,75.0,50.0,25.0
org.apache.commons.validator.routines.UrlValidator.isValidFragment,100.0,50.0,50.0
org.apache.commons.validator.routines.DomainValidator.isOnlyASCII,83.33333,83.33333,0.0
org.apache.commons.validator.ValidatorAction.isValid,100.0,100.0,0.0
org.apache.commons.validator.routines.ByteValidator.processParsedValue,100.0,50.0,50.0
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit.isValid,100.0,66.66667,33.33333
org.apache.commons.validator.FormSetFactory.createFormSet,66.66667,16.666668,50.000004
org.apache.commons.validator.ValidatorResults.add,100.0,50.0,50.0
