method,missed_stmt,covered_stmt,total_stmts
org.apache.commons.validator.routines.TimeValidator.compareTime,0,1,1
org.apache.commons.validator.Var.setResource,0,1,1
org.apache.commons.validator.routines.checkdigit.CheckDigit.null,0,0,0
org.apache.commons.validator.Arg.getName,0,1,1
org.apache.commons.validator.routines.DateValidator.compareMonths,0,3,3
org.apache.commons.validator.FormSet.getLanguage,0,1,1
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit.isValid,5,0,5
org.apache.commons.validator.GenericValidator.isEmail,0,1,1
org.apache.commons.validator.routines.DomainValidator.getTLDEntries,2,27,29
org.apache.commons.validator.Var.getJsType,0,1,1
org.apache.commons.validator.Field.setProperty,0,1,1
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit.weightedValue,0,3,3
org.apache.commons.validator.routines.ShortValidator.<init>,0,2,2
org.apache.commons.validator.ValidatorResult.getResult,0,3,3
org.apache.commons.validator.Validator.setUseContextClassLoader,1,0,1
org.apache.commons.validator.util.Flags.isOn,0,1,1
org.apache.commons.validator.ValidatorResources.addFormSet,4,8,12
org.apache.commons.validator.Arg.toString,13,0,13
org.apache.commons.validator.ValidatorAction.getValidationClassInstance,7,3,10
org.apache.commons.validator.routines.IntegerValidator.<init>,0,2,2
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit.isValid,1,8,9
org.apache.commons.validator.routines.BigDecimalValidator.<init>,0,3,3
org.apache.commons.validator.routines.ByteValidator.isInRange,0,2,2
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.toInt,0,3,3
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit.weightedValue,0,3,3
org.apache.commons.validator.GenericTypeValidator.formatLong,3,14,17
org.apache.commons.validator.Field.setIndexedProperty,1,0,1
org.apache.commons.validator.UrlValidator.countToken,0,8,8
org.apache.commons.validator.routines.FloatValidator.minValue,0,2,2
org.apache.commons.validator.Field.processVars,0,5,5
org.apache.commons.validator.routines.CurrencyValidator.getInstance,0,1,1
org.apache.commons.validator.Arg.setName,0,1,1
org.apache.commons.validator.routines.RegexValidator.toString,0,8,8
org.apache.commons.validator.routines.InetAddressValidator.isValidInet4Address,2,13,15
org.apache.commons.validator.Form.merge,2,15,17
