class,sc,omc_sc,cov_gap
org.apache.commons.validator.routines.PercentValidator,100.0,72.22222,27.777779
org.apache.commons.validator.CreditCardValidator,100.0,90.2439,9.7561035
org.apache.commons.validator.routines.CurrencyValidator,100.0,68.75,31.25
org.apache.commons.validator.routines.ISBNValidator,100.0,67.85714,32.14286
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,100.0,26.666668,73.33333
org.apache.commons.validator.routines.checkdigit.CheckDigitException,50.0,50.0,0.0
org.apache.commons.validator.routines.BigIntegerValidator,100.0,100.0,0.0
org.apache.commons.validator.routines.TimeValidator,100.0,100.0,0.0
org.apache.commons.validator.Validator,52.380955,38.095238,14.285717
org.apache.commons.validator.Var,35.48387,32.258064,3.2258072
org.apache.commons.validator.routines.EmailValidator,89.47369,81.57895,7.8947372
org.apache.commons.validator.routines.ShortValidator,100.0,94.117645,5.8823547
org.apache.commons.validator.Form,81.08108,70.27027,10.810806
org.apache.commons.validator.util.ValidatorUtils,32.142857,25.0,7.1428566
org.apache.commons.validator.routines.AbstractNumberValidator,95.454544,60.606064,34.84848
org.apache.commons.validator.routines.FloatValidator,100.0,92.30769,7.6923065
org.apache.commons.validator.routines.RegexValidator,100.0,82.35294,17.647057
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,100.0,75.0,25.0
org.apache.commons.validator.GenericValidator,37.2093,32.55814,4.651161
org.apache.commons.validator.routines.IBANValidator,85.29411,50.0,35.294113
org.apache.commons.validator.routines.CalendarValidator,100.0,59.25926,40.74074
org.apache.commons.validator.ISBNValidator,100.0,50.0,50.0
org.apache.commons.validator.ValidatorAction,60.843372,35.542168,25.301205
org.apache.commons.validator.ValidatorResult,66.66667,55.555557,11.1111145
org.apache.commons.validator.routines.UrlValidator,92.38095,76.190475,16.190475
org.apache.commons.validator.routines.BigDecimalValidator,100.0,78.94737,21.052628
org.apache.commons.validator.EmailValidator,3.7037036,1.8518518,1.8518518
org.apache.commons.validator.routines.DoubleValidator,100.0,93.75,6.25
org.apache.commons.validator.routines.InetAddressValidator,93.10345,70.68965,22.413795
org.apache.commons.validator.Arg,26.923079,23.076923,3.8461552
org.apache.commons.validator.util.Flags,60.000004,48.0,12.000004
org.apache.commons.validator.routines.DateValidator,97.05882,88.2353,8.823524
org.apache.commons.validator.routines.CreditCardValidator,90.66667,66.66667,24.0
org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit,100.0,66.66667,33.33333
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit,100.0,50.0,50.0
org.apache.commons.validator.routines.DomainValidator,92.85714,31.746033,61.111107
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,90.0,50.0,40.0
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,100.0,88.88889,11.111107
org.apache.commons.validator.FormSetFactory,85.71429,57.14286,28.571426
org.apache.commons.validator.ValidatorResults,85.71429,85.71429,0.0
org.apache.commons.validator.ValidatorException,50.0,50.0,0.0
org.apache.commons.validator.FormSet,48.684208,43.421055,5.263153
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,96.15385,50.0,46.153847
org.apache.commons.validator.routines.ISSNValidator,93.333336,46.666668,46.666668
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,100.0,50.0,50.0
org.apache.commons.validator.routines.AbstractFormatValidator,100.0,85.0,15.0
org.apache.commons.validator.routines.AbstractCalendarValidator,99.01961,84.31373,14.705879
org.apache.commons.validator.ValidatorResources,83.10811,56.75676,26.351349
org.apache.commons.validator.routines.LongValidator,100.0,93.75,6.25
org.apache.commons.validator.routines.IntegerValidator,100.0,94.117645,5.8823547
org.apache.commons.validator.GenericTypeValidator,81.06061,15.151516,65.90909
org.apache.commons.validator.Field,58.474575,48.728813,9.745762
org.apache.commons.validator.routines.CodeValidator,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,94.28571,57.14286,37.142853
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,90.909096,18.181818,72.72728
org.apache.commons.validator.routines.ByteValidator,100.0,94.117645,5.8823547
