method,sc,omc_sc,cov_gap
org.apache.commons.validator.routines.TimeValidator.compareTime,100.0,100.0,0.0
org.apache.commons.validator.ValidatorAction.setMethod,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit.toInt,100.0,80.0,20.0
org.apache.commons.validator.Var.setResource,100.0,100.0,0.0
org.apache.commons.validator.routines.AbstractNumberValidator.isValid,100.0,100.0,0.0
org.apache.commons.validator.Arg.getName,100.0,100.0,0.0
org.apache.commons.validator.routines.DateValidator.compareMonths,100.0,100.0,0.0
org.apache.commons.validator.Arg.getKey,100.0,100.0,0.0
org.apache.commons.validator.routines.AbstractNumberValidator.getFormatType,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit.isValid,100.0,57.14286,42.85714
org.apache.commons.validator.FormSet.getLanguage,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit.weightedValue,100.0,100.0,0.0
org.apache.commons.validator.GenericValidator.isEmail,100.0,100.0,0.0
org.apache.commons.validator.Var.getJsType,100.0,100.0,0.0
org.apache.commons.validator.routines.AbstractCalendarValidator.isValid,100.0,100.0,0.0
org.apache.commons.validator.Field.setProperty,100.0,100.0,0.0
org.apache.commons.validator.FormSet.getForms,100.0,100.0,0.0
org.apache.commons.validator.ValidatorResult.getResult,100.0,100.0,0.0
org.apache.commons.validator.routines.ShortValidator.<init>,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit.calculateModulus,100.0,80.0,20.0
org.apache.commons.validator.util.Flags.isOn,100.0,100.0,0.0
org.apache.commons.validator.ValidatorResources.addFormSet,66.66667,33.333336,33.333336
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.isValid,100.0,66.66667,33.33333
org.apache.commons.validator.routines.UrlValidator.isValidAuthority,93.333336,80.0,13.333336
org.apache.commons.validator.ValidatorAction.getValidationClassInstance,30.000002,30.000002,0.0
org.apache.commons.validator.routines.checkdigit.CheckDigitException.<init>,50.0,50.0,0.0
org.apache.commons.validator.FormSet.merge,100.0,90.909096,9.090904
org.apache.commons.validator.util.Flags.turnOffAll,100.0,100.0,0.0
org.apache.commons.validator.routines.IntegerValidator.getInstance,100.0,100.0,0.0
org.apache.commons.validator.routines.AbstractNumberValidator.<init>,100.0,66.66667,33.33333
org.apache.commons.validator.ValidatorAction.executeValidationMethod,74.19355,58.064514,16.129036
org.apache.commons.validator.routines.IntegerValidator.<init>,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit.isValid,88.88889,55.555557,33.333336
org.apache.commons.validator.routines.PercentValidator.parse,100.0,80.0,20.0
org.apache.commons.validator.Var.getBundle,100.0,100.0,0.0
org.apache.commons.validator.routines.BigDecimalValidator.<init>,100.0,33.333336,66.666664
org.apache.commons.validator.Form.isExtending,100.0,100.0,0.0
org.apache.commons.validator.routines.ByteValidator.isInRange,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit.toInt,100.0,100.0,0.0
org.apache.commons.validator.routines.UrlValidator.isOff,100.0,100.0,0.0
org.apache.commons.validator.CreditCardValidator.matches,100.0,100.0,0.0
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit.weightedValue,100.0,100.0,0.0
org.apache.commons.validator.routines.FloatValidator.minValue,100.0,100.0,0.0
org.apache.commons.validator.Field.processVars,100.0,80.0,20.0
org.apache.commons.validator.ValidatorAction.loadValidationMethod,60.000004,40.0,20.000004
org.apache.commons.validator.Form.getFieldMap,100.0,100.0,0.0
org.apache.commons.validator.Arg.setName,100.0,100.0,0.0
org.apache.commons.validator.routines.CurrencyValidator.getInstance,100.0,100.0,0.0
org.apache.commons.validator.routines.RegexValidator.toString,100.0,37.5,62.5
org.apache.commons.validator.routines.InetAddressValidator.isValidInet4Address,86.666664,66.66667,19.999992
