class,missed_branch, covered_branch, total_branch  
org.apache.commons.lang3.time.FastDatePrinter$TextField,4,0,4
org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper,1,7,8
org.apache.commons.lang3.time.FormatCache,18,0,18
org.apache.commons.lang3.concurrent.ConcurrentUtils,34,0,34
org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,0,4,4
org.apache.commons.lang3.concurrent.BackgroundInitializer$InitializationTask,2,0,2
org.apache.commons.lang3.text.StrBuilder$StrBuilderTokenizer,2,2,4
org.apache.commons.lang3.reflect.TypeLiteral,2,2,4
org.apache.commons.lang3.time.FastDatePrinter$TimeZoneDisplayKey,12,0,12
org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,2,0,2
org.apache.commons.lang3.text.translate.UnicodeEscaper,0,12,12
org.apache.commons.lang3.StringUtils,28,1493,1521
org.apache.commons.lang3.exception.DefaultExceptionContext,0,24,24
org.apache.commons.lang3.time.FormatCache$MultipartKey,6,0,6
org.apache.commons.lang3.CharSet,0,34,34
org.apache.commons.lang3.ClassUtils,13,233,246
org.apache.commons.lang3.time.FastDateParser$TimeZoneStrategy$TzInfo,2,0,2
org.apache.commons.lang3.tuple.Pair,1,11,12
org.apache.commons.lang3.concurrent.BackgroundInitializer,10,0,10
org.apache.commons.lang3.time.FastDatePrinter,143,0,143
org.apache.commons.lang3.builder.IDKey,3,3,6
org.apache.commons.lang3.CharEncoding,0,2,2
org.apache.commons.lang3.mutable.MutableLong,0,4,4
org.apache.commons.lang3.text.translate.AggregateTranslator,0,4,4
org.apache.commons.lang3.builder.HashCodeBuilder,2,92,94
org.apache.commons.lang3.time.FastDatePrinter$PaddedNumberField,2,0,2
org.apache.commons.lang3.text.FormattableUtils,1,15,16
org.apache.commons.lang3.tuple.Triple,2,14,16
org.apache.commons.lang3.text.translate.OctalUnescaper,4,20,24
org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule,2,0,2
org.apache.commons.lang3.reflect.TypeUtils$GenericArrayTypeImpl,6,0,6
org.apache.commons.lang3.concurrent.TimedSemaphore,22,0,22
org.apache.commons.lang3.text.ExtendedMessageFormat,31,78,109
org.apache.commons.lang3.JavaVersion,6,28,34
org.apache.commons.lang3.ThreadUtils$ThreadIdPredicate,6,0,6
org.apache.commons.lang3.time.StopWatch,30,0,30
org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed,2,0,2
org.apache.commons.lang3.concurrent.LazyInitializer,4,0,4
