method,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.lang3.Validate.finite,100.0,75.0,25.0
org.apache.commons.lang3.builder.ReflectionDiffBuilder.accept,100.0,50.0,50.0
org.apache.commons.lang3.text.StrBuilder.lastIndexOf,100.0,100.0,0.0
org.apache.commons.lang3.math.Fraction.invert,100.0,33.333336,66.666664
org.apache.commons.lang3.reflect.MethodUtils.getMatchingAccessibleMethod,92.30769,61.538464,30.76923
org.apache.commons.lang3.mutable.MutableBoolean.hashCode,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.startsWith,100.0,100.0,0.0
org.apache.commons.lang3.math.NumberUtils.createDouble,100.0,100.0,0.0
org.apache.commons.lang3.text.StrSubstitutor.substitute,100.0,76.08696,23.91304
org.apache.commons.lang3.exception.ExceptionUtils.getMessage,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.wrapIfMissing,87.5,37.5,50.0
org.apache.commons.lang3.exception.ExceptionUtils.getCause,100.0,100.0,0.0
org.apache.commons.lang3.reflect.ConstructorUtils.isAccessible,100.0,100.0,0.0
org.apache.commons.lang3.Conversion.longToHex,87.5,37.5,50.0
org.apache.commons.lang3.ObjectUtils.compare,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.getDigits,100.0,50.0,50.0
org.apache.commons.lang3.reflect.TypeUtils.equals,63.333332,23.333334,40.0
org.apache.commons.lang3.text.StrMatcher$StringMatcher.isMatch,100.0,100.0,0.0
org.apache.commons.lang3.reflect.FieldUtils.getFieldsListWithAnnotation,100.0,50.0,50.0
org.apache.commons.lang3.text.StrBuilder.endsWith,100.0,100.0,0.0
org.apache.commons.lang3.exception.ExceptionUtils.getThrowableList,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.countMatches,100.0,83.33333,16.666672
org.apache.commons.lang3.Conversion.longToBinary,87.5,37.5,50.0
org.apache.commons.lang3.ClassUtils.toClass,100.0,75.0,25.0
org.apache.commons.lang3.RandomUtils.nextFloat,100.0,33.333336,66.666664
org.apache.commons.lang3.text.StrBuilder.contains,100.0,100.0,0.0
org.apache.commons.lang3.EnumUtils.isValidEnum,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.removeEndIgnoreCase,100.0,100.0,0.0
org.apache.commons.lang3.reflect.MethodUtils.invokeMethod,75.0,37.5,37.5
org.apache.commons.lang3.StringUtils.length,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.isNotBlank,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.containsNone,100.0,100.0,0.0
org.apache.commons.lang3.builder.DiffBuilder.append,98.039215,65.68627,32.352943
org.apache.commons.lang3.StringUtils.defaultString,100.0,100.0,0.0
org.apache.commons.lang3.SystemUtils.isJavaVersionMatch,100.0,100.0,0.0
org.apache.commons.lang3.CharSetUtils.count,100.0,75.0,25.0
org.apache.commons.lang3.Conversion.binaryToByte,66.66667,41.666664,25.000008
org.apache.commons.lang3.Validate.notNull,100.0,50.0,50.0
org.apache.commons.lang3.math.NumberUtils.compare,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.right,100.0,100.0,0.0
org.apache.commons.lang3.math.NumberUtils.toShort,100.0,100.0,0.0
org.apache.commons.lang3.ArrayUtils.addAll,97.368416,94.73685,2.631569
org.apache.commons.lang3.Conversion.uuidToByteArray,62.5,12.5,50.0
org.apache.commons.lang3.Range.<init>,75.0,25.0,50.0
org.apache.commons.lang3.text.StrLookup$SystemPropertiesStrLookup.lookup,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.isNotEmpty,100.0,100.0,0.0
org.apache.commons.lang3.reflect.ConstructorUtils.getMatchingAccessibleConstructor,90.0,60.000004,29.999996
org.apache.commons.lang3.StringUtils.reverseDelimited,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.<init>,100.0,75.0,25.0
org.apache.commons.lang3.LocaleUtils.isISO3166CountryCode,100.0,50.0,50.0
org.apache.commons.lang3.builder.DiffResult.<init>,100.0,25.0,75.0
org.apache.commons.lang3.StringUtils.equals,100.0,100.0,0.0
org.apache.commons.lang3.text.StrTokenizer.readNextToken,85.71429,85.71429,0.0
org.apache.commons.lang3.math.Fraction.addSub,100.0,77.77778,22.222221
org.apache.commons.lang3.ObjectUtils.mode,100.0,75.0,25.0
org.apache.commons.lang3.event.EventUtils$EventBindingInvocationHandler.hasMatchingParametersMethod,100.0,100.0,0.0
org.apache.commons.lang3.exception.ExceptionUtils.wrapAndThrow,100.0,50.0,50.0
org.apache.commons.lang3.ClassUtils.isInnerClass,100.0,100.0,0.0
