class,sc,omc_sc,cov_gap
org.apache.commons.lang3.tuple.MutableTriple,100.0,83.33333,16.666672
org.apache.commons.lang3.mutable.MutableInt,100.0,91.489365,8.510635
org.apache.commons.lang3.CharRange,100.0,75.36232,24.63768
org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,100.0,100.0,0.0
org.apache.commons.lang3.reflect.TypeLiteral,63.636364,18.181818,45.454544
org.apache.commons.lang3.StringUtils,99.82227,83.76777,16.054504
org.apache.commons.lang3.ClassUtils,96.666664,69.393936,27.272728
org.apache.commons.lang3.CharSet,100.0,78.723404,21.276596
org.apache.commons.lang3.reflect.MemberUtils,96.34146,79.268295,17.073166
org.apache.commons.lang3.tuple.MutablePair,100.0,66.66667,33.33333
org.apache.commons.lang3.tuple.Pair,100.0,100.0,0.0
org.apache.commons.lang3.builder.IDKey,77.77778,66.66667,11.111107
org.apache.commons.lang3.CharEncoding,100.0,80.0,20.0
org.apache.commons.lang3.mutable.MutableLong,100.0,91.489365,8.510635
org.apache.commons.lang3.math.IEEE754rUtils,100.0,83.33333,16.666672
org.apache.commons.lang3.event.EventUtils,93.75,56.25,37.5
org.apache.commons.lang3.builder.HashCodeBuilder,97.74436,83.45864,14.285721
org.apache.commons.lang3.text.FormattableUtils,86.666664,40.0,46.666664
org.apache.commons.lang3.StringEscapeUtils,100.0,45.714287,54.285713
org.apache.commons.lang3.mutable.MutableObject,100.0,86.666664,13.333336
org.apache.commons.lang3.text.StrSubstitutor,97.11935,71.19341,25.925934
org.apache.commons.lang3.tuple.Triple,100.0,100.0,0.0
org.apache.commons.lang3.JavaVersion,88.88889,75.55556,13.333336
org.apache.commons.lang3.Conversion,93.95085,59.73535,34.2155
org.apache.commons.lang3.builder.Diff,100.0,83.33333,16.666672
org.apache.commons.lang3.ClassPathUtils,100.0,30.769232,69.23077
org.apache.commons.lang3.builder.ToStringBuilder,97.6,52.8,44.8
org.apache.commons.lang3.AnnotationUtils,90.909096,68.59504,22.314056
org.apache.commons.lang3.RandomStringUtils,100.0,69.230774,30.769226
org.apache.commons.lang3.builder.DiffResult,100.0,59.090908,40.909092
org.apache.commons.lang3.math.Fraction,98.0,76.0,22.0
org.apache.commons.lang3.mutable.MutableBoolean,100.0,85.0,15.0
org.apache.commons.lang3.text.CompositeFormat,100.0,42.857143,57.142857
org.apache.commons.lang3.text.StrBuilder,97.58883,38.451775,59.137054
org.apache.commons.lang3.exception.ExceptionUtils,92.85714,77.14286,15.714279
org.apache.commons.lang3.text.StrTokenizer,94.545456,73.18182,21.363632
org.apache.commons.lang3.RandomUtils,100.0,63.333332,36.666668
org.apache.commons.lang3.NotImplementedException,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableFloat,100.0,91.489365,8.510635
org.apache.commons.lang3.builder.ReflectionDiffBuilder,94.117645,76.47059,17.647057
org.apache.commons.lang3.text.WordUtils,100.0,56.060608,43.939392
org.apache.commons.lang3.CharSetUtils,100.0,61.666668,38.333332
org.apache.commons.lang3.reflect.MethodUtils,94.24779,70.79646,23.451324
org.apache.commons.lang3.builder.ToStringStyle,86.27859,10.18711,76.09148
org.apache.commons.lang3.BooleanUtils,100.0,75.62189,24.378113
org.apache.commons.lang3.ArrayUtils,98.471725,79.97962,18.492104
org.apache.commons.lang3.BitField,100.0,94.73685,5.263153
org.apache.commons.lang3.ArchUtils,89.28571,3.5714288,85.71429
org.apache.commons.lang3.text.StrMatcher,97.82609,76.08696,21.739128
org.apache.commons.lang3.CharSequenceUtils,95.71428,55.714287,39.999992
org.apache.commons.lang3.CharUtils,100.0,73.58491,26.415092
org.apache.commons.lang3.LocaleUtils,100.0,78.409096,21.590904
org.apache.commons.lang3.mutable.MutableDouble,100.0,91.66667,8.333328
org.apache.commons.lang3.arch.Processor,100.0,77.77778,22.222221
org.apache.commons.lang3.reflect.InheritanceUtils,100.0,90.909096,9.090904
org.apache.commons.lang3.ObjectUtils,97.70992,76.33588,21.374046
org.apache.commons.lang3.EnumUtils,100.0,57.377045,42.622955
org.apache.commons.lang3.reflect.FieldUtils,100.0,51.6129,48.3871
org.apache.commons.lang3.text.StrLookup,100.0,80.0,20.0
org.apache.commons.lang3.mutable.MutableShort,100.0,91.66667,8.333328
org.apache.commons.lang3.mutable.MutableByte,100.0,91.66667,8.333328
org.apache.commons.lang3.builder.EqualsBuilder,89.92537,83.208954,6.7164154
org.apache.commons.lang3.Range,98.7013,80.51948,18.181824
org.apache.commons.lang3.text.translate.EntityArrays,100.0,13.333334,86.666664
org.apache.commons.lang3.builder.DiffBuilder,99.462364,68.27957,31.182793
org.apache.commons.lang3.reflect.TypeUtils,60.040157,24.096386,35.94377
org.apache.commons.lang3.tuple.ImmutableTriple,100.0,88.88889,11.111107
org.apache.commons.lang3.builder.ReflectionToStringBuilder,91.358025,29.62963,61.728394
org.apache.commons.lang3.SystemUtils,93.75,75.0,18.75
org.apache.commons.lang3.text.translate.CharSequenceTranslator,96.875,15.625,81.25
org.apache.commons.lang3.builder.CompareToBuilder,91.6,5.2000003,86.4
org.apache.commons.lang3.tuple.ImmutablePair,87.5,75.0,12.5
org.apache.commons.lang3.event.EventListenerSupport,65.789474,44.736843,21.052631
org.apache.commons.lang3.Validate,96.63866,91.59664,5.042015
org.apache.commons.lang3.math.NumberUtils,98.00498,66.08479,31.920189
org.apache.commons.lang3.text.translate.LookupTranslator,100.0,84.61539,15.384613
org.apache.commons.lang3.exception.CloneFailedException,100.0,100.0,0.0
org.apache.commons.lang3.reflect.ConstructorUtils,96.0,74.0,22.0
