method,sc,omc_sc,cov_gap
org.apache.commons.lang3.reflect.MethodUtils.invokeStaticMethod,100.0,60.000004,39.999996
org.apache.commons.lang3.Validate.finite,100.0,100.0,0.0
org.apache.commons.lang3.builder.ReflectionDiffBuilder.accept,100.0,60.000004,39.999996
org.apache.commons.lang3.text.StrSubstitutor.setValueDelimiterMatcher,100.0,50.0,50.0
org.apache.commons.lang3.mutable.MutableBoolean.hashCode,100.0,100.0,0.0
org.apache.commons.lang3.math.NumberUtils.createDouble,100.0,100.0,0.0
org.apache.commons.lang3.exception.ExceptionUtils.getMessage,100.0,60.000004,39.999996
org.apache.commons.lang3.reflect.ConstructorUtils.isAccessible,100.0,100.0,0.0
org.apache.commons.lang3.text.StrSubstitutor.setVariableSuffix,100.0,50.0,50.0
org.apache.commons.lang3.mutable.MutableFloat.incrementAndGet,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.getNullText,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableByte.addAndGet,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.getDigits,100.0,55.555557,44.444443
org.apache.commons.lang3.text.StrBuilder.endsWith,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableFloat.decrementAndGet,100.0,100.0,0.0
org.apache.commons.lang3.RandomUtils.nextFloat,100.0,66.66667,33.33333
org.apache.commons.lang3.StringUtils.countMatches,100.0,100.0,0.0
org.apache.commons.lang3.reflect.TypeUtils.parameterize,25.0,25.0,0.0
org.apache.commons.lang3.arch.Processor.getArch,100.0,100.0,0.0
org.apache.commons.lang3.EnumUtils.isValidEnum,100.0,83.33333,16.666672
org.apache.commons.lang3.CharRange.iterator,100.0,100.0,0.0
org.apache.commons.lang3.builder.ToStringBuilder.getStyle,100.0,100.0,0.0
org.apache.commons.lang3.CharUtils.compare,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.substring,100.0,66.66667,33.33333
org.apache.commons.lang3.reflect.MethodUtils.invokeMethod,100.0,75.0,25.0
org.apache.commons.lang3.StringUtils.length,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableDouble.hashCode,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.isNotBlank,100.0,100.0,0.0
org.apache.commons.lang3.SystemUtils.isJavaVersionMatch,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.defaultString,100.0,100.0,0.0
org.apache.commons.lang3.CharSetUtils.count,100.0,100.0,0.0
org.apache.commons.lang3.reflect.MethodUtils.invokeExactStaticMethod,100.0,66.66667,33.33333
org.apache.commons.lang3.Conversion.binaryToByte,90.909096,81.818184,9.090912
org.apache.commons.lang3.Validate.notNull,100.0,100.0,0.0
org.apache.commons.lang3.builder.EqualsBuilder.setEquals,100.0,100.0,0.0
org.apache.commons.lang3.Conversion.hexDigitToBinary,100.0,41.463413,58.536587
org.apache.commons.lang3.math.NumberUtils.toShort,100.0,83.33333,16.666672
org.apache.commons.lang3.mutable.MutableByte.longValue,100.0,100.0,0.0
org.apache.commons.lang3.ArrayUtils.addAll,98.71795,69.230774,29.487175
org.apache.commons.lang3.Conversion.uuidToByteArray,75.0,25.0,50.0
org.apache.commons.lang3.mutable.MutableFloat.add,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableFloat.intValue,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.reverseDelimited,100.0,80.0,20.0
org.apache.commons.lang3.text.StrBuilder.<init>,100.0,80.0,20.0
org.apache.commons.lang3.builder.ToStringBuilder.reflectionToString,25.0,25.0,0.0
org.apache.commons.lang3.builder.DiffResult.<init>,100.0,44.444447,55.555553
org.apache.commons.lang3.StringUtils.equals,100.0,100.0,0.0
org.apache.commons.lang3.math.Fraction.addSub,100.0,84.210526,15.7894745
org.apache.commons.lang3.text.StrTokenizer.readNextToken,100.0,93.75,6.25
org.apache.commons.lang3.mutable.MutableLong.toLong,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableByte.decrement,100.0,100.0,0.0
org.apache.commons.lang3.exception.ExceptionUtils.wrapAndThrow,100.0,100.0,0.0
org.apache.commons.lang3.BooleanUtils.isFalse,100.0,100.0,0.0
org.apache.commons.lang3.ArrayUtils.swap,100.0,82.03125,17.96875
org.apache.commons.lang3.math.NumberUtils.toByte,100.0,83.33333,16.666672
org.apache.commons.lang3.BooleanUtils.toInteger,100.0,100.0,0.0
org.apache.commons.lang3.LocaleUtils.isNumericAreaCode,100.0,100.0,0.0
org.apache.commons.lang3.builder.HashCodeBuilder.isRegistered,100.0,100.0,0.0
org.apache.commons.lang3.reflect.TypeUtils.isAssignable,36.06557,35.245903,0.8196678
org.apache.commons.lang3.mutable.MutableLong.hashCode,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableLong.floatValue,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.toString,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.size,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.trimToEmpty,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableDouble.decrement,100.0,100.0,0.0
org.apache.commons.lang3.tuple.ImmutablePair.of,100.0,100.0,0.0
org.apache.commons.lang3.reflect.MethodUtils.invokeExactMethod,100.0,70.0,30.0
org.apache.commons.lang3.Validate.isTrue,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableShort.longValue,100.0,100.0,0.0
org.apache.commons.lang3.tuple.Pair.compareTo,100.0,100.0,0.0
org.apache.commons.lang3.ObjectUtils.CONST,100.0,100.0,0.0
org.apache.commons.lang3.text.StrSubstitutor.setVariablePrefixMatcher,100.0,25.0,75.0
org.apache.commons.lang3.text.WordUtils.capitalizeFully,100.0,100.0,0.0
org.apache.commons.lang3.Conversion.hexToInt,90.909096,81.818184,9.090912
org.apache.commons.lang3.tuple.Triple.toString,100.0,100.0,0.0
org.apache.commons.lang3.reflect.FieldUtils.writeField,100.0,33.333336,66.666664
org.apache.commons.lang3.StringUtils.isAllUpperCase,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.replaceIgnoreCase,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableObject.<init>,100.0,33.333336,66.666664
org.apache.commons.lang3.StringUtils.repeat,100.0,63.88889,36.11111
org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit,100.0,79.16667,20.833328
org.apache.commons.lang3.mutable.MutableBoolean.isTrue,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableDouble.floatValue,100.0,100.0,0.0
org.apache.commons.lang3.tuple.MutableTriple.of,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder.equalsIgnoreCase,91.66667,91.66667,0.0
org.apache.commons.lang3.mutable.MutableFloat.addAndGet,100.0,100.0,0.0
org.apache.commons.lang3.exception.ExceptionUtils.hasCause,100.0,100.0,0.0
org.apache.commons.lang3.reflect.MethodUtils.getOverrideHierarchy,86.95652,73.91304,13.04348
org.apache.commons.lang3.text.StrTokenizer.getTSVClone,100.0,100.0,0.0
org.apache.commons.lang3.text.StrSubstitutor.replace,95.454544,66.66667,28.787872
org.apache.commons.lang3.exception.ExceptionUtils.typeErasure,100.0,100.0,0.0
org.apache.commons.lang3.builder.ToStringStyle.setSummaryObjectStartText,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.swapCase,100.0,77.77778,22.222221
org.apache.commons.lang3.ArrayUtils.compare,100.0,100.0,0.0
org.apache.commons.lang3.builder.ToStringStyle.getNullText,100.0,100.0,0.0
org.apache.commons.lang3.ObjectUtils.defaultIfNull,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.uncapitalize,100.0,66.66667,33.33333
org.apache.commons.lang3.CharSetUtils.modify,100.0,42.857143,57.142857
org.apache.commons.lang3.reflect.MemberUtils.isAccessible,100.0,100.0,0.0
org.apache.commons.lang3.reflect.TypeLiteral.getType,100.0,100.0,0.0
org.apache.commons.lang3.CharRange.prepareNext,100.0,100.0,0.0
org.apache.commons.lang3.text.StrLookup.noneLookup,100.0,100.0,0.0
org.apache.commons.lang3.text.FormattableUtils.append,100.0,46.153847,53.846153
org.apache.commons.lang3.StringUtils.unwrap,100.0,94.117645,5.8823547
org.apache.commons.lang3.reflect.MemberUtils.getParameterTypes,100.0,100.0,0.0
org.apache.commons.lang3.math.IEEE754rUtils.max,100.0,83.33333,16.666672
org.apache.commons.lang3.exception.ExceptionUtils.getRootCauseMessage,100.0,100.0,0.0
org.apache.commons.lang3.builder.ToStringStyle.getContentStart,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableFloat.subtract,100.0,100.0,0.0
org.apache.commons.lang3.CharUtils.isAsciiPrintable,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.isAlphaSpace,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.endsWithIgnoreCase,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils.rotate,100.0,60.000004,39.999996
org.apache.commons.lang3.ClassUtils.getAllInterfaces,100.0,100.0,0.0
org.apache.commons.lang3.math.NumberUtils.createBigDecimal,100.0,42.857143,57.142857
org.apache.commons.lang3.Range.getMinimum,100.0,100.0,0.0
org.apache.commons.lang3.StringEscapeUtils.unescapeEcmaScript,100.0,100.0,0.0
