class,missed_branch, covered_branch, total_branch  
org.jaxen.SimpleVariableContext,0,2,2
org.jaxen.xom.DocumentNavigator$IndexIterator,2,0,2
org.jaxen.javabean.DocumentNavigator,20,0,20
org.jaxen.function.ext.UpperFunction,1,5,6
org.jaxen.SimpleFunctionContext,0,2,2
org.jaxen.expr.DefaultTruthExpr,6,18,24
org.jaxen.expr.DefaultNameStep,16,94,110
org.jaxen.expr.DefaultGreaterThanEqualExpr,0,2,2
org.jaxen.XPathFunctionContext,0,2,2
org.jaxen.expr.IdentitySet$IdentityWrapper,1,1,2
org.jaxen.DefaultNavigator,9,9,18
org.jaxen.function.NameFunction,0,22,22
org.jaxen.expr.DefaultFunctionCallExpr,5,13,18
org.jaxen.util.AncestorOrSelfAxisIterator,0,4,4
org.jaxen.function.StringFunction,2,40,42
org.jaxen.function.IdFunction,1,11,12
org.jaxen.expr.DefaultProcessingInstructionNodeStep,2,8,10
org.jaxen.BaseXPath,2,24,26
org.jaxen.expr.DefaultLessThanExpr,0,2,2
org.jaxen.expr.PredicateSet,12,18,30
org.jaxen.function.ext.EndsWithFunction,1,3,4
org.jaxen.saxpath.SAXPathException,9,3,12
org.jaxen.expr.DefaultLessThanEqualExpr,0,2,2
org.jaxen.dom.DocumentNavigator$6,1,9,10
org.jaxen.dom.DocumentNavigator,17,93,110
org.jaxen.pattern.NodeTypeTest,10,0,10
org.jaxen.function.NumberFunction,3,27,30
org.jaxen.pattern.AnyChildNodeTest,8,0,8
org.jaxen.pattern.NamespaceTest,17,1,18
org.jaxen.expr.DefaultEqualsExpr,0,4,4
org.jaxen.expr.DefaultLocationPath,0,26,26
org.jaxen.dom4j.DocumentNavigator,14,54,68
org.jaxen.function.NotFunction,0,4,4
org.jaxen.expr.DefaultGreaterThanExpr,0,2,2
org.jaxen.util.PrecedingSiblingAxisIterator,1,13,14
org.jaxen.expr.NodeComparator,3,43,46
org.jaxen.function.SubstringAfterFunction,0,4,4
org.jaxen.ContextSupport,3,5,8
org.jaxen.expr.DefaultAndExpr,0,4,4
org.jaxen.util.FollowingSiblingAxisIterator,1,5,6
org.jaxen.pattern.LocationPathPattern,40,18,58
org.jaxen.util.PrecedingAxisIterator,1,15,16
org.jaxen.saxpath.helpers.XPathReaderFactory,0,6,6
org.jaxen.function.xslt.DocumentFunction,1,1,2
org.jaxen.expr.DefaultXPathFactory,5,26,31
org.jaxen.saxpath.base.XPathReader,17,152,169
org.jaxen.function.NamespaceUriFunction,0,24,24
org.jaxen.expr.DefaultEqualityExpr,5,31,36
org.jaxen.expr.DefaultRelationalExpr,7,19,26
org.jaxen.expr.DefaultNotEqualsExpr,0,6,6
org.jaxen.expr.DefaultPathExpr,7,17,24
org.jaxen.function.ext.EvaluateFunction,2,4,6
org.jaxen.function.ConcatFunction,0,4,4
org.jaxen.function.CountFunction,0,4,4
org.jaxen.pattern.PatternParser,15,39,54
org.jaxen.dom.DocumentNavigator$AttributeIterator,2,8,10
org.jaxen.function.LastFunction,0,2,2
org.jaxen.function.LocalNameFunction,0,22,22
org.jaxen.function.SubstringBeforeFunction,0,4,4
org.jaxen.function.BooleanFunction,1,19,20
org.jaxen.util.SingleObjectIterator,0,4,4
org.jaxen.function.RoundFunction,0,6,6
org.jaxen.function.ext.LowerFunction,3,3,6
org.jaxen.saxpath.base.XPathLexer,13,89,102
org.jaxen.javabean.JavaBeanXPath,16,0,16
org.jaxen.saxpath.Axis,0,40,40
org.jaxen.function.SubstringFunction,1,35,36
org.jaxen.SimpleNamespaceContext,2,10,12
org.jaxen.function.ContainsFunction,0,4,4
org.jaxen.expr.DefaultExpr,4,2,6
org.jaxen.function.FloorFunction,0,2,2
org.jaxen.expr.DefaultVariableReferenceExpr,3,3,6
org.jaxen.expr.DefaultUnionExpr,0,4,4
org.jaxen.util.DescendantAxisIterator,0,6,6
org.jaxen.pattern.UnionPattern,10,2,12
org.jaxen.dom.NamespaceNode,41,19,60
org.jaxen.xom.DocumentNavigator,76,0,76
org.jaxen.saxpath.XPathSyntaxException,2,0,2
org.jaxen.function.FalseFunction,0,2,2
org.jaxen.util.LinkedIterator,8,0,8
org.jaxen.function.CeilingFunction,0,2,2
org.jaxen.dom.DocumentNavigator$NodeIterator,2,10,12
org.jaxen.expr.DefaultStep,0,8,8
org.jaxen.util.FollowingAxisIterator,2,16,18
org.jaxen.function.TrueFunction,0,2,2
org.jaxen.pattern.NameTest,18,0,18
org.jaxen.jdom.DocumentNavigator,97,27,124
org.jaxen.JaxenHandler,8,24,32
org.jaxen.util.SingletonList,0,2,2
org.jaxen.expr.DefaultOrExpr,0,4,4
org.jaxen.function.TranslateFunction,1,29,30
org.jaxen.expr.DefaultLiteralExpr,0,2,2
org.jaxen.saxpath.base.Verifier,759,385,1144
org.jaxen.pattern.PatternHandler,35,0,35
org.jaxen.JaxenRuntimeException,9,3,12
org.jaxen.function.StartsWithFunction,0,4,4
org.jaxen.expr.DefaultFilterExpr,10,4,14
org.jaxen.XPathSyntaxException,0,2,2
org.jaxen.saxpath.base.TokenTypes,34,2,36
org.jaxen.function.StringLengthFunction,1,13,14
org.jaxen.function.SumFunction,0,6,6
org.jaxen.function.NormalizeSpaceFunction,1,21,22
org.jaxen.Context,1,3,4
org.jaxen.function.PositionFunction,0,2,2
org.jaxen.function.LangFunction,2,22,24
org.jaxen.util.StackedIterator,12,0,12
org.jaxen.expr.DefaultAbsoluteLocationPath,1,3,4
org.jaxen.QualifiedName,3,5,8
org.jaxen.function.ext.LocaleFunctionSupport,12,16,28
