method,missed_branch,covered_branch,total_branch
org.jaxen.saxpath.helpers.DefaultXPathHandler.endProcessingInstructionNodeStep,0,0,0
org.jaxen.pattern.NodeTypeTest.<clinit>,0,0,0
org.jaxen.expr.DefaultProcessingInstructionNodeStep.getText,1,3,4
org.jaxen.javabean.DocumentNavigator.getNamespaceAxisIterator,0,0,0
org.jaxen.XPathFunctionContext.registerXPathFunctions,0,0,0
org.jaxen.BaseXPath.<init>,0,0,0
org.jaxen.dom.DocumentNavigator.getPrecedingSiblingAxisIterator,0,0,0
org.jaxen.javabean.DocumentNavigator.getElementNamespaceUri,0,0,0
org.jaxen.expr.DefaultUnionExpr.getOperator,0,0,0
org.jaxen.function.SubstringBeforeFunction.<init>,0,0,0
org.jaxen.expr.DefaultEqualsExpr.evaluateObjectObject,0,4,4
org.jaxen.dom.DocumentNavigator$NodeIterator.isXPathNode,0,4,4
org.jaxen.expr.DefaultAbsoluteLocationPath.isAbsolute,0,0,0
org.jaxen.saxpath.base.Verifier.isXMLDigit,55,5,60
org.jaxen.expr.iter.IterableFollowingAxis.iterator,0,0,0
org.jaxen.expr.DefaultUnionExpr.toString,0,0,0
org.jaxen.SimpleVariableContext.getVariableValue,0,2,2
org.jaxen.pattern.LocationPathPattern.simplify,1,15,16
org.jaxen.saxpath.base.Token.setTokenType,0,0,0
org.jaxen.function.SumFunction.<init>,0,0,0
org.jaxen.pattern.PatternHandler.startAllNodeStep,0,0,0
org.jaxen.saxpath.base.XPathLexer.nextToken,0,37,37
org.jaxen.saxpath.base.XPathLexer.dots,0,2,2
org.jaxen.jdom.DocumentNavigator.translateNamespacePrefixToUri,16,0,16
org.jaxen.javabean.DocumentNavigator.getProcessingInstructionTarget,0,0,0
org.jaxen.util.SingletonList.<init>,0,0,0
org.jaxen.dom.NamespaceNode.lookupPrefix,0,0,0
org.jaxen.javabean.DocumentNavigator.getChildAxisIterator,8,0,8
org.jaxen.dom.NamespaceNode.getBaseURI,0,0,0
org.jaxen.xom.DocumentNavigator$1.get,0,0,0
org.jaxen.javabean.DocumentNavigator.isAttribute,0,0,0
org.jaxen.SimpleFunctionContext.registerFunction,0,0,0
org.jaxen.dom.NamespaceNode.cloneNode,0,0,0
org.jaxen.saxpath.SAXPathException.<init>,0,0,0
org.jaxen.dom.NamespaceNode.setUserData,0,0,0
org.jaxen.saxpath.base.XPathReader.setXPathHandler,0,0,0
org.jaxen.expr.IdentitySet$IdentityWrapper.equals,1,1,2
org.jaxen.expr.DefaultTruthExpr.bothAreSets,0,4,4
org.jaxen.dom.DocumentNavigator.<init>,0,0,0
org.jaxen.saxpath.helpers.DefaultXPathHandler.endAndExpr,0,0,0
org.jaxen.function.ext.EvaluateFunction.call,1,1,2
org.jaxen.javabean.DocumentNavigator.isComment,0,0,0
org.jaxen.pattern.LocationPathPattern.addFilter,1,1,2
org.jaxen.expr.DefaultFunctionCallExpr.getParameters,0,0,0
