class,obc(%),omc_obc(%),cov_gap(%)
org.jaxen.SimpleVariableContext,100.0,100.0,0.0
org.jaxen.function.LocalNameFunction,100.0,72.72727,27.272728
org.jaxen.expr.DefaultNameStep,85.454544,49.09091,36.363632
org.jaxen.expr.DefaultTruthExpr,75.0,66.66667,8.333328
org.jaxen.expr.DefaultGreaterThanEqualExpr,100.0,100.0,0.0
org.jaxen.SimpleFunctionContext,100.0,50.0,50.0
org.jaxen.util.SingleObjectIterator,100.0,50.0,50.0
org.jaxen.function.SubstringBeforeFunction,100.0,100.0,0.0
org.jaxen.function.BooleanFunction,95.0,95.0,0.0
org.jaxen.function.RoundFunction,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathLexer,87.2549,40.19608,47.05882
org.jaxen.saxpath.Axis,100.0,37.5,62.5
org.jaxen.function.SubstringFunction,97.22222,69.44444,27.777779
org.jaxen.SimpleNamespaceContext,83.33333,75.0,8.333328
org.jaxen.function.ContainsFunction,100.0,100.0,0.0
org.jaxen.function.NameFunction,100.0,72.72727,27.272728
org.jaxen.expr.DefaultFunctionCallExpr,72.22222,22.222223,50.0
org.jaxen.expr.DefaultExpr,33.333336,33.333336,0.0
org.jaxen.function.FloorFunction,100.0,100.0,0.0
org.jaxen.util.AncestorOrSelfAxisIterator,100.0,75.0,25.0
org.jaxen.expr.DefaultUnionExpr,100.0,50.0,50.0
org.jaxen.function.StringFunction,95.2381,73.809525,21.428574
org.jaxen.util.DescendantAxisIterator,100.0,66.66667,33.33333
org.jaxen.function.IdFunction,91.66667,75.0,16.666672
org.jaxen.expr.DefaultProcessingInstructionNodeStep,80.0,30.000002,50.0
org.jaxen.BaseXPath,92.30769,84.61539,7.6923065
org.jaxen.expr.DefaultLessThanExpr,100.0,100.0,0.0
org.jaxen.expr.PredicateSet,60.000004,40.0,20.000004
org.jaxen.dom.NamespaceNode,31.666666,31.666666,0.0
org.jaxen.function.FalseFunction,100.0,100.0,0.0
org.jaxen.dom.DocumentNavigator$NodeIterator,83.33333,50.0,33.33333
org.jaxen.function.CeilingFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultStep,100.0,62.5,37.5
org.jaxen.function.TrueFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultLessThanEqualExpr,100.0,100.0,0.0
org.jaxen.JaxenHandler,75.0,53.125,21.875
org.jaxen.jdom.DocumentNavigator,21.774193,11.290322,10.4838705
org.jaxen.util.SingletonList,100.0,100.0,0.0
org.jaxen.expr.DefaultOrExpr,100.0,100.0,0.0
org.jaxen.function.TranslateFunction,96.666664,53.333336,43.33333
org.jaxen.dom.DocumentNavigator,84.545456,62.727272,21.818184
org.jaxen.expr.DefaultLiteralExpr,100.0,100.0,0.0
org.jaxen.function.NumberFunction,90.0,76.666664,13.333336
org.jaxen.expr.DefaultLocationPath,100.0,7.692308,92.30769
org.jaxen.saxpath.base.Verifier,33.653847,2.1853147,31.468533
org.jaxen.expr.DefaultEqualsExpr,100.0,100.0,0.0
org.jaxen.dom4j.DocumentNavigator,79.411766,25.0,54.411766
org.jaxen.function.NotFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultGreaterThanExpr,100.0,100.0,0.0
org.jaxen.util.PrecedingSiblingAxisIterator,92.85714,35.714287,57.142853
org.jaxen.function.StartsWithFunction,100.0,100.0,0.0
org.jaxen.function.SubstringAfterFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultFilterExpr,28.57143,14.285715,14.285715
org.jaxen.ContextSupport,62.5,62.5,0.0
org.jaxen.XPathSyntaxException,100.0,50.0,50.0
org.jaxen.expr.DefaultAndExpr,100.0,100.0,0.0
org.jaxen.pattern.LocationPathPattern,31.034481,18.965517,12.068964
org.jaxen.util.PrecedingAxisIterator,93.75,68.75,25.0
org.jaxen.saxpath.helpers.XPathReaderFactory,100.0,66.66667,33.33333
org.jaxen.function.StringLengthFunction,92.85714,64.28571,28.571426
org.jaxen.function.SumFunction,100.0,50.0,50.0
org.jaxen.function.NormalizeSpaceFunction,95.454544,68.181816,27.272728
org.jaxen.Context,75.0,50.0,25.0
org.jaxen.saxpath.base.XPathReader,89.94083,32.544376,57.39645
org.jaxen.function.NamespaceUriFunction,100.0,62.5,37.5
org.jaxen.expr.DefaultEqualityExpr,86.11111,75.0,11.111107
org.jaxen.function.PositionFunction,100.0,50.0,50.0
org.jaxen.function.LangFunction,91.66667,16.666668,75.0
org.jaxen.expr.DefaultRelationalExpr,73.07692,50.0,23.07692
org.jaxen.expr.DefaultPathExpr,70.83333,50.0,20.833328
org.jaxen.expr.DefaultNotEqualsExpr,100.0,100.0,0.0
org.jaxen.expr.DefaultAbsoluteLocationPath,75.0,75.0,0.0
org.jaxen.QualifiedName,62.5,37.5,25.0
org.jaxen.function.ConcatFunction,100.0,25.0,75.0
org.jaxen.function.CountFunction,100.0,100.0,0.0
org.jaxen.pattern.PatternParser,72.22222,29.62963,42.59259
org.jaxen.dom.DocumentNavigator$AttributeIterator,80.0,50.0,30.0
org.jaxen.function.LastFunction,100.0,100.0,0.0
