method,obc(%),omc_obc(%),cov_gap(%)
org.jaxen.saxpath.base.Verifier.isXMLNCNameCharacter,85.71429,71.42857,14.285713
org.jaxen.function.TrueFunction.call,100.0,100.0,0.0
org.jaxen.QualifiedName.equals,50.0,50.0,0.0
org.jaxen.dom.DocumentNavigator$NodeIterator.hasNext,100.0,100.0,0.0
org.jaxen.JaxenHandler.addParameters,100.0,50.0,50.0
org.jaxen.expr.DefaultNameStep.evaluate,85.0,46.666668,38.333332
org.jaxen.expr.DefaultEqualsExpr.evaluateObjectObject,100.0,100.0,0.0
org.jaxen.expr.DefaultEqualityExpr.evaluateObjectObject,100.0,100.0,0.0
org.jaxen.dom.DocumentNavigator$NodeIterator.isXPathNode,100.0,50.0,50.0
org.jaxen.saxpath.helpers.XPathReaderFactory.createReader,100.0,66.66667,33.33333
org.jaxen.saxpath.base.XPathReader.locationPath,80.0,40.0,40.0
org.jaxen.expr.DefaultTruthExpr.eitherIsNumber,100.0,100.0,0.0
org.jaxen.saxpath.base.Verifier.isXMLDigit,8.333334,8.333334,0.0
org.jaxen.jdom.DocumentNavigator.getChildAxisIterator,16.666668,11.111112,5.5555563
org.jaxen.saxpath.base.XPathReader.axisSpecifier,80.0,20.0,60.0
org.jaxen.function.TranslateFunction.isLowSurrogate,75.0,75.0,0.0
org.jaxen.SimpleVariableContext.getVariableValue,100.0,100.0,0.0
org.jaxen.pattern.LocationPathPattern.simplify,93.75,50.0,43.75
org.jaxen.saxpath.base.XPathReader.functionCall,100.0,50.0,50.0
org.jaxen.expr.PredicateSet.evaluatePredicates,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathLexer.nextToken,100.0,21.621622,78.37838
org.jaxen.dom4j.DocumentNavigator.getNamespaceAxisIterator,100.0,58.333332,41.666668
org.jaxen.util.SingleObjectIterator.hasNext,100.0,50.0,50.0
org.jaxen.BaseXPath.selectSingleNodeForContext,100.0,100.0,0.0
org.jaxen.dom.DocumentNavigator.getCommentStringValue,50.0,50.0,0.0
org.jaxen.expr.PredicateSet.simplify,100.0,50.0,50.0
org.jaxen.function.NamespaceUriFunction.evaluate,100.0,55.0,45.0
org.jaxen.dom.DocumentNavigator.getElementById,50.0,50.0,0.0
org.jaxen.expr.DefaultNotEqualsExpr.evaluateObjectObject,100.0,100.0,0.0
org.jaxen.SimpleNamespaceContext.<init>,83.33333,83.33333,0.0
