class,missed_stmt,covered_stmt,total_stmts
org.jaxen.expr.IdentitySet,0,9,9
org.jaxen.pattern.TextNodeTest,2,2,4
org.jaxen.SimpleVariableContext,0,7,7
org.jaxen.expr.TextNodeStep,0,0,0
org.jaxen.expr.iter.IterableAxis,0,4,4
org.jaxen.function.ext.UpperFunction,1,11,12
org.jaxen.expr.DefaultTruthExpr,2,8,10
org.jaxen,103,0,103
org.jaxen.function.NameFunction,0,25,25
org.jaxen.expr.DefaultFunctionCallExpr,6,43,49
org.jaxen.util.AncestorOrSelfAxisIterator,1,10,11
org.jaxen.Function,0,0,0
org.jaxen.BaseXPath,2,70,72
org.jaxen.expr.DefaultLessThanExpr,0,3,3
org.jaxen.expr.DefaultMultiplyExpr,0,6,6
org.jaxen.expr.PredicateSet,26,45,71
org.jaxen.expr.DefaultCommentNodeStep,1,4,5
org.jaxen.function.ext.EndsWithFunction,1,5,6
org.jaxen.saxpath.SAXPathException,8,17,25
org.jaxen.util.AncestorAxisIterator,0,2,2
org.jaxen.expr.iter.IterableFollowingSiblingAxis,0,2,2
org.jaxen.expr.iter.IterableSelfAxis,0,2,2
org.jaxen.expr.DefaultArithExpr,1,1,2
org.jaxen.expr.DefaultMinusExpr,0,6,6
org.jaxen.dom.DocumentNavigator,27,175,202
org.jaxen.pattern.AnyChildNodeTest,6,0,6
org.jaxen.pattern.NamespaceTest,16,5,21
org.jaxen.XPath,0,0,0
org.jaxen.expr.iter.IterableNamespaceAxis,0,2,2
org.jaxen.dom4j.DocumentNavigator,25,111,136
org.jaxen.expr.iter.IterablePrecedingSiblingAxis,0,2,2
org.jaxen.expr.LocationPath,0,0,0
org.jaxen.expr.DefaultPlusExpr,0,6,6
org.jaxen.Navigator,0,0,0
org.jaxen.ContextSupport,3,22,25
org.jaxen.expr.DefaultAndExpr,1,10,11
org.jaxen.expr.DefaultNumberExpr,1,4,5
org.jaxen.pattern.LocationPathPattern,58,22,80
org.jaxen.util.FollowingSiblingAxisIterator,0,13,13
org.jaxen.util.PrecedingAxisIterator,2,35,37
org.jaxen.expr.DefaultDivExpr,0,6,6
org.jaxen.saxpath.helpers.XPathReaderFactory,2,16,18
org.jaxen.expr.DefaultLogicalExpr,0,1,1
org.jaxen.function.xslt.DocumentFunction,1,5,6
org.jaxen.expr.Predicate,0,0,0
org.jaxen.expr.DefaultRelationalExpr,5,23,28
org.jaxen.expr.DefaultAdditiveExpr,1,1,2
org.jaxen.function.ConcatFunction,0,8,8
org.jaxen.function.CountFunction,0,6,6
org.jaxen.expr.PathExpr,0,0,0
org.jaxen.pattern.PatternParser,21,75,96
org.jaxen.expr.iter.IterableDescendantAxis,0,2,2
org.jaxen.function.LocalNameFunction,0,25,25
org.jaxen.util.SingleObjectIterator,0,8,8
org.jaxen.function.BooleanFunction,0,18,18
org.jaxen.function.SubstringBeforeFunction,0,9,9
org.jaxen.util.DescendantOrSelfAxisIterator,0,1,1
org.jaxen.SimpleNamespaceContext,0,18,18
org.jaxen.saxpath.helpers.DefaultXPathHandler,0,0,0
org.jaxen.expr.DefaultExpr,5,4,9
org.jaxen.expr.DefaultUnionExpr,1,18,19
org.jaxen.util.DescendantAxisIterator,1,16,17
org.jaxen.NamespaceContext,0,0,0
