method,missed_stmt,covered_stmt,total_stmts
org.jaxen.saxpath.helpers.DefaultXPathHandler.endProcessingInstructionNodeStep,0,0,0
org.jaxen.expr.DefaultProcessingInstructionNodeStep.getText,0,11,11
org.jaxen.BaseXPath.<init>,0,11,11
org.jaxen.XPathFunctionContext.registerXPathFunctions,0,27,27
org.jaxen.dom.DocumentNavigator.getPrecedingSiblingAxisIterator,0,1,1
org.jaxen.expr.DefaultUnionExpr.getOperator,0,1,1
org.jaxen.function.SubstringBeforeFunction.<init>,0,0,0
org.jaxen.expr.DefaultEqualsExpr.evaluateObjectObject,0,5,5
org.jaxen.expr.DefaultAbsoluteLocationPath.isAbsolute,0,1,1
org.jaxen.expr.FunctionCallExpr.null,0,0,0
org.jaxen.saxpath.base.Verifier.isXMLDigit,28,3,31
org.jaxen.expr.iter.IterableFollowingAxis.iterator,0,1,1
org.jaxen.expr.DefaultUnionExpr.toString,1,0,1
org.jaxen.SimpleVariableContext.getVariableValue,0,4,4
org.jaxen.pattern.LocationPathPattern.simplify,0,11,11
org.jaxen.pattern.PatternHandler.startAllNodeStep,2,0,2
org.jaxen.saxpath.base.Token.setTokenType,0,1,1
org.jaxen.function.SumFunction.<init>,0,0,0
org.jaxen.saxpath.base.XPathLexer.nextToken,10,123,133
org.jaxen.saxpath.base.XPathLexer.dots,0,12,12
org.jaxen.jdom.DocumentNavigator.translateNamespacePrefixToUri,18,0,18
org.jaxen.util.SingletonList.<init>,0,1,1
org.jaxen.dom.NamespaceNode.lookupPrefix,10,0,10
org.jaxen.getElementNamespaceUri,1,0,1
org.jaxen.dom.NamespaceNode.getBaseURI,7,0,7
org.jaxen.SimpleFunctionContext.registerFunction,0,1,1
org.jaxen.dom.NamespaceNode.cloneNode,1,0,1
org.jaxen.saxpath.SAXPathException.<init>,0,5,5
org.jaxen.dom.NamespaceNode.setUserData,3,0,3
org.jaxen.saxpath.base.XPathReader.setXPathHandler,0,1,1
org.jaxen.expr.DefaultTruthExpr.bothAreSets,0,1,1
org.jaxen.pattern.NodeTest.null,0,0,0
org.jaxen.dom.DocumentNavigator.<init>,0,0,0
org.jaxen.saxpath.helpers.DefaultXPathHandler.endAndExpr,0,0,0
org.jaxen.function.ext.EvaluateFunction.call,1,2,3
org.jaxen.expr.NumberExpr.null,0,0,0
org.jaxen.pattern.LocationPathPattern.addFilter,0,3,3
org.jaxen.expr.DefaultFunctionCallExpr.getParameters,0,1,1
org.jaxen.dom.DocumentNavigator.AttributeIterator,0,7,7
org.jaxen.xom.DocumentNavigator.parseXPath,1,0,1
org.jaxen.expr.DefaultAdditiveExpr.toString,1,0,1
org.jaxen.expr.DefaultLessThanExpr.evaluateDoubleDouble,0,1,1
org.jaxen.expr.DefaultPathExpr.<init>,0,2,2
org.jaxen.expr.DefaultRelationalExpr.evaluateSetSet,1,8,9
org.jaxen.function.BooleanFunction.evaluate,0,15,15
org.jaxen.util.FollowingAxisIterator.remove,0,1,1
org.jaxen.expr.DefaultNotEqualsExpr.toString,1,0,1
org.jaxen.util.FollowingAxisIterator.goUp,1,8,9
org.jaxen.expr.DefaultLocationPath.isAbsolute,0,1,1
org.jaxen.expr.DefaultLessThanEqualExpr.<init>,0,1,1
org.jaxen.dom.NamespaceNode.<init>,2,9,11
org.jaxen.expr.AllNodeStep.null,0,0,0
org.jaxen.Function.null,0,0,0
org.jaxen.SimpleVariableContext.<init>,0,1,1
org.jaxen.function.LangFunction.isSublang,0,4,4
org.jaxen.XPathSyntaxException.getXPath,0,1,1
org.jaxen.saxpath.base.XPathLexer.dollar,0,3,3
org.jaxen.xom.DocumentNavigator.toString,1,0,1
org.jaxen.jdom.DocumentNavigator.getDocumentNode,2,2,4
org.jaxen.expr.IdentitySet.IdentityWrapper,0,1,1
org.jaxen.expr.DefaultBinaryExpr.getRHS,0,1,1
org.jaxen.expr.DefaultXPathFactory.createUnaryExpr,1,3,4
org.jaxen.util.DescendantAxisIterator.hasNext,0,5,5
org.jaxen.dom.DocumentNavigator.getParentNode,0,4,4
org.jaxen.saxpath.base.XPathReader.orExpr,0,10,10
org.jaxen.saxpath.Axis.lookup,0,55,55
org.jaxen.JaxenRuntimeException.printStackTrace,6,2,8
org.jaxen.function.SubstringFunction.unicodeSubstring,0,8,8
org.jaxen.function.NamespaceUriFunction.call,0,5,5
org.jaxen.dom4j.DocumentNavigator.getElementQName,0,2,2
org.jaxen.pattern.TextNodeTest.matches,1,0,1
org.jaxen.dom4j.DocumentNavigator.getChildAxisIterator,0,20,20
org.jaxen.expr.DefaultXPathFactory.createAndExpr,0,1,1
org.jaxen.saxpath.base.XPathReader.absoluteLocationPath,2,28,30
org.jaxen.util.PrecedingSiblingAxisIterator.<init>,0,5,5
org.jaxen.saxpath.XPathHandler.null,0,0,0
org.jaxen.saxpath.base.XPathLexer.or,0,6,6
org.jaxen.expr.iter.IterablePrecedingSiblingAxis.iterator,0,1,1
org.jaxen.dom.NamespaceNode.getParentNode,0,1,1
org.jaxen.BaseXPath.getContextSupport,0,3,3
org.jaxen.getProcessingInstructionData,1,0,1
org.jaxen.xom.DocumentNavigator.getElementName,1,0,1
org.jaxen.expr.DefaultMinusExpr.getOperator,0,1,1
org.jaxen.Context.setNodeSet,0,3,3
org.jaxen.ContextSupport.setVariableContext,0,1,1
org.jaxen.BaseXPath.valueOf,1,0,1
org.jaxen.Context.<init>,0,4,4
org.jaxen.saxpath.base.XPathReader.variableReference,0,9,9
org.jaxen.saxpath.base.Verifier.isXMLCombiningChar,161,1,162
org.jaxen.util.AncestorOrSelfAxisIterator.<init>,0,2,2
org.jaxen.JaxenHandler.peekFrame,0,1,1
org.jaxen.pattern.UnionPattern.getRHS,1,0,1
org.jaxen.expr.IdentitySet.hashCode,0,1,1
org.jaxen.expr.DefaultXPathFactory.createAllNodeStep,0,2,2
org.jaxen.dom.NamespaceNode.lookupNamespaceURI,10,0,10
org.jaxen.expr.iter.IterableNamespaceAxis.iterator,0,1,1
org.jaxen.function.ContainsFunction.call,0,3,3
org.jaxen.JaxenHandler.startRelationalExpr,0,0,0
org.jaxen.dom.NamespaceNode.equals,7,0,7
org.jaxen.BaseXPath.createVariableContext,0,1,1
org.jaxen.expr.DefaultTextNodeStep.getText,0,1,1
org.jaxen.pattern.TextNodeTest.getPriority,0,1,1
org.jaxen.xom.DocumentNavigator.IndexIterator,3,0,3
org.jaxen.saxpath.helpers.DefaultXPathHandler.startNameStep,0,0,0
org.jaxen.pattern.LocationPathPattern.toString,1,0,1
org.jaxen.saxpath.helpers.DefaultXPathHandler.endUnionExpr,0,0,0
org.jaxen.saxpath.XPathSyntaxException.getPositionMarker,6,0,6
org.jaxen.expr.DefaultXPathFactory.createXPath,0,1,1
org.jaxen.JaxenHandler.endEqualityExpr,0,4,4
org.jaxen.saxpath.base.XPathLexer.mod,0,7,7
org.jaxen.saxpath.base.XPathReader.expr,0,1,1
org.jaxen.function.IdFunction.evaluate,1,16,17
org.jaxen.expr.DefaultNotEqualsExpr.getOperator,0,1,1
org.jaxen.JaxenHandler.startUnaryExpr,0,0,0
org.jaxen.expr.DefaultXPathFactory.createAbsoluteLocationPath,0,1,1
org.jaxen.JaxenHandler.startOrExpr,0,0,0
org.jaxen.dom.DocumentNavigator.getElementQName,0,5,5
org.jaxen.expr.DefaultStep.getIterableAxis,0,1,1
org.jaxen.function.StringLengthFunction.call,0,5,5
org.jaxen.pattern.NoNodeTest.<init>,0,0,0
org.jaxen.BaseXPath.evaluate,0,6,6
org.jaxen.pattern.AnyChildNodeTest.getMatchType,1,0,1
org.jaxen.BaseXPath.getRootExpr,0,1,1
org.jaxen.expr.DefaultPlusExpr.getOperator,0,1,1
org.jaxen.BaseXPath.getVariableContext,0,1,1
org.jaxen.saxpath.helpers.DefaultXPathHandler.startUnaryExpr,0,0,0
org.jaxen.expr.DefaultAbsoluteLocationPath.toString,0,1,1
org.jaxen.pattern.PatternHandler.startTextNodeStep,2,0,2
org.jaxen.saxpath.XPathReader.null,0,0,0
org.jaxen.expr.DefaultXPathFactory.getIterableAxis,0,29,29
org.jaxen.dom4j.DocumentNavigator.setSAXReader,1,0,1
org.jaxen.dom.NamespaceNode.getFirstChild,1,0,1
org.jaxen.expr.iter.IterableAxis.supportsNamedAccess,0,1,1
org.jaxen.pattern.PatternHandler.startRelativeLocationPath,2,0,2
org.jaxen.saxpath.helpers.DefaultXPathHandler.startAllNodeStep,0,0,0
org.jaxen.xom.DocumentNavigator.isAttribute,1,0,1
org.jaxen.expr.MultiplicativeExpr.null,0,0,0
org.jaxen.DefaultNavigator.getDescendantOrSelfAxisIterator,0,1,1
org.jaxen.function.NormalizeSpaceFunction.evaluate,0,16,16
org.jaxen.function.IdFunction.<init>,0,0,0
org.jaxen.expr.DefaultTruthExpr.bothAreBoolean,1,0,1
