class,sc,omc_sc,cov_gap
org.jaxen.JaxenException,100.0,42.857143,57.142857
org.jaxen.expr.IdentitySet,100.0,11.111112,88.888885
org.jaxen.SimpleVariableContext,100.0,85.71429,14.285713
org.jaxen.expr.iter.IterableAxis,100.0,100.0,0.0
org.jaxen.expr.DefaultModExpr,100.0,83.33333,16.666672
org.jaxen.expr.DefaultNameStep,96.15385,57.692307,38.46154
org.jaxen.expr.DefaultTruthExpr,80.0,80.0,0.0
org.jaxen.expr.DefaultGreaterThanEqualExpr,100.0,66.66667,33.33333
org.jaxen.SimpleFunctionContext,100.0,50.0,50.0
org.jaxen.XPathFunctionContext,100.0,2.631579,97.36842
org.jaxen.expr.iter.IterableDescendantOrSelfAxis,100.0,50.0,50.0
org.jaxen.expr.DefaultMultiplicativeExpr,50.0,50.0,0.0
org.jaxen.DefaultNavigator,52.63158,15.789473,36.84211
org.jaxen.jdom.JDOMXPath,100.0,100.0,0.0
org.jaxen.expr.DefaultFunctionCallExpr,87.755104,48.97959,38.775513
org.jaxen.function.NameFunction,100.0,76.0,24.0
org.jaxen.util.AncestorOrSelfAxisIterator,90.909096,54.545456,36.36364
org.jaxen.function.StringFunction,98.11321,66.037735,32.075478
org.jaxen.function.IdFunction,95.0,95.0,0.0
org.jaxen.expr.DefaultProcessingInstructionNodeStep,100.0,33.333336,66.666664
org.jaxen.BaseXPath,97.22222,91.66667,5.5555496
org.jaxen.expr.DefaultLessThanExpr,100.0,66.66667,33.33333
org.jaxen.expr.PredicateSet,63.380283,47.887325,15.492958
org.jaxen.expr.DefaultCommentNodeStep,80.0,40.0,40.0
org.jaxen.saxpath.SAXPathException,68.0,28.0,40.0
org.jaxen.util.AncestorAxisIterator,100.0,100.0,0.0
org.jaxen.expr.DefaultLessThanEqualExpr,100.0,66.66667,33.33333
org.jaxen.expr.iter.IterableFollowingSiblingAxis,100.0,50.0,50.0
org.jaxen.expr.iter.IterableSelfAxis,100.0,50.0,50.0
org.jaxen.expr.DefaultArithExpr,50.0,50.0,0.0
org.jaxen.expr.DefaultMinusExpr,100.0,83.33333,16.666672
org.jaxen.dom.DocumentNavigator,86.63367,54.950493,31.683174
org.jaxen.function.NumberFunction,100.0,91.66667,8.333328
org.jaxen.expr.DefaultLocationPath,100.0,37.5,62.5
org.jaxen.expr.DefaultEqualsExpr,87.5,75.0,12.5
org.jaxen.expr.iter.IterableNamespaceAxis,100.0,100.0,0.0
org.jaxen.dom4j.DocumentNavigator,81.617645,33.82353,47.794117
org.jaxen.expr.iter.IterablePrecedingSiblingAxis,100.0,50.0,50.0
org.jaxen.expr.DefaultGreaterThanExpr,100.0,66.66667,33.33333
org.jaxen.function.NotFunction,100.0,100.0,0.0
org.jaxen.util.PrecedingSiblingAxisIterator,100.0,68.0,32.0
org.jaxen.expr.DefaultPlusExpr,100.0,83.33333,16.666672
org.jaxen.UnresolvableException,100.0,100.0,0.0
org.jaxen.function.SubstringAfterFunction,100.0,100.0,0.0
org.jaxen.ContextSupport,88.0,88.0,0.0
org.jaxen.expr.DefaultNumberExpr,80.0,60.000004,19.999996
org.jaxen.expr.DefaultAndExpr,90.909096,72.72727,18.181824
org.jaxen.pattern.LocationPathPattern,27.5,21.25,6.25
org.jaxen.expr.DefaultDivExpr,100.0,83.33333,16.666672
org.jaxen.util.PrecedingAxisIterator,94.59459,72.97297,21.62162
org.jaxen.saxpath.helpers.XPathReaderFactory,88.88889,50.0,38.888893
org.jaxen.expr.DefaultLogicalExpr,100.0,100.0,0.0
org.jaxen.expr.DefaultXPathFactory,93.181816,46.590908,46.590908
org.jaxen.saxpath.base.XPathReader,97.01493,56.07676,40.93817
org.jaxen.expr.DefaultEqualityExpr,86.11111,77.77778,8.333328
org.jaxen.function.NamespaceUriFunction,100.0,66.66667,33.33333
org.jaxen.expr.DefaultRelationalExpr,82.14286,57.14286,25.0
org.jaxen.expr.DefaultPathExpr,91.42857,68.571434,22.85714
org.jaxen.expr.DefaultNotEqualsExpr,87.5,75.0,12.5
org.jaxen.expr.iter.IterableAncestorOrSelfAxis,100.0,50.0,50.0
org.jaxen.expr.DefaultAdditiveExpr,50.0,50.0,0.0
org.jaxen.function.ConcatFunction,100.0,25.0,75.0
org.jaxen.function.CountFunction,100.0,100.0,0.0
org.jaxen.pattern.PatternParser,78.125,44.791664,33.333336
org.jaxen.function.LastFunction,100.0,100.0,0.0
org.jaxen.expr.iter.IterableDescendantAxis,100.0,50.0,50.0
org.jaxen.function.LocalNameFunction,100.0,76.0,24.0
org.jaxen.function.BooleanFunction,100.0,100.0,0.0
org.jaxen.util.SingleObjectIterator,100.0,75.0,25.0
org.jaxen.function.SubstringBeforeFunction,100.0,100.0,0.0
org.jaxen.FunctionCallException,75.0,75.0,0.0
org.jaxen.util.DescendantOrSelfAxisIterator,100.0,100.0,0.0
org.jaxen.function.RoundFunction,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathLexer,95.783134,53.91566,41.867474
org.jaxen.UnsupportedAxisException,100.0,100.0,0.0
org.jaxen.saxpath.Axis,100.0,32.727272,67.27273
org.jaxen.expr.DefaultUnaryExpr,87.5,62.5,25.0
org.jaxen.SimpleNamespaceContext,100.0,100.0,0.0
org.jaxen.function.SubstringFunction,97.560974,82.92683,14.634148
org.jaxen.function.ContainsFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultTextNodeStep,100.0,50.0,50.0
org.jaxen.expr.DefaultExpr,44.444447,33.333336,11.111111
org.jaxen.expr.DefaultVariableReferenceExpr,85.71429,7.1428576,78.57143
org.jaxen.function.FloorFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultUnionExpr,94.73685,73.68421,21.052635
org.jaxen.util.DescendantAxisIterator,94.117645,76.47059,17.647057
org.jaxen.expr.DefaultPredicate,85.71429,71.42857,14.285713
org.jaxen.dom.NamespaceNode,31.932774,27.731094,4.201679
org.jaxen.saxpath.base.Token,92.30769,92.30769,0.0
org.jaxen.saxpath.XPathSyntaxException,26.31579,26.31579,0.0
org.jaxen.function.FalseFunction,100.0,100.0,0.0
org.jaxen.function.CeilingFunction,100.0,100.0,0.0
org.jaxen.expr.DefaultStep,96.666664,83.33333,13.333336
org.jaxen.function.TrueFunction,100.0,100.0,0.0
org.jaxen.expr.iter.IterableChildAxis,100.0,80.0,20.0
org.jaxen.JaxenHandler,95.83333,86.666664,9.166664
org.jaxen.jdom.DocumentNavigator,28.813559,17.514124,11.299435
org.jaxen.util.SingletonList,100.0,100.0,0.0
org.jaxen.expr.DefaultOrExpr,90.909096,72.72727,18.181824
org.jaxen.dom4j.Dom4jXPath,100.0,100.0,0.0
org.jaxen.function.TranslateFunction,97.95918,59.183674,38.77551
org.jaxen.expr.DefaultLiteralExpr,85.71429,85.71429,0.0
org.jaxen.saxpath.base.Verifier,39.630836,1.1943539,38.43648
org.jaxen.expr.iter.IterableAncestorAxis,100.0,50.0,50.0
org.jaxen.JaxenRuntimeException,57.894737,26.31579,31.578947
org.jaxen.dom.DOMXPath,100.0,100.0,0.0
org.jaxen.function.StartsWithFunction,100.0,100.0,0.0
