method,sc,omc_sc,cov_gap
org.jaxen.expr.DefaultPlusExpr.<init>,100.0,100.0,0.0
org.jaxen.expr.IdentitySet.contains,100.0,50.0,50.0
org.jaxen.saxpath.base.Token.getTokenType,100.0,100.0,0.0
org.jaxen.expr.DefaultPathExpr.setFilterExpr,100.0,100.0,0.0
org.jaxen.BaseXPath.<init>,100.0,90.909096,9.090904
org.jaxen.dom.DocumentNavigator.getPrecedingSiblingAxisIterator,100.0,100.0,0.0
org.jaxen.expr.DefaultEqualsExpr.evaluateObjectObject,100.0,100.0,0.0
org.jaxen.JaxenRuntimeException.initCause,71.42857,14.285715,57.14286
org.jaxen.saxpath.helpers.XPathReaderFactory.createReader,88.88889,50.0,38.888893
org.jaxen.expr.DefaultAbsoluteLocationPath.isAbsolute,100.0,100.0,0.0
org.jaxen.expr.DefaultUnaryExpr.simplify,100.0,50.0,50.0
org.jaxen.expr.DefaultTruthExpr.eitherIsNumber,100.0,100.0,0.0
org.jaxen.expr.DefaultXPathFactory.createUnionExpr,100.0,100.0,0.0
org.jaxen.UnsupportedAxisException.<init>,100.0,100.0,0.0
org.jaxen.expr.DefaultAllNodeStep.matches,100.0,100.0,0.0
org.jaxen.util.AncestorAxisIterator.<init>,100.0,100.0,0.0
org.jaxen.saxpath.base.Verifier.isXMLDigit,9.677419,9.677419,0.0
org.jaxen.function.TranslateFunction.isLowSurrogate,100.0,100.0,0.0
org.jaxen.SimpleVariableContext.getVariableValue,100.0,100.0,0.0
org.jaxen.pattern.LocationPathPattern.simplify,100.0,81.818184,18.181816
org.jaxen.saxpath.base.Token.setTokenType,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathReader.functionCall,100.0,75.0,25.0
org.jaxen.expr.PredicateSet.evaluatePredicates,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathLexer.nextToken,92.4812,27.06767,65.41353
org.jaxen.saxpath.base.XPathLexer.dots,100.0,58.333332,41.666668
org.jaxen.util.SingletonList.<init>,100.0,100.0,0.0
org.jaxen.Context.getFunction,100.0,100.0,0.0
org.jaxen.DefaultNavigator.getPrecedingAxisIterator,100.0,100.0,0.0
org.jaxen.saxpath.SAXPathException.<init>,100.0,100.0,0.0
org.jaxen.saxpath.SAXPathException.getCause,100.0,100.0,0.0
org.jaxen.expr.iter.IterableChildAxis.<init>,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathReader.setXPathHandler,100.0,100.0,0.0
org.jaxen.expr.DefaultLiteralExpr.getLiteral,100.0,100.0,0.0
org.jaxen.expr.DefaultOrExpr.<init>,100.0,100.0,0.0
org.jaxen.expr.DefaultTruthExpr.bothAreSets,100.0,100.0,0.0
org.jaxen.expr.DefaultDivExpr.<init>,100.0,100.0,0.0
org.jaxen.expr.DefaultFilterExpr.addPredicate,100.0,100.0,0.0
org.jaxen.BaseXPath.getNamespaceContext,100.0,100.0,0.0
org.jaxen.expr.DefaultPathExpr.evaluate,88.88889,66.66667,22.222221
org.jaxen.expr.DefaultLessThanEqualExpr.evaluateDoubleDouble,100.0,100.0,0.0
org.jaxen.pattern.LocationPathPattern.getPriority,66.66667,66.66667,0.0
org.jaxen.expr.DefaultAndExpr.evaluate,100.0,87.5,12.5
org.jaxen.function.RoundFunction.call,100.0,100.0,0.0
org.jaxen.JaxenRuntimeException.getCause,100.0,100.0,0.0
org.jaxen.util.SelfAxisIterator.<init>,100.0,100.0,0.0
org.jaxen.expr.DefaultFunctionCallExpr.getParameters,100.0,100.0,0.0
org.jaxen.expr.iter.IterableParentAxis.iterator,100.0,100.0,0.0
org.jaxen.pattern.LocationPathPattern.addFilter,100.0,66.66667,33.33333
org.jaxen.expr.DefaultLessThanExpr.evaluateDoubleDouble,100.0,100.0,0.0
org.jaxen.SimpleVariableContext.setVariableValue,100.0,50.0,50.0
org.jaxen.expr.DefaultPathExpr.<init>,100.0,100.0,0.0
org.jaxen.expr.DefaultRelationalExpr.evaluateSetSet,88.88889,33.333336,55.555557
org.jaxen.function.BooleanFunction.evaluate,100.0,100.0,0.0
org.jaxen.expr.DefaultLessThanEqualExpr.<init>,100.0,100.0,0.0
org.jaxen.dom.NamespaceNode.<init>,81.818184,63.636364,18.18182
org.jaxen.saxpath.base.Token.setTokenBegin,100.0,100.0,0.0
org.jaxen.SimpleVariableContext.<init>,100.0,100.0,0.0
org.jaxen.XPathSyntaxException.getXPath,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathLexer.consume,100.0,100.0,0.0
org.jaxen.saxpath.base.XPathLexer.dollar,100.0,100.0,0.0
org.jaxen.jdom.DocumentNavigator.getDocumentNode,50.0,50.0,0.0
org.jaxen.expr.DefaultBinaryExpr.getRHS,100.0,100.0,0.0
org.jaxen.function.SumFunction.call,100.0,100.0,0.0
org.jaxen.expr.DefaultXPathFactory.createUnaryExpr,75.0,50.0,25.0
org.jaxen.util.DescendantAxisIterator.hasNext,100.0,100.0,0.0
org.jaxen.dom.DocumentNavigator.getParentNode,100.0,75.0,25.0
org.jaxen.saxpath.base.XPathReader.orExpr,100.0,60.000004,39.999996
org.jaxen.saxpath.Axis.lookup,100.0,32.727272,67.27273
org.jaxen.util.PrecedingAxisIterator.hasNext,92.30769,84.61539,7.6923065
org.jaxen.expr.iter.IterableDescendantAxis.iterator,100.0,100.0,0.0
org.jaxen.expr.DefaultPathExpr.getFilterExpr,100.0,100.0,0.0
org.jaxen.function.SubstringFunction.unicodeSubstring,100.0,25.0,75.0
org.jaxen.function.NamespaceUriFunction.call,100.0,100.0,0.0
org.jaxen.expr.DefaultGreaterThanExpr.evaluateDoubleDouble,100.0,100.0,0.0
org.jaxen.function.RoundFunction.evaluate,100.0,100.0,0.0
org.jaxen.expr.DefaultXPathFactory.createAndExpr,100.0,100.0,0.0
org.jaxen.dom4j.DocumentNavigator.getChildAxisIterator,100.0,70.0,30.0
org.jaxen.saxpath.base.XPathReader.absoluteLocationPath,93.333336,43.333332,50.000004
