method,missed_branch,covered_branch,total_branch
org.joda.time.base.BaseLocal.<init>,0,0,0
org.joda.time.Duration.toStandardSeconds,0,0,0
org.joda.time.Hours.toStandardMinutes,0,0,0
org.joda.time.Instant.withMillis,0,2,2
org.joda.time.Partial$Property.<init>,0,0,0
org.joda.time.chrono.ZonedChronology.withUTC,0,0,0
org.joda.time.MutableDateTime.addWeeks,0,2,2
org.joda.time.chrono.GJChronology$CutoverField.set,4,20,24
org.joda.time.chrono.JulianChronology.readResolve,0,4,4
org.joda.time.PeriodType.days,0,2,2
org.joda.time.Months.getFieldType,0,0,0
org.joda.time.chrono.StrictChronology.hashCode,0,0,0
org.joda.time.tz.ZoneInfoCompiler.test,22,4,26
org.joda.time.Seconds.seconds,0,7,7
org.joda.time.LocalDateTime$Property.getField,0,0,0
org.joda.time.LocalDateTime.fromCalendarFields,0,4,4
org.joda.time.format.PeriodFormatterBuilder$Separator.<init>,2,10,12
org.joda.time.DateMidnight.withEra,0,0,0
org.joda.time.Partial.without,0,2,2
org.joda.time.field.BaseDateTimeField.getMaximumShortTextLength,0,0,0
org.joda.time.chrono.GJChronology.withZone,0,4,4
org.joda.time.Partial$Property.withMinimumValue,0,0,0
org.joda.time.Period.withMinutes,0,0,0
org.joda.time.field.MillisDurationField.getValueAsLong,0,0,0
org.joda.time.field.UnsupportedDateTimeField.get,0,0,0
org.joda.time.format.ISODateTimeFormat$Constants.secondElement,0,2,2
org.joda.time.chrono.BaseChronology.dayOfYear,0,0,0
org.joda.time.chrono.GJDayOfWeekDateTimeField.getAsText,0,0,0
org.joda.time.DateTimeConstants.<init>,0,0,0
org.joda.time.chrono.LimitChronology$LimitDateTimeField.getAsText,0,0,0
org.joda.time.DateTime.withFields,0,2,2
org.joda.time.Partial$Property.addWrapFieldToCopy,0,0,0
org.joda.time.base.BaseSingleFieldPeriod.getFieldType,0,2,2
org.joda.time.field.AbstractReadableInstantFieldProperty.getLeapDurationField,0,0,0
org.joda.time.LocalDate.parse,0,0,0
org.joda.time.chrono.GJLocaleSymbols.halfdayTextToValue,0,4,4
org.joda.time.MutablePeriod.setMillis,0,0,0
org.joda.time.chrono.BaseChronology.millis,0,0,0
org.joda.time.YearMonthDay.<init>,0,0,0
org.joda.time.DateTime.withDurationAdded,1,7,8
org.joda.time.DurationFieldType.weekyears,0,0,0
org.joda.time.chrono.AssembledChronology.millisOfSecond,0,0,0
org.joda.time.LocalDateTime.getLocalMillis,0,0,0
org.joda.time.chrono.GJChronology$CutoverField.getAsShortText,2,0,2
org.joda.time.LocalDate.toDateTimeAtCurrentTime,0,0,0
org.joda.time.DateMidnight.withFields,0,2,2
org.joda.time.YearMonthDay.getMonthOfYear,0,0,0
org.joda.time.chrono.GJEraDateTimeField.getMaximumValue,0,0,0
org.joda.time.chrono.BasicYearDateTimeField.readResolve,0,0,0
org.joda.time.LocalDateTime.minusHours,0,2,2
org.joda.time.format.PeriodFormatterBuilder$CompositeAffix.calculatePrintedLength,0,0,0
org.joda.time.format.DateTimeParserBucket$SavedState.<init>,0,0,0
org.joda.time.tz.UTCProvider.<clinit>,0,0,0
org.joda.time.Minutes.toString,0,0,0
