class,obc(%),omc_obc(%),cov_gap(%)
org.joda.time.DateTimeZone,83.66337,50.0,33.66337
org.joda.time.tz.DateTimeZoneBuilder$RuleSet,10.0,7.5000005,2.4999995
org.joda.time.convert.ReadablePartialConverter,100.0,50.0,50.0
org.joda.time.Seconds,97.14286,77.14286,20.0
org.joda.time.field.RemainderDateTimeField,30.000002,10.0,20.000002
org.joda.time.field.AbstractPartialFieldProperty,100.0,81.818184,18.181816
org.joda.time.field.StrictDateTimeField,50.0,33.333336,16.666664
org.joda.time.format.DateTimeFormatterBuilder$Fraction,54.71698,15.094339,39.622643
org.joda.time.format.DateTimeFormatterBuilder$FixedNumber,85.71429,64.28571,21.428574
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,94.44444,7.4074073,87.03703
org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear,78.333336,51.666664,26.666672
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone,34.615387,8.333334,26.282053
org.joda.time.field.UnsupportedDurationField,58.333332,16.666668,41.666664
org.joda.time.field.LenientDateTimeField,50.0,33.333336,16.666664
org.joda.time.DateTimeComparator,87.5,68.75,18.75
org.joda.time.base.AbstractDateTime,100.0,62.5,37.5
org.joda.time.format.PeriodFormatterBuilder,93.20389,40.7767,52.42719
org.joda.time.chrono.ISOChronology,88.88889,55.555557,33.333336
org.joda.time.field.DelegatedDateTimeField,83.33333,66.66667,16.666656
org.joda.time.chrono.BasicChronology,87.5,33.75,53.75
org.joda.time.chrono.LenientChronology,56.25,25.0,31.25
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter,84.38818,18.98734,65.40084
org.joda.time.chrono.BasicYearDateTimeField,100.0,40.0,60.0
org.joda.time.tz.ZoneInfoCompiler$Rule,25.0,8.333334,16.666666
org.joda.time.field.DividedDateTimeField,50.0,22.222223,27.777777
org.joda.time.chrono.ZonedChronology,64.0,46.0,18.0
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset,66.39344,32.786884,33.606556
org.joda.time.field.BaseDateTimeField,93.05556,56.944443,36.111115
org.joda.time.field.ZeroIsMaxDateTimeField,66.66667,16.666668,50.000004
org.joda.time.format.DateTimeFormatterBuilder,70.08547,29.914532,40.17094
org.joda.time.tz.ZoneInfoProvider$1,50.0,50.0,0.0
org.joda.time.chrono.EthiopicChronology,82.14286,28.57143,53.57143
org.joda.time.base.BaseInterval,100.0,100.0,0.0
org.joda.time.Duration,100.0,94.117645,5.8823547
org.joda.time.format.FormatUtils,47.058823,8.823529,38.235294
org.joda.time.PeriodType,97.11539,55.76923,41.346157
org.joda.time.format.PeriodFormatter,95.454544,68.181816,27.272728
org.joda.time.field.MillisDurationField,75.0,50.0,25.0
org.joda.time.format.DateTimePrinterInternalPrinter,41.666664,25.0,16.666664
org.joda.time.Interval,95.83333,81.25,14.583328
org.joda.time.chrono.GJChronology,77.58621,36.206894,41.37932
org.joda.time.chrono.IslamicChronology,60.606064,12.121212,48.48485
org.joda.time.format.DateTimeFormatterBuilder$TextField,91.66667,41.666664,50.000008
org.joda.time.base.AbstractInstant,100.0,85.71429,14.285713
org.joda.time.tz.DateTimeZoneBuilder,35.0,21.25,13.75
org.joda.time.format.DateTimeParserBucket,84.28571,65.71429,18.571426
org.joda.time.field.UnsupportedDateTimeField,91.66667,50.0,41.66667
org.joda.time.field.ScaledDurationField,92.85714,64.28571,28.571426
org.joda.time.convert.ConverterSet,98.75,45.0,53.75
org.joda.time.field.PreciseDurationDateTimeField,100.0,60.000004,39.999996
org.joda.time.MonthDay,87.09677,45.16129,41.935482
org.joda.time.LocalDateTime,88.1356,59.322037,28.81356
org.joda.time.chrono.GJCacheKey,41.666664,41.666664,0.0
org.joda.time.MutableDateTime,90.47619,12.698414,77.77777
org.joda.time.tz.FixedDateTimeZone,93.75,87.5,6.25
org.joda.time.tz.CachedDateTimeZone,83.33333,72.22222,11.111107
org.joda.time.field.PreciseDateTimeField,100.0,33.333336,66.666664
org.joda.time.chrono.GJLocaleSymbols,97.368416,47.368423,49.999992
org.joda.time.convert.ReadableDurationConverter,100.0,50.0,50.0
org.joda.time.DateMidnight,96.0,72.0,24.0
org.joda.time.base.BaseDuration,100.0,100.0,0.0
org.joda.time.Months,100.0,63.636364,36.363636
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId,82.14286,28.57143,53.57143
org.joda.time.YearMonthDay,95.83333,41.666664,54.166664
org.joda.time.YearMonth,87.09677,45.16129,41.935482
org.joda.time.chrono.GJChronology$CutoverField,66.66667,27.777779,38.888893
org.joda.time.field.OffsetDateTimeField,75.0,37.5,37.5
org.joda.time.DateTime$Property,50.0,50.0,0.0
org.joda.time.Years,97.14286,77.14286,20.0
org.joda.time.format.DateTimeParserBucket$SavedState,100.0,75.0,25.0
org.joda.time.convert.ReadableIntervalConverter,100.0,83.33333,16.666672
org.joda.time.chrono.BasicWeekyearDateTimeField,62.5,16.666668,45.833332
org.joda.time.Days,100.0,71.794876,28.205124
org.joda.time.field.FieldUtils,83.75,26.249998,57.5
org.joda.time.format.DateTimeFormatterBuilder$MatchingParser,88.2353,44.11765,44.11765
org.joda.time.format.DateTimeFormat,76.92308,34.615387,42.307693
org.joda.time.Partial,95.68965,70.68965,25.0
org.joda.time.format.ISODateTimeFormat,94.44444,50.694443,43.75
org.joda.time.field.SkipDateTimeField,70.0,20.0,50.0
org.joda.time.tz.UTCProvider,100.0,100.0,0.0
org.joda.time.chrono.LimitChronology,53.125,29.6875,23.4375
org.joda.time.format.InternalPrinterDateTimePrinter,70.0,50.0,20.0
org.joda.time.base.AbstractPeriod,95.454544,81.818184,13.63636
org.joda.time.base.BaseSingleFieldPeriod,97.82609,45.652176,52.173912
org.joda.time.IllegalInstantException,62.5,37.5,25.0
org.joda.time.IllegalFieldValueException,75.0,6.25,68.75
org.joda.time.tz.ZoneInfoCompiler,35.260117,16.18497,19.075146
org.joda.time.format.DateTimeFormatterBuilder$Composite,90.909096,56.81818,34.090916
org.joda.time.tz.DefaultNameProvider,9.722222,9.722222,0.0
org.joda.time.format.PeriodFormatterBuilder$IgnorableAffix,96.666664,23.333334,73.33333
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,50.0,26.470589,23.529411
org.joda.time.chrono.GregorianChronology,93.75,46.875,46.875
org.joda.time.chrono.AssembledChronology$Fields,50.0,48.64865,1.3513489
org.joda.time.convert.ConverterManager,91.935486,58.064514,33.87097
org.joda.time.MutableInterval,100.0,80.0,20.0
org.joda.time.format.PeriodFormat$DynamicWordBased,100.0,25.0,75.0
org.joda.time.Minutes,97.14286,77.14286,20.0
org.joda.time.chrono.BasicMonthOfYearDateTimeField,79.31035,31.034481,48.275867
org.joda.time.base.AbstractPartial,98.3871,64.51613,33.87097
org.joda.time.base.BasePartial,100.0,100.0,0.0
org.joda.time.DateTimeUtils,86.95652,63.04348,23.91304
org.joda.time.base.AbstractDuration,100.0,84.375,15.625
org.joda.time.base.BaseDateTime,100.0,75.0,25.0
org.joda.time.LocalTime,92.0,57.0,35.0
org.joda.time.Hours,97.5,67.5,30.0
org.joda.time.base.AbstractInterval,96.42857,89.28571,7.1428604
