method,obc(%),omc_obc(%),cov_gap(%)
org.joda.time.Instant.withMillis,100.0,100.0,0.0
org.joda.time.Interval.withDurationAfterStart,100.0,100.0,0.0
org.joda.time.PeriodType.hashCode,100.0,50.0,50.0
org.joda.time.DateTime.plusSeconds,100.0,100.0,0.0
org.joda.time.chrono.GJChronology.getZone,100.0,100.0,0.0
org.joda.time.Days.isGreaterThan,100.0,100.0,0.0
org.joda.time.DateTime.plusWeeks,100.0,100.0,0.0
org.joda.time.format.DateTimeFormat.parseToken,90.625,84.375,6.25
org.joda.time.DateTimeZone.setProvider,75.0,25.0,50.0
org.joda.time.chrono.LimitChronology.equals,70.0,60.000004,9.999996
org.joda.time.Minutes.minutesIn,100.0,100.0,0.0
org.joda.time.field.BaseDateTimeField.roundHalfEven,100.0,100.0,0.0
org.joda.time.PeriodType.yearDay,100.0,50.0,50.0
org.joda.time.LocalDateTime.minusYears,100.0,100.0,0.0
org.joda.time.chrono.GJChronology$CutoverField.set,83.33333,37.5,45.83333
org.joda.time.field.PreciseDurationDateTimeField.roundCeiling,100.0,100.0,0.0
org.joda.time.Interval.withPeriodBeforeEnd,100.0,100.0,0.0
org.joda.time.PeriodType.withFieldRemoved,100.0,75.0,25.0
org.joda.time.field.LenientDateTimeField.getInstance,50.0,33.333336,16.666664
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix.scan,87.5,37.5,50.0
org.joda.time.LocalTime.plusSeconds,100.0,100.0,0.0
org.joda.time.PeriodType.days,100.0,50.0,50.0
org.joda.time.convert.ReadablePartialConverter.getChronology,100.0,50.0,50.0
org.joda.time.tz.ZoneInfoCompiler.test,15.384616,15.384616,0.0
org.joda.time.Months.dividedBy,100.0,100.0,0.0
org.joda.time.DateTime.minusMonths,100.0,100.0,0.0
org.joda.time.Partial.<init>,97.82609,54.347824,43.478264
org.joda.time.tz.DateTimeZoneBuilder.readFrom,62.5,12.5,50.0
org.joda.time.format.PeriodFormatterBuilder$Separator.<init>,83.33333,41.666664,41.666664
org.joda.time.chrono.GJChronology$ImpreciseCutoverField.getMaximumValue,100.0,50.0,50.0
org.joda.time.PeriodType.yearDayTime,100.0,50.0,50.0
org.joda.time.format.ISODateTimeFormat.dateByOrdinal,66.66667,66.66667,0.0
org.joda.time.Partial.without,100.0,100.0,0.0
org.joda.time.DateTime.withMillis,100.0,100.0,0.0
org.joda.time.format.PeriodFormatterBuilder$Composite.parseInto,83.33333,33.333336,49.999992
org.joda.time.chrono.GJChronology.withZone,100.0,75.0,25.0
org.joda.time.chrono.ZonedChronology.localToUTC,85.71429,42.857143,42.857143
org.joda.time.format.DateTimeFormatter.withPivotYear,83.33333,83.33333,0.0
org.joda.time.chrono.GJLocaleSymbols.monthOfYearTextToValue,100.0,100.0,0.0
org.joda.time.tz.DateTimeZoneBuilder$OfYear.previous,60.000004,40.0,20.000004
org.joda.time.MonthDay.withPeriodAdded,87.5,50.0,37.5
org.joda.time.convert.ConverterManager.removePeriodConverter,100.0,100.0,0.0
org.joda.time.field.BaseDateTimeField.roundHalfCeiling,100.0,100.0,0.0
org.joda.time.base.AbstractPeriod.equals,91.66667,91.66667,0.0
org.joda.time.LocalDate.toDateTime,100.0,50.0,50.0
org.joda.time.DateMidnight.plusMonths,100.0,100.0,0.0
org.joda.time.DateTime.withFields,100.0,100.0,0.0
org.joda.time.format.PeriodFormatterBuilder$IgnorableAffix.finish,94.44444,27.777779,66.666664
org.joda.time.chrono.LenientChronology.withUTC,100.0,50.0,50.0
org.joda.time.MutableDateTime.setRounding,90.0,40.0,50.0
