class,missed_stmt,covered_stmt,total_stmts
org.joda.time.DateTimeZone,28,325,353
org.joda.time.convert.ReadablePartialConverter,0,14,14
org.joda.time.convert.Converter,0,0,0
org.joda.time.chrono.GJYearOfEraDateTimeField,8,15,23
org.joda.time.convert.PartialConverter,0,0,0
org.joda.time.Seconds,0,66,66
org.joda.time.field.RemainderDateTimeField,19,24,43
org.joda.time.JodaTimePermission,1,0,1
org.joda.time.field.AbstractPartialFieldProperty,0,46,46
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,6,17,23
org.joda.time.field.StrictDateTimeField,7,4,11
org.joda.time.DateTimeFieldType,4,135,139
org.joda.time.ReadableInterval,0,0,0
org.joda.time.field.UnsupportedDurationField,16,24,40
org.joda.time.field.LenientDateTimeField,4,10,14
org.joda.time.DateTimeComparator,0,44,44
org.joda.time.ReadWritableInterval,0,0,0
org.joda.time.field.SkipUndoDateTimeField,4,16,20
org.joda.time.base.AbstractDateTime,0,39,39
org.joda.time.convert.AbstractConverter,0,10,10
org.joda.time.format.PeriodFormatterBuilder,47,721,768
org.joda.time.format.DateTimePrinter,0,0,0
org.joda.time.field.DelegatedDateTimeField,32,29,61
org.joda.time.base.BaseLocal,0,1,1
org.joda.time.chrono.ISOChronology,1,41,42
org.joda.time.chrono.BasicChronology,3,209,212
org.joda.time.chrono.LenientChronology,7,41,48
org.joda.time.chrono.BasicYearDateTimeField,1,37,38
org.joda.time.field.DividedDateTimeField,25,28,53
org.joda.time.convert.DateConverter,0,4,4
org.joda.time.chrono.ZonedChronology,43,194,237
org.joda.time.field.BaseDateTimeField,5,161,166
org.joda.time.field.ZeroIsMaxDateTimeField,22,13,35
org.joda.time.format.DateTimeFormatterBuilder,149,752,901
org.joda.time.base.BaseInterval,0,63,63
org.joda.time.chrono.EthiopicChronology,4,53,57
org.joda.time.Duration,0,67,67
org.joda.time.format.FormatUtils,80,67,147
org.joda.time.PeriodType,0,205,205
org.joda.time.format.PeriodFormatter,0,53,53
org.joda.time.field.MillisDurationField,1,30,31
org.joda.time.format.InternalPrinter,0,0,0
org.joda.time.format.DateTimePrinterInternalPrinter,16,10,26
org.joda.time.chrono.GJChronology,66,273,339
org.joda.time.Interval,2,96,98
org.joda.time.convert.LongConverter,0,4,4
org.joda.time.chrono.IslamicChronology,44,90,134
org.joda.time.base.AbstractInstant,0,57,57
org.joda.time.chrono.BasicFixedMonthChronology,3,28,31
org.joda.time.tz.DateTimeZoneBuilder,75,600,675
org.joda.time.format.DateTimeParserBucket,7,141,148
org.joda.time.field.UnsupportedDateTimeField,0,67,67
org.joda.time.field.ScaledDurationField,0,35,35
org.joda.time.chrono.ISOYearOfEraDateTimeField,13,7,20
org.joda.time.ReadWritablePeriod,0,0,0
org.joda.time.convert.ConverterSet,0,117,117
org.joda.time.field.PreciseDurationDateTimeField,0,25,25
org.joda.time.MonthDay,3,113,116
org.joda.time.chrono.GJCacheKey,10,19,29
org.joda.time.LocalDateTime,20,306,326
org.joda.time.MutablePeriod,3,84,87
org.joda.time.tz.FixedDateTimeZone,0,22,22
org.joda.time.MutableDateTime,2,192,194
org.joda.time.format.PeriodPrinter,0,0,0
org.joda.time.convert.IntervalConverter,0,0,0
org.joda.time.field.PreciseDateTimeField,0,19,19
org.joda.time.tz.CachedDateTimeZone,8,61,69
org.joda.time.ReadableDateTime,0,0,0
org.joda.time.chrono.GJLocaleSymbols,1,88,89
