method,missed_stmt,covered_stmt,total_stmts
org.joda.time.base.BaseLocal.<init>,0,1,1
org.joda.time.Duration.toStandardSeconds,0,2,2
org.joda.time.Hours.toStandardMinutes,0,1,1
org.joda.time.Instant.withMillis,0,1,1
org.joda.time.PeriodType.getName,0,1,1
org.joda.time.chrono.GJDayOfWeekDateTimeField.getMinimumValue,0,1,1
org.joda.time.chrono.AssembledChronology.millisOfDay,0,1,1
org.joda.time.chrono.LimitChronology.equals,2,4,6
org.joda.time.chrono.ZonedChronology.withUTC,1,0,1
org.joda.time.field.ImpreciseDateTimeField.add,0,2,2
org.joda.time.DateTime.Property,0,3,3
org.joda.time.chrono.GJEraDateTimeField.roundHalfFloor,1,0,1
org.joda.time.DateMidnight.getDateMidnight,0,1,1
org.joda.time.MutableDateTime.addWeeks,0,2,2
org.joda.time.field.PreciseDurationDateTimeField.roundCeiling,0,4,4
org.joda.time.tz.DateTimeZoneBuilder.RuleSet,0,8,8
org.joda.time.Interval.withPeriodBeforeEnd,0,6,6
org.joda.time.DateMidnight.roundHalfFloorCopy,0,1,1
org.joda.time.chrono.JulianChronology.readResolve,0,4,4
org.joda.time.field.LenientDateTimeField.getInstance,3,4,7
org.joda.time.chrono.BasicDayOfYearDateTimeField.getMinimumValue,0,1,1
org.joda.time.LocalTime.plusSeconds,0,4,4
org.joda.time.PeriodType.days,0,5,5
org.joda.time.chrono.StrictChronology.hashCode,0,1,1
org.joda.time.Months.getFieldType,0,1,1
org.joda.time.convert.ReadablePartialConverter.getChronology,0,5,5
org.joda.time.tz.ZoneInfoCompiler.test,7,30,37
org.joda.time.Seconds.seconds,0,15,15
org.joda.time.convert.ReadablePeriodConverter.<init>,0,1,1
org.joda.time.LocalDateTime.fromCalendarFields,0,5,5
org.joda.time.DateMidnight.withEra,0,1,1
org.joda.time.DateTime.withMillis,0,1,1
org.joda.time.MonthDay.getField,0,8,8
org.joda.time.Partial.without,0,12,12
org.joda.time.YearMonthDay.withMaximumValue,0,1,1
org.joda.time.field.BaseDateTimeField.getMaximumShortTextLength,0,1,1
org.joda.time.chrono.IslamicChronology.getLeapYearPatternType,1,0,1
org.joda.time.chrono.GJChronology.withZone,0,5,5
org.joda.time.chrono.LimitChronology.roundHalfFloor,4,0,4
org.joda.time.field.FieldUtils.safeDivide,0,8,8
org.joda.time.MonthDay.withPeriodAdded,0,9,9
org.joda.time.Period.withMinutes,0,3,3
org.joda.time.field.MillisDurationField.getValueAsLong,0,2,2
org.joda.time.chrono.BaseChronology.seconds,1,0,1
org.joda.time.convert.ConverterManager.removePeriodConverter,0,6,6
org.joda.time.field.OffsetDateTimeField.getMaximumValue,0,1,1
org.joda.time.field.UnsupportedDateTimeField.get,0,1,1
org.joda.time.Seconds.getPeriodType,0,1,1
org.joda.time.chrono.BaseChronology.dayOfYear,1,0,1
org.joda.time.chrono.GJDayOfWeekDateTimeField.getAsText,0,1,1
org.joda.time.convert.ReadableDurationConverter.getSupportedType,0,1,1
org.joda.time.DateTimeConstants.<init>,0,0,0
org.joda.time.LocalDate.toDateTime,0,7,7
org.joda.time.tz.ZoneInfoLogger.verbose,0,1,1
org.joda.time.DateTime.withFields,0,3,3
org.joda.time.DateTime.roundFloorCopy,0,1,1
org.joda.time.base.BaseSingleFieldPeriod.getFieldType,0,3,3
org.joda.time.chrono.BaseChronology.halfdayOfDay,1,0,1
org.joda.time.chrono.BasicFixedMonthChronology.getAverageMillisPerYearDividedByTwo,0,1,1
org.joda.time.LocalDateTime.getMillisOfSecond,0,1,1
org.joda.time.field.AbstractReadableInstantFieldProperty.getLeapDurationField,0,1,1
org.joda.time.UTCDateTimeZone.getOffset,0,1,1
org.joda.time.chrono.GJLocaleSymbols.halfdayTextToValue,0,5,5
org.joda.time.LocalDate.parse,0,2,2
org.joda.time.MutablePeriod.setMillis,0,1,1
org.joda.time.chrono.BaseChronology.millis,1,0,1
org.joda.time.YearMonthDay.<init>,0,11,11
org.joda.time.DateTime.property,0,6,6
org.joda.time.DateTime.withDurationAdded,0,7,7
org.joda.time.TimeOfDay.fromDateFields,0,3,3
org.joda.time.field.RemainderDateTimeField.getMinimumValue,0,1,1
org.joda.time.DurationFieldType.weekyears,0,1,1
org.joda.time.chrono.ZonedChronology.getRangeDurationField,0,1,1
org.joda.time.chrono.AssembledChronology.millisOfSecond,0,1,1
org.joda.time.LocalDateTime.getLocalMillis,0,1,1
org.joda.time.Months.plus,0,6,6
org.joda.time.LocalDate.toDateTimeAtCurrentTime,0,6,6
org.joda.time.format.DateTimeFormatter.getParser,0,1,1
org.joda.time.PeriodType.size,0,1,1
org.joda.time.DateMidnight.withWeekyear,0,1,1
org.joda.time.field.DecoratedDateTimeField.getMaximumValue,0,1,1
org.joda.time.DateMidnight.withFields,0,3,3
org.joda.time.format.PeriodFormat.printTo,1,1,2
org.joda.time.chrono.GJEraDateTimeField.getMaximumValue,0,1,1
org.joda.time.YearMonthDay.getMonthOfYear,0,1,1
org.joda.time.chrono.BasicYearDateTimeField.readResolve,1,0,1
org.joda.time.LocalDateTime.minusHours,0,4,4
org.joda.time.MutableDateTime.dayOfWeek,0,1,1
org.joda.time.Minutes.toString,0,1,1
org.joda.time.field.DelegatedDurationField.<init>,6,0,6
org.joda.time.base.BasePeriod.checkPeriodType,0,1,1
org.joda.time.Weeks.toStandardDays,0,1,1
org.joda.time.DateTime.withDate,0,4,4
org.joda.time.base.BasePartial.toString,0,6,6
org.joda.time.format.PeriodFormatterBuilder.isZero,0,4,4
org.joda.time.chrono.JulianChronology.getAverageMillisPerYearDividedByTwo,0,1,1
org.joda.time.YearMonth.addWrapFieldToCopy,0,3,3
org.joda.time.tz.DateTimeZoneBuilder.nextTransition,5,45,50
org.joda.time.LocalDateTime.centuryOfEra,0,1,1
org.joda.time.field.RemainderDateTimeField.roundCeiling,1,0,1
org.joda.time.DateTimeFieldType.halfdayOfDay,0,1,1
org.joda.time.base.BasePartial.setValues,0,2,2
org.joda.time.chrono.IslamicChronology.LeapYearPatternType,0,3,3
org.joda.time.DateMidnight.yearOfCentury,0,1,1
org.joda.time.DateTime.withWeekyear,0,1,1
org.joda.time.chrono.EthiopicChronology.readResolve,2,0,2
org.joda.time.chrono.BasicFixedMonthChronology.getYearDifference,0,8,8
org.joda.time.LocalDateTime.toLocalDate,0,1,1
org.joda.time.format.ISODateTimeFormat.weekDate,0,1,1
org.joda.time.base.AbstractInstant.toDate,0,1,1
org.joda.time.chrono.BuddhistChronology.getInstance,1,11,12
org.joda.time.chrono.LimitChronology.getValue,0,2,2
org.joda.time.chrono.BasicDayOfYearDateTimeField.get,0,1,1
org.joda.time.chrono.LimitChronology.getUpperLimit,0,1,1
org.joda.time.DateTime.withYearOfEra,0,1,1
org.joda.time.field.DividedDateTimeField.getDifferenceAsLong,1,0,1
org.joda.time.ReadableDuration.null,0,0,0
org.joda.time.convert.ConverterManager.removeIntervalConverter,0,6,6
org.joda.time.field.DelegatedDateTimeField.getDifferenceAsLong,1,0,1
org.joda.time.DateTime.withYearOfCentury,0,1,1
org.joda.time.format.ISODateTimeFormat.dateParser,1,4,5
org.joda.time.format.ISODateTimeFormat.basicOrdinalDateTime,1,3,4
org.joda.time.Seconds.getSeconds,0,1,1
org.joda.time.DateMidnight.writeObject,0,2,2
org.joda.time.Days.daysIn,0,4,4
