class,sc,omc_sc,cov_gap
org.joda.time.DateTimeZone,92.067986,58.35694,33.711044
org.joda.time.convert.ReadablePartialConverter,100.0,85.71429,14.285713
org.joda.time.chrono.GJYearOfEraDateTimeField,65.21739,13.043478,52.173912
org.joda.time.Seconds,100.0,86.36364,13.63636
org.joda.time.field.RemainderDateTimeField,55.813957,11.627908,44.18605
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,73.91304,17.391304,56.521736
org.joda.time.field.AbstractPartialFieldProperty,100.0,89.13044,10.86956
org.joda.time.field.StrictDateTimeField,36.363636,27.272728,9.090908
org.joda.time.DateTimeFieldType,97.1223,41.007195,56.115105
org.joda.time.field.UnsupportedDurationField,60.000004,32.5,27.500004
org.joda.time.field.LenientDateTimeField,71.42857,57.14286,14.285713
org.joda.time.DateTimeComparator,100.0,90.909096,9.090904
org.joda.time.base.AbstractDateTime,100.0,89.74359,10.256409
org.joda.time.field.SkipUndoDateTimeField,80.0,10.0,70.0
org.joda.time.convert.AbstractConverter,100.0,80.0,20.0
org.joda.time.format.PeriodFormatterBuilder,93.8802,36.71875,57.161453
org.joda.time.chrono.ISOChronology,97.61904,69.047615,28.571426
org.joda.time.field.DelegatedDateTimeField,47.540985,22.950819,24.590166
org.joda.time.chrono.BasicChronology,98.58491,41.981133,56.603775
org.joda.time.chrono.LenientChronology,85.41667,35.416664,50.000008
org.joda.time.chrono.BasicYearDateTimeField,97.368416,65.789474,31.578941
org.joda.time.field.DividedDateTimeField,52.83019,22.64151,30.188679
org.joda.time.convert.DateConverter,100.0,75.0,25.0
org.joda.time.chrono.ZonedChronology,81.856544,59.07173,22.784813
org.joda.time.field.BaseDateTimeField,96.98795,81.92771,15.060242
org.joda.time.field.ZeroIsMaxDateTimeField,37.142857,17.142859,19.999998
org.joda.time.format.DateTimeFormatterBuilder,83.462814,42.17536,41.287453
org.joda.time.base.BaseInterval,100.0,65.07937,34.92063
org.joda.time.chrono.EthiopicChronology,92.98246,42.105263,50.877197
org.joda.time.Duration,100.0,97.01493,2.9850693
org.joda.time.format.FormatUtils,45.57823,11.564626,34.013607
