method,sc,omc_sc,cov_gap
org.joda.time.Hours.toStandardMinutes,100.0,100.0,0.0
org.joda.time.Duration.toStandardSeconds,100.0,100.0,0.0
org.joda.time.Instant.withMillis,100.0,100.0,0.0
org.joda.time.PeriodType.getName,100.0,100.0,0.0
org.joda.time.chrono.GJDayOfWeekDateTimeField.getMinimumValue,100.0,100.0,0.0
org.joda.time.chrono.AssembledChronology.millisOfDay,100.0,100.0,0.0
org.joda.time.chrono.LimitChronology.equals,66.66667,66.66667,0.0
org.joda.time.field.ImpreciseDateTimeField.add,100.0,100.0,0.0
org.joda.time.DateMidnight.getDateMidnight,100.0,100.0,0.0
org.joda.time.field.PreciseDurationDateTimeField.roundCeiling,100.0,100.0,0.0
org.joda.time.Interval.withPeriodBeforeEnd,100.0,50.0,50.0
org.joda.time.DateMidnight.roundHalfFloorCopy,100.0,100.0,0.0
org.joda.time.field.LenientDateTimeField.getInstance,57.14286,42.857143,14.285717
org.joda.time.PeriodType.days,100.0,100.0,0.0
org.joda.time.LocalTime.plusSeconds,100.0,100.0,0.0
org.joda.time.convert.ReadablePartialConverter.getChronology,100.0,100.0,0.0
org.joda.time.Months.getFieldType,100.0,100.0,0.0
org.joda.time.chrono.StrictChronology.hashCode,100.0,100.0,0.0
org.joda.time.tz.ZoneInfoCompiler.test,81.08108,21.621622,59.459457
org.joda.time.Seconds.seconds,100.0,53.333336,46.666664
org.joda.time.LocalDateTime.fromCalendarFields,100.0,40.0,60.0
org.joda.time.DateMidnight.withEra,100.0,100.0,0.0
org.joda.time.DateTime.withMillis,100.0,100.0,0.0
org.joda.time.Partial.without,100.0,50.0,50.0
org.joda.time.MonthDay.getField,100.0,50.0,50.0
org.joda.time.YearMonthDay.withMaximumValue,100.0,100.0,0.0
org.joda.time.field.BaseDateTimeField.getMaximumShortTextLength,100.0,100.0,0.0
org.joda.time.chrono.GJChronology.withZone,100.0,100.0,0.0
org.joda.time.field.FieldUtils.safeDivide,100.0,50.0,50.0
org.joda.time.MonthDay.withPeriodAdded,100.0,44.444447,55.555553
org.joda.time.Period.withMinutes,100.0,33.333336,66.666664
org.joda.time.convert.ConverterManager.removePeriodConverter,100.0,83.33333,16.666672
org.joda.time.field.MillisDurationField.getValueAsLong,100.0,100.0,0.0
org.joda.time.field.UnsupportedDateTimeField.get,100.0,100.0,0.0
org.joda.time.field.OffsetDateTimeField.getMaximumValue,100.0,100.0,0.0
org.joda.time.Seconds.getPeriodType,100.0,100.0,0.0
org.joda.time.chrono.GJDayOfWeekDateTimeField.getAsText,100.0,100.0,0.0
org.joda.time.convert.ReadableDurationConverter.getSupportedType,100.0,100.0,0.0
org.joda.time.LocalDate.toDateTime,100.0,71.42857,28.571426
org.joda.time.DateTime.roundFloorCopy,100.0,100.0,0.0
org.joda.time.DateTime.withFields,100.0,100.0,0.0
org.joda.time.base.BaseSingleFieldPeriod.getFieldType,100.0,33.333336,66.666664
org.joda.time.LocalDateTime.getMillisOfSecond,100.0,100.0,0.0
org.joda.time.UTCDateTimeZone.getOffset,100.0,100.0,0.0
org.joda.time.field.AbstractReadableInstantFieldProperty.getLeapDurationField,100.0,100.0,0.0
org.joda.time.chrono.GJLocaleSymbols.halfdayTextToValue,100.0,80.0,20.0
org.joda.time.LocalDate.parse,100.0,100.0,0.0
org.joda.time.MutablePeriod.setMillis,100.0,100.0,0.0
org.joda.time.YearMonthDay.<init>,100.0,100.0,0.0
org.joda.time.DateTime.property,100.0,16.666668,83.33333
org.joda.time.DateTime.withDurationAdded,100.0,100.0,0.0
org.joda.time.TimeOfDay.fromDateFields,100.0,33.333336,66.666664
org.joda.time.DurationFieldType.weekyears,100.0,100.0,0.0
org.joda.time.chrono.ZonedChronology.getRangeDurationField,100.0,100.0,0.0
org.joda.time.chrono.AssembledChronology.millisOfSecond,100.0,100.0,0.0
org.joda.time.LocalDateTime.getLocalMillis,100.0,100.0,0.0
org.joda.time.Months.plus,100.0,100.0,0.0
org.joda.time.LocalDate.toDateTimeAtCurrentTime,100.0,100.0,0.0
org.joda.time.format.DateTimeFormatter.getParser,100.0,100.0,0.0
