class,missed_branch, covered_branch, total_branch  
com.google.gson.internal.bind.TimeTypeAdapter$1,0,2,2
com.google.gson.reflect.TypeToken,31,29,60
com.google.gson.internal.bind.TypeAdapters$23,1,5,6
com.google.gson.internal.LinkedTreeMap$KeySet,2,0,2
com.google.gson.internal.bind.TypeAdapters$24,0,4,4
com.google.gson.internal.bind.TypeAdapters$25,0,4,4
com.google.gson.internal.bind.TypeAdapters$26,0,2,2
com.google.gson.internal.bind.TypeAdapters$20,0,4,4
com.google.gson.GsonBuilder,8,30,38
com.google.gson.internal.bind.TypeAdapters$21,0,4,4
com.google.gson.internal.bind.JsonTreeWriter,13,37,50
com.google.gson.internal.bind.TypeAdapters$22,1,5,6
com.google.gson.internal.bind.TypeAdapters$27,1,17,18
com.google.gson.internal.bind.TypeAdapters$28,2,14,16
com.google.gson.internal.bind.TypeAdapters$29,2,27,29
com.google.gson.internal.bind.SqlDateTypeAdapter,0,4,4
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,0,14,14
com.google.gson.internal.bind.TimeTypeAdapter,0,4,4
com.google.gson.internal.LinkedHashTreeMap$KeySet,2,0,2
com.google.gson.internal.bind.TypeAdapters$34,0,4,4
com.google.gson.internal.bind.TypeAdapters$35,0,2,2
com.google.gson.internal.bind.TypeAdapters$30,0,6,6
com.google.gson.internal.bind.TypeAdapters$31,0,2,2
com.google.gson.internal.bind.TypeAdapters$32,0,2,2
com.google.gson.internal.bind.TypeAdapters$33,0,4,4
com.google.gson.JsonArray,25,17,42
com.google.gson.internal.bind.TypeAdapters$35$1,0,4,4
com.google.gson.internal.Excluder,3,79,82
com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl,1,3,4
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter,3,7,10
com.google.gson.stream.JsonReader$1,2,8,10
com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,7,33,40
com.google.gson.internal.$Gson$Types,38,106,144
com.google.gson.JsonParser,1,3,4
com.google.gson.FieldAttributes,0,2,2
com.google.gson.stream.JsonReader,43,425,468
com.google.gson.internal.bind.util.ISO8601Utils,48,43,91
com.google.gson.internal.bind.MapTypeAdapterFactory,1,5,6
com.google.gson.Gson$FutureTypeAdapter,3,3,6
com.google.gson.internal.bind.TreeTypeAdapter,1,11,12
com.google.gson.internal.LinkedTreeMap$Node,19,3,22
com.google.gson.stream.JsonWriter,6,88,94
com.google.gson.internal.bind.ArrayTypeAdapter$1,1,5,6
com.google.gson.internal.bind.TreeTypeAdapter$SingleTypeFactory,1,17,18
com.google.gson.internal.Streams,1,3,4
com.google.gson.internal.$Gson$Preconditions,0,4,4
com.google.gson.internal.bind.TypeAdapters$12,0,2,2
com.google.gson.internal.bind.TypeAdapters$13,2,0,2
com.google.gson.internal.bind.TypeAdapters$14,2,0,2
com.google.gson.internal.bind.TypeAdapters$15,0,3,3
com.google.gson.internal.LinkedHashTreeMap$EntrySet,8,0,8
com.google.gson.internal.Primitives,0,4,4
com.google.gson.internal.bind.TypeAdapters$10,0,2,2
com.google.gson.internal.bind.TypeAdapters$11,0,2,2
com.google.gson.internal.ConstructorConstructor$5,2,2,4
com.google.gson.internal.bind.ArrayTypeAdapter,0,10,10
com.google.gson.internal.bind.TypeAdapters$16,1,5,6
com.google.gson.internal.bind.TypeAdapters$17,0,4,4
com.google.gson.internal.bind.TypeAdapters$18,0,2,2
com.google.gson.JsonNull,0,4,4
com.google.gson.internal.LinkedHashTreeMap$Node,20,2,22
com.google.gson.internal.bind.TypeAdapters$19,0,2,2
com.google.gson.internal.bind.DateTypeAdapter$1,0,2,2
com.google.gson.JsonStreamParser,2,4,6
com.google.gson.JsonObject,0,12,12
com.google.gson.TypeAdapter$1,0,4,4
com.google.gson.Gson$6,0,6,6
com.google.gson.Gson$2,0,4,4
com.google.gson.Gson$3,0,4,4
com.google.gson.internal.bind.ObjectTypeAdapter,1,14,15
com.google.gson.Gson$4,2,2,4
com.google.gson.internal.bind.DateTypeAdapter,0,4,4
com.google.gson.internal.bind.CollectionTypeAdapterFactory$Adapter,0,8,8
com.google.gson.internal.LinkedHashTreeMap,56,114,170
com.google.gson.internal.bind.TypeAdapters$26$1,0,2,2
com.google.gson.Gson,6,48,54
com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator,3,5,8
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,2,16,18
com.google.gson.internal.LinkedTreeMap$EntrySet,8,0,8
com.google.gson.internal.LinkedHashTreeMap$AvlIterator,0,6,6
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,2,34,36
com.google.gson.internal.$Gson$Types$WildcardTypeImpl,12,8,20
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1,0,10,10
com.google.gson.internal.Excluder$1,1,5,6
com.google.gson.internal.bind.JsonTreeReader,6,80,86
com.google.gson.internal.bind.SqlDateTypeAdapter$1,0,2,2
com.google.gson.internal.bind.TypeAdapters$8,3,1,4
com.google.gson.internal.bind.TypeAdapters$7,0,4,4
com.google.gson.internal.bind.TypeAdapters$9,0,2,2
com.google.gson.internal.LinkedTreeMap,42,108,150
com.google.gson.internal.bind.TypeAdapters$3,0,6,6
com.google.gson.internal.bind.TypeAdapters$6,1,19,20
com.google.gson.internal.LinkedHashTreeMap$AvlBuilder,3,15,18
com.google.gson.internal.LazilyParsedNumber,5,3,8
com.google.gson.internal.bind.ObjectTypeAdapter$1,0,2,2
com.google.gson.internal.bind.TypeAdapters$5,0,4,4
com.google.gson.internal.ConstructorConstructor,1,31,32
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter,0,14,14
com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator,3,5,8
com.google.gson.JsonElement,5,3,8
com.google.gson.FieldNamingPolicy,3,13,16
com.google.gson.internal.bind.CollectionTypeAdapterFactory,0,2,2
com.google.gson.DefaultDateTypeAdapter,2,6,8
com.google.gson.JsonPrimitive,15,65,80
com.google.gson.internal.UnsafeAllocator,0,4,4
com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl,6,16,22
