method,missed_branch,covered_branch,total_branch
com.google.gson.Gson.newJsonReader,0,0,0
com.google.gson.FieldAttributes.get,0,0,0
com.google.gson.TypeAdapter.nullSafe,0,0,0
com.google.gson.internal.LinkedTreeMap$1.<init>,0,0,0
com.google.gson.internal.LinkedHashTreeMap.replaceInParent,2,8,10
com.google.gson.JsonArray.deepCopy,0,2,2
com.google.gson.stream.JsonReader.nextBoolean,0,6,6
com.google.gson.GsonBuilder.generateNonExecutableJson,0,0,0
com.google.gson.internal.LinkedHashTreeMap$Node.hashCode,2,2,4
com.google.gson.internal.bind.TypeAdapters$32.create,0,2,2
com.google.gson.JsonObject.deepCopy,0,2,2
com.google.gson.GsonBuilder.setFieldNamingPolicy,0,0,0
com.google.gson.internal.LinkedHashTreeMap.rebalance,16,38,54
com.google.gson.Gson$2.<init>,0,0,0
com.google.gson.internal.LinkedTreeMap$EntrySet.iterator,0,0,0
com.google.gson.internal.bind.JsonTreeReader.nextName,0,0,0
com.google.gson.Gson.<init>,0,0,0
com.google.gson.JsonNull.hashCode,0,0,0
com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl.equals,1,3,4
com.google.gson.internal.LinkedHashTreeMap.<clinit>,1,1,2
com.google.gson.internal.bind.TypeAdapters$17.<init>,0,0,0
com.google.gson.internal.bind.util.ISO8601Utils.indexOfNonDigit,2,4,6
com.google.gson.internal.ConstructorConstructor$14.construct,0,0,0
com.google.gson.internal.$Gson$Types.subtypeOf,0,0,0
com.google.gson.internal.bind.TypeAdapters$2.read,0,0,0
com.google.gson.internal.LinkedHashTreeMap$KeySet$1.<init>,0,0,0
com.google.gson.JsonObject.add,0,2,2
com.google.gson.Gson.getDelegateAdapter,1,9,10
com.google.gson.stream.JsonReader.<clinit>,0,0,0
com.google.gson.stream.JsonReader.endObject,0,4,4
com.google.gson.internal.Excluder.excludeField,1,31,32
com.google.gson.JsonElement.toString,0,0,0
com.google.gson.internal.bind.TypeAdapters$29.read,1,10,11
com.google.gson.JsonPrimitive.getAsFloat,1,1,2
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1.write,0,2,2
com.google.gson.internal.bind.JsonTreeWriter.flush,0,0,0
com.google.gson.JsonPrimitive.getAsBigInteger,1,1,2
com.google.gson.internal.LinkedTreeMap$Node.<init>,0,0,0
com.google.gson.internal.bind.TypeAdapters$5.write,0,2,2
com.google.gson.GsonBuilder.addTypeAdaptersForDate,4,4,8
com.google.gson.internal.LinkedHashTreeMap.writeReplace,0,0,0
com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl.hashCode,0,0,0
com.google.gson.internal.Excluder.disableInnerClassSerialization,0,0,0
com.google.gson.internal.LinkedHashTreeMap$EntrySet$1.next,0,0,0
com.google.gson.FieldNamingPolicy$3.<init>,0,0,0
com.google.gson.internal.$Gson$Types.<init>,0,0,0
com.google.gson.internal.LinkedHashTreeMap.rotateLeft,0,8,8
com.google.gson.internal.bind.TypeAdapters$15.write,0,0,0
com.google.gson.internal.ConstructorConstructor$5.construct,2,2,4
com.google.gson.reflect.TypeToken.equals,1,3,4
com.google.gson.internal.ConstructorConstructor$3.<init>,0,0,0
com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter.read,0,12,12
com.google.gson.Gson$FutureTypeAdapter.<init>,0,0,0
com.google.gson.stream.JsonWriter.replaceTop,0,0,0
com.google.gson.internal.bind.SqlDateTypeAdapter.<init>,0,0,0
com.google.gson.internal.bind.TimeTypeAdapter.read,0,2,2
com.google.gson.internal.bind.TypeAdapters$13.read,2,0,2
com.google.gson.internal.bind.JsonTreeReader$1.<init>,0,0,0
com.google.gson.reflect.TypeToken.hashCode,0,0,0
com.google.gson.internal.bind.JsonTreeReader.hasNext,0,4,4
com.google.gson.internal.bind.JsonTreeReader.<clinit>,0,0,0
com.google.gson.internal.bind.TypeAdapters$10.write,0,0,0
com.google.gson.Gson.longAdapter,0,2,2
com.google.gson.internal.ConstructorConstructor$9.construct,0,0,0
com.google.gson.internal.bind.TypeAdapters$28.write,0,2,2
com.google.gson.internal.Primitives.add,0,0,0
com.google.gson.internal.bind.TypeAdapters$28.<init>,0,0,0
com.google.gson.Gson.toJson,2,2,4
com.google.gson.Gson.atomicLongArrayAdapter,0,0,0
com.google.gson.internal.Excluder.isStatic,0,2,2
com.google.gson.JsonPrimitive.getAsInt,0,2,2
com.google.gson.stream.JsonWriter.beginArray,0,0,0
com.google.gson.internal.bind.ObjectTypeAdapter$1.create,0,2,2
com.google.gson.JsonNull.<clinit>,0,0,0
com.google.gson.Gson$6.read,0,4,4
com.google.gson.internal.bind.TypeAdapters$20.<init>,0,0,0
com.google.gson.internal.bind.TreeTypeAdapter.read,0,4,4
com.google.gson.JsonArray.getAsBigInteger,2,0,2
com.google.gson.internal.bind.JsonTreeReader.endObject,0,2,2
com.google.gson.internal.bind.TypeAdapters$31.<init>,0,0,0
com.google.gson.stream.JsonToken.<clinit>,0,0,0
com.google.gson.stream.JsonWriter.setSerializeNulls,0,0,0
com.google.gson.internal.bind.JsonTreeReader.locationString,0,0,0
com.google.gson.JsonPrimitive.equals,5,21,26
com.google.gson.internal.$Gson$Types$WildcardTypeImpl.getUpperBounds,0,0,0
com.google.gson.stream.JsonWriter.getSerializeNulls,0,0,0
com.google.gson.internal.bind.TimeTypeAdapter.<clinit>,0,0,0
com.google.gson.internal.LinkedTreeMap.<init>,1,1,2
com.google.gson.internal.$Gson$Types.getMapKeyAndValueTypes,0,4,4
com.google.gson.internal.bind.TypeAdapters$26$1.write,0,0,0
com.google.gson.JsonElement.getAsLong,0,0,0
com.google.gson.internal.LinkedTreeMap$KeySet.contains,0,0,0
com.google.gson.internal.$Gson$Types.indexOf,1,3,4
com.google.gson.internal.Excluder.isInnerClass,1,3,4
com.google.gson.internal.bind.TypeAdapters$35$1.read,0,4,4
com.google.gson.stream.JsonReader.nextName,0,8,8
com.google.gson.GsonBuilder.setDateFormat,0,0,0
com.google.gson.internal.LazilyParsedNumber.toString,0,0,0
com.google.gson.GsonBuilder.setExclusionStrategies,2,0,2
com.google.gson.internal.LinkedHashTreeMap$Node.getValue,0,0,0
com.google.gson.internal.ConstructorConstructor$10.<init>,0,0,0
com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator.nextNode,2,2,4
com.google.gson.stream.JsonReader.isLiteral,0,3,3
com.google.gson.JsonParseException.<init>,0,0,0
com.google.gson.internal.bind.TreeTypeAdapter.write,0,4,4
com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl.toString,0,0,0
com.google.gson.LongSerializationPolicy$2.<init>,0,0,0
com.google.gson.stream.JsonWriter.beforeValue,0,8,8
com.google.gson.internal.bind.JsonTreeReader.close,0,0,0
com.google.gson.internal.Streams$AppendableWriter$CurrentWrite.subSequence,0,0,0
com.google.gson.internal.bind.TypeAdapters$1.read,0,0,0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter.read,0,8,8
com.google.gson.JsonArray.getAsShort,2,0,2
com.google.gson.JsonPrimitive.getAsDouble,0,2,2
com.google.gson.JsonStreamParser.next,2,2,4
com.google.gson.JsonElement.getAsJsonPrimitive,1,1,2
com.google.gson.internal.UnsafeAllocator.<init>,0,0,0
com.google.gson.stream.JsonWriter.setIndent,1,1,2
com.google.gson.internal.Excluder.excludeClass,0,16,16
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.createBoundField,0,6,6
com.google.gson.internal.bind.TypeAdapters$26.create,0,2,2
com.google.gson.JsonArray.remove,0,0,0
com.google.gson.internal.bind.TypeAdapters$35.create,0,2,2
com.google.gson.stream.JsonReader.hasNext,1,5,6
com.google.gson.internal.bind.TypeAdapters$28.read,2,12,14
com.google.gson.Gson$3.write,0,2,2
com.google.gson.internal.ConstructorConstructor$13.<init>,0,0,0
com.google.gson.FieldNamingPolicy.modifyString,1,1,2
com.google.gson.internal.ConstructorConstructor$6.<init>,0,0,0
com.google.gson.stream.JsonReader.nextQuotedValue,0,10,10
com.google.gson.internal.$Gson$Types.equals,13,21,34
