class,obc(%),omc_obc(%),cov_gap(%)
com.google.gson.internal.bind.TimeTypeAdapter$1,100.0,100.0,0.0
com.google.gson.reflect.TypeToken,48.333332,38.333332,10.0
com.google.gson.internal.bind.TypeAdapters$23,83.33333,50.0,33.33333
com.google.gson.internal.bind.TypeAdapters$25,100.0,50.0,50.0
com.google.gson.internal.bind.TypeAdapters$26,100.0,100.0,0.0
com.google.gson.internal.bind.TypeAdapters$20,100.0,50.0,50.0
com.google.gson.GsonBuilder,78.94737,28.947369,50.000004
com.google.gson.internal.bind.JsonTreeWriter,74.0,24.0,50.0
com.google.gson.internal.bind.TypeAdapters$21,100.0,50.0,50.0
com.google.gson.internal.bind.TypeAdapters$22,83.33333,50.0,33.33333
com.google.gson.internal.bind.TypeAdapters$27,94.44444,50.0,44.444443
com.google.gson.internal.bind.TypeAdapters$28,87.5,62.5,25.0
com.google.gson.internal.bind.TypeAdapters$29,93.10345,58.62069,34.482758
com.google.gson.internal.bind.SqlDateTypeAdapter,100.0,50.0,50.0
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,100.0,71.42857,28.571426
com.google.gson.internal.bind.TimeTypeAdapter,100.0,50.0,50.0
com.google.gson.internal.bind.TypeAdapters$34,100.0,50.0,50.0
com.google.gson.internal.bind.TypeAdapters$35,100.0,100.0,0.0
com.google.gson.internal.bind.TypeAdapters$30,100.0,66.66667,33.33333
com.google.gson.internal.bind.TypeAdapters$31,100.0,100.0,0.0
com.google.gson.internal.bind.TypeAdapters$32,100.0,100.0,0.0
com.google.gson.internal.bind.TypeAdapters$33,100.0,100.0,0.0
com.google.gson.JsonArray,40.476192,11.904762,28.57143
com.google.gson.internal.bind.TypeAdapters$35$1,100.0,50.0,50.0
com.google.gson.internal.Excluder,96.34146,87.80488,8.536583
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter,70.0,50.0,20.0
com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl,75.0,50.0,25.0
com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,82.5,25.0,57.5
com.google.gson.stream.JsonReader$1,80.0,70.0,10.0
com.google.gson.internal.$Gson$Types,73.61111,63.194443,10.416664
com.google.gson.stream.JsonReader,90.811966,57.905983,32.905983
