method,obc(%),omc_obc(%),cov_gap(%)
com.google.gson.internal.LinkedHashTreeMap.clear,100.0,50.0,50.0
com.google.gson.internal.LinkedHashTreeMap.replaceInParent,80.0,30.000002,50.0
com.google.gson.stream.JsonReader.nextBoolean,100.0,66.66667,33.33333
com.google.gson.JsonArray.deepCopy,100.0,100.0,0.0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.getBoundFields,94.44444,61.11111,33.333332
com.google.gson.stream.JsonReader.readEscapeCharacter,83.870964,3.2258062,80.64516
com.google.gson.internal.bind.TypeAdapters$30.create,100.0,66.66667,33.33333
com.google.gson.internal.bind.TypeAdapters$32.create,100.0,100.0,0.0
com.google.gson.JsonStreamParser.hasNext,100.0,100.0,0.0
com.google.gson.JsonObject.deepCopy,100.0,50.0,50.0
com.google.gson.internal.LinkedHashTreeMap.rebalance,70.37037,27.777779,42.59259
com.google.gson.internal.LinkedTreeMap.remove,50.0,50.0,0.0
com.google.gson.GsonBuilder.registerTypeHierarchyAdapter,91.66667,33.333336,58.333336
com.google.gson.internal.bind.TypeAdapters$11.read,100.0,100.0,0.0
com.google.gson.Gson$2.read,100.0,100.0,0.0
com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl.equals,75.0,75.0,0.0
com.google.gson.internal.bind.MapTypeAdapterFactory.getKeyAdapter,75.0,50.0,25.0
com.google.gson.internal.LinkedHashTreeMap.doubleCapacity,100.0,68.75,31.25
com.google.gson.internal.bind.TypeAdapters$25.read,100.0,100.0,0.0
com.google.gson.JsonPrimitive.getAsByte,50.0,50.0,0.0
com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl.equals,75.0,50.0,25.0
com.google.gson.internal.bind.ArrayTypeAdapter.write,100.0,50.0,50.0
com.google.gson.JsonObject.add,100.0,50.0,50.0
com.google.gson.Gson.getDelegateAdapter,90.0,60.000004,29.999996
com.google.gson.stream.JsonReader.endObject,100.0,50.0,50.0
com.google.gson.internal.Excluder.excludeField,96.875,93.75,3.125
com.google.gson.internal.LinkedHashTreeMap.keySet,50.0,50.0,0.0
com.google.gson.internal.bind.TypeAdapters$29.read,90.909096,36.363636,54.54546
com.google.gson.JsonPrimitive.getAsFloat,50.0,50.0,0.0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1.write,100.0,50.0,50.0
com.google.gson.internal.bind.TimeTypeAdapter$1.create,100.0,100.0,0.0
com.google.gson.internal.bind.TypeAdapters$23.read,75.0,75.0,0.0
com.google.gson.JsonPrimitive.getAsBigInteger,50.0,50.0,0.0
com.google.gson.internal.bind.TreeTypeAdapter$SingleTypeFactory.<init>,87.5,37.5,50.0
com.google.gson.stream.JsonReader.endArray,100.0,50.0,50.0
com.google.gson.GsonBuilder.addTypeAdaptersForDate,50.0,25.0,25.0
com.google.gson.internal.LinkedTreeMap.rotateRight,100.0,50.0,50.0
com.google.gson.internal.LinkedHashTreeMap.removeInternal,25.0,6.25,18.75
