class,missed_stmt,covered_stmt,total_stmts
com.google.gson.JsonObject,3,19,22
com.google.gson.reflect.TypeToken,28,56,84
com.google.gson.internal.bind.ObjectTypeAdapter,2,38,40
com.google.gson.JsonSerializer,0,0,0
com.google.gson.internal.bind.DateTypeAdapter,5,12,17
com.google.gson.internal.bind.JsonTreeWriter,14,63,77
com.google.gson.GsonBuilder,8,68,76
com.google.gson.TypeAdapter,3,24,27
com.google.gson.JsonDeserializationContext,0,0,0
com.google.gson.internal.LinkedHashTreeMap,76,264,340
com.google.gson.FieldNamingStrategy,0,0,0
com.google.gson.Gson,18,250,268
com.google.gson.internal.bind.SqlDateTypeAdapter,1,8,9
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,0,17,17
com.google.gson.internal.bind.TimeTypeAdapter,1,8,9
com.google.gson.ExclusionStrategy,0,0,0
com.google.gson.stream.JsonScope,0,0,0
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,1,19,20
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,3,97,100
com.google.gson.annotations.Expose,0,0,0
com.google.gson.annotations.SerializedName,0,0,0
com.google.gson.JsonArray,38,20,58
com.google.gson.internal.bind.JsonTreeReader,14,131,145
com.google.gson.LongSerializationPolicy,0,2,2
com.google.gson.internal.Excluder,2,85,87
com.google.gson.JsonIOException,3,0,3
com.google.gson.internal.bind.TypeAdapters,34,331,365
com.google.gson.annotations.Until,0,0,0
com.google.gson.internal.LinkedTreeMap,43,192,235
com.google.gson.TypeAdapterFactory,0,0,0
com.google.gson.internal.LazilyParsedNumber,6,14,20
com.google.gson.JsonParseException,1,2,3
com.google.gson.internal.$Gson$Types,39,170,209
com.google.gson.internal.ConstructorConstructor,7,65,72
com.google.gson.JsonParser,5,12,17
com.google.gson.internal.bind.util.ISO8601Utils,63,84,147
com.google.gson.stream.JsonReader,48,718,766
com.google.gson.FieldAttributes,2,9,11
com.google.gson.InstanceCreator,0,0,0
com.google.gson.JsonElement,20,16,36
com.google.gson.internal.bind.CollectionTypeAdapterFactory,0,29,29
com.google.gson.FieldNamingPolicy,1,26,27
com.google.gson.internal.bind.MapTypeAdapterFactory,6,81,87
com.google.gson.annotations.JsonAdapter,0,0,0
com.google.gson.internal.bind.TreeTypeAdapter,0,36,36
com.google.gson.DefaultDateTypeAdapter,7,24,31
com.google.gson.JsonSerializationContext,0,0,0
com.google.gson.internal.UnsafeAllocator,17,14,31
com.google.gson.JsonPrimitive,4,63,67
com.google.gson.stream.JsonWriter,6,179,185
com.google.gson.internal.$Gson$Preconditions,1,5,6
com.google.gson.internal.Streams,11,10,21
com.google.gson.JsonSyntaxException,1,2,3
com.google.gson.internal.Primitives,1,21,22
com.google.gson.stream.MalformedJsonException,3,1,4
com.google.gson.internal.bind.ArrayTypeAdapter,0,29,29
com.google.gson.annotations.Since,0,0,0
com.google.gson.stream.JsonToken,0,0,0
com.google.gson.internal.JsonReaderInternalAccess,0,0,0
com.google.gson.internal.ObjectConstructor,0,0,0
com.google.gson.JsonNull,0,3,3
com.google.gson.JsonDeserializer,0,0,0
com.google.gson.JsonStreamParser,6,11,17
