method,missed_stmt,covered_stmt,total_stmts
com.google.gson.internal.bind.util.ISO8601Utils.format,32,0,32
com.google.gson.internal.$Gson$Types.arrayOf,0,1,1
com.google.gson.FieldAttributes.get,1,0,1
com.google.gson.Gson.newJsonReader,0,3,3
com.google.gson.JsonObject.remove,0,1,1
com.google.gson.JsonPrimitive.getAsCharacter,0,1,1
com.google.gson.TypeAdapter.nullSafe,0,1,1
com.google.gson.internal.LinkedHashTreeMap.replaceInParent,0,10,10
com.google.gson.stream.JsonReader.nextBoolean,0,12,12
com.google.gson.JsonArray.deepCopy,0,4,4
com.google.gson.GsonBuilder.generateNonExecutableJson,0,2,2
com.google.gson.stream.JsonReader.readEscapeCharacter,1,39,40
com.google.gson.JsonSerializationContext.null,0,0,0
com.google.gson.JsonStreamParser.hasNext,2,3,5
com.google.gson.JsonObject.deepCopy,0,4,4
com.google.gson.GsonBuilder.setFieldNamingPolicy,0,2,2
com.google.gson.internal.LinkedHashTreeMap.rebalance,1,36,37
com.google.gson.ExclusionStrategy.null,0,0,0
com.google.gson.GsonBuilder.registerTypeHierarchyAdapter,0,6,6
com.google.gson.internal.bind.JsonTreeReader.nextLong,0,8,8
com.google.gson.internal.bind.JsonTreeReader.nextName,0,7,7
com.google.gson.Gson.<init>,0,55,55
com.google.gson.JsonStreamParser.remove,1,0,1
com.google.gson.JsonNull.hashCode,0,1,1
com.google.gson.internal.bind.MapTypeAdapterFactory.getKeyAdapter,0,1,1
com.google.gson.FieldAttributes.getAnnotation,0,1,1
com.google.gson.internal.bind.util.ISO8601Utils.indexOfNonDigit,1,3,4
com.google.gson.internal.bind.TypeAdapters.<init>,1,0,1
com.google.gson.internal.LinkedTreeMap.clear,2,5,7
com.google.gson.internal.$Gson$Types.subtypeOf,0,1,1
com.google.gson.GsonBuilder.<init>,0,0,0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.BoundField,0,3,3
com.google.gson.JsonObject.add,0,3,3
com.google.gson.Gson.getDelegateAdapter,1,11,12
com.google.gson.stream.JsonReader.endObject,0,9,9
com.google.gson.internal.Excluder.excludeField,1,20,21
com.google.gson.JsonElement.toString,1,6,7
com.google.gson.internal.bind.ObjectTypeAdapter.<init>,0,1,1
com.google.gson.JsonPrimitive.getAsFloat,0,1,1
com.google.gson.stream.JsonWriter.endArray,0,1,1
com.google.gson.internal.bind.JsonTreeWriter.flush,1,0,1
com.google.gson.internal.LinkedHashTreeMap.getValue,0,1,1
com.google.gson.JsonElement.isJsonNull,0,1,1
com.google.gson.TypeAdapter.toJson,1,6,7
com.google.gson.internal.LinkedTreeMap.contains,2,0,2
com.google.gson.internal.Streams.charAt,1,0,1
com.google.gson.JsonPrimitive.getAsBigInteger,0,1,1
com.google.gson.FieldAttributes.isSynthetic,0,1,1
com.google.gson.stream.JsonScope.null,0,0,0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.Adapter,0,2,2
com.google.gson.internal.LinkedTreeMap.first,2,4,6
com.google.gson.Gson.setDelegate,1,2,3
com.google.gson.GsonBuilder.addTypeAdaptersForDate,1,8,9
com.google.gson.internal.$Gson$Types.WildcardTypeImpl,5,7,12
com.google.gson.internal.LinkedHashTreeMap.writeReplace,1,0,1
com.google.gson.internal.LinkedTreeMap.LinkedTreeMapIterator,0,0,0
com.google.gson.internal.bind.JsonTreeWriter.write,1,0,1
com.google.gson.internal.Excluder.disableInnerClassSerialization,0,3,3
com.google.gson.internal.$Gson$Types.<init>,1,0,1
com.google.gson.internal.$Gson$Types.getActualTypeArguments,0,1,1
com.google.gson.internal.LinkedHashTreeMap.rotateLeft,0,12,12
com.google.gson.internal.LazilyParsedNumber.<init>,0,1,1
com.google.gson.reflect.TypeToken.equals,0,1,1
com.google.gson.annotations.JsonAdapter.null,0,0,0
com.google.gson.internal.$Gson$Types.getRawType,2,15,17
com.google.gson.internal.LinkedHashTreeMap.setValue,3,0,3
com.google.gson.internal.LinkedTreeMap.hasNext,0,1,1
com.google.gson.internal.LinkedTreeMap.last,6,0,6
com.google.gson.stream.JsonWriter.replaceTop,0,1,1
com.google.gson.internal.UnsafeAllocator.assertInstantiable,0,5,5
com.google.gson.internal.bind.TimeTypeAdapter.read,1,6,7
com.google.gson.internal.Excluder.delegate,0,2,2
com.google.gson.JsonDeserializer.null,0,0,0
com.google.gson.JsonObject.createJsonElement,0,1,1
com.google.gson.reflect.TypeToken.hashCode,0,1,1
com.google.gson.internal.bind.JsonTreeReader.hasNext,0,2,2
com.google.gson.internal.bind.JsonTreeReader.peek,2,28,30
com.google.gson.internal.bind.JsonTreeWriter.endArray,2,5,7
com.google.gson.stream.JsonWriter.flush,1,2,3
com.google.gson.internal.LinkedHashTreeMap.last,6,0,6
com.google.gson.JsonArray.getAsBigDecimal,3,0,3
com.google.gson.stream.JsonWriter.nullValue,0,8,8
com.google.gson.Gson.longAdapter,0,3,3
com.google.gson.internal.bind.SqlDateTypeAdapter.create,0,1,1
com.google.gson.stream.JsonWriter.setLenient,0,1,1
com.google.gson.internal.LinkedTreeMap.next,0,2,2
com.google.gson.internal.Primitives.add,0,2,2
com.google.gson.FieldAttributes.hasModifier,0,1,1
com.google.gson.LongSerializationPolicy.serialize,0,2,2
com.google.gson.internal.bind.DateTypeAdapter.write,0,5,5
com.google.gson.internal.UnsafeAllocator.create,0,7,7
com.google.gson.Gson.toJson,6,39,45
com.google.gson.internal.$Gson$Types.getGenericSupertype,2,16,18
com.google.gson.internal.Excluder.isStatic,0,1,1
com.google.gson.internal.bind.MapTypeAdapterFactory.read,0,26,26
com.google.gson.Gson.atomicLongArrayAdapter,0,1,1
com.google.gson.stream.JsonWriter.beginArray,0,2,2
com.google.gson.JsonPrimitive.getAsInt,0,1,1
com.google.gson.internal.bind.JsonTreeWriter.beginObject,0,4,4
com.google.gson.TypeAdapter.write,0,3,3
com.google.gson.JsonArray.getAsString,3,0,3
com.google.gson.JsonArray.getAsInt,3,0,3
com.google.gson.internal.bind.TimeTypeAdapter.create,0,1,1
com.google.gson.JsonArray.size,0,1,1
com.google.gson.internal.bind.TreeTypeAdapter.read,0,6,6
com.google.gson.JsonArray.getAsBigInteger,3,0,3
com.google.gson.internal.LinkedHashTreeMap.add,0,35,35
com.google.gson.internal.ObjectConstructor.null,0,0,0
com.google.gson.internal.bind.JsonTreeReader.endObject,0,5,5
com.google.gson.stream.JsonReader.close,0,4,4
com.google.gson.JsonNull.equals,0,1,1
com.google.gson.JsonObject.getAsJsonObject,1,0,1
com.google.gson.FieldNamingPolicy.translateName,0,5,5
com.google.gson.JsonElement.getAsBoolean,1,0,1
com.google.gson.internal.LinkedTreeMap.compare,1,0,1
com.google.gson.internal.bind.ObjectTypeAdapter.create,0,3,3
com.google.gson.stream.JsonWriter.<init>, line 169,0,1,1
com.google.gson.stream.JsonWriter.setSerializeNulls,0,1,1
com.google.gson.internal.$Gson$Types.hashCodeOrZero,0,1,1
com.google.gson.internal.bind.JsonTreeReader.locationString,0,1,1
com.google.gson.internal.Excluder.clone,1,2,3
com.google.gson.JsonPrimitive.equals,1,13,14
com.google.gson.internal.bind.JsonTreeReader.read,1,0,1
com.google.gson.internal.bind.JsonTreeWriter.beginArray,0,4,4
com.google.gson.stream.JsonWriter.getSerializeNulls,0,1,1
com.google.gson.internal.bind.TypeAdapters.read,25,220,245
com.google.gson.internal.LinkedTreeMap.removeInternal,6,30,36
com.google.gson.stream.JsonReader.nextLong,0,29,29
com.google.gson.internal.LinkedTreeMap.<init>,0,2,2
com.google.gson.internal.LinkedHashTreeMap.reset,0,10,10
com.google.gson.internal.$Gson$Types.getMapKeyAndValueTypes,0,7,7
com.google.gson.JsonElement.getAsLong,1,0,1
com.google.gson.internal.$Gson$Types.indexOf,1,3,4
com.google.gson.JsonArray.iterator,0,1,1
com.google.gson.JsonPrimitive.getAsBigDecimal,0,1,1
com.google.gson.internal.Excluder.isInnerClass,0,1,1
com.google.gson.internal.bind.MapTypeAdapterFactory.keyToString,6,6,12
com.google.gson.stream.JsonWriter.writeDeferredName,0,4,4
com.google.gson.stream.JsonReader.nextName,0,14,14
com.google.gson.internal.LinkedTreeMap.hashCode,0,1,1
com.google.gson.GsonBuilder.setDateFormat,4,5,9
com.google.gson.internal.LazilyParsedNumber.toString,0,1,1
com.google.gson.internal.LinkedHashTreeMap.next,0,13,13
com.google.gson.internal.bind.CollectionTypeAdapterFactory.read,0,10,10
com.google.gson.internal.Excluder.excludeFieldsWithoutExposeAnnotation,0,3,3
com.google.gson.GsonBuilder.setExclusionStrategies,3,0,3
com.google.gson.TypeAdapter.read,0,4,4
com.google.gson.internal.LinkedTreeMap.findByObject,0,3,3
com.google.gson.stream.JsonReader.isLiteral,6,15,21
com.google.gson.JsonArray.getAsBoolean,3,0,3
com.google.gson.JsonParseException.<init>,1,2,3
com.google.gson.FieldNamingPolicy.upperCaseFirstLetter,1,13,14
com.google.gson.internal.bind.TreeTypeAdapter.write,0,8,8
com.google.gson.internal.LinkedHashTreeMap.nextNode,2,5,7
com.google.gson.internal.LinkedTreeMap.getKey,0,1,1
com.google.gson.stream.JsonWriter.beforeValue,0,21,21
com.google.gson.internal.bind.JsonTreeReader.close,1,2,3
com.google.gson.internal.$Gson$Types.canonicalize,0,13,13
com.google.gson.internal.UnsafeAllocator.newInstance,17,2,19
com.google.gson.stream.JsonReader.locationString,0,3,3
com.google.gson.reflect.TypeToken.getRawType,0,1,1
com.google.gson.internal.LinkedTreeMap.replaceInParent,0,9,9
com.google.gson.JsonPrimitive.deepCopy,0,1,1
com.google.gson.internal.LinkedTreeMap.nextNode,2,5,7
com.google.gson.internal.Streams.subSequence,1,0,1
com.google.gson.internal.bind.util.ISO8601Utils.parseInt,3,14,17
com.google.gson.JsonArray.getAsLong,3,0,3
com.google.gson.JsonArray.getAsShort,3,0,3
com.google.gson.JsonPrimitive.getAsDouble,0,1,1
com.google.gson.JsonStreamParser.next,3,4,7
com.google.gson.internal.bind.JsonTreeReader.promoteNameToValue,0,5,5
com.google.gson.internal.LinkedTreeMap.writeReplace,0,1,1
com.google.gson.internal.bind.JsonTreeWriter.close,1,3,4
com.google.gson.JsonElement.getAsJsonPrimitive,1,2,3
com.google.gson.stream.JsonWriter.setIndent,2,3,5
com.google.gson.internal.Excluder.excludeClass,0,11,11
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.createBoundField,0,9,9
com.google.gson.internal.LinkedTreeMap.keySet,0,2,2
com.google.gson.JsonArray.remove,0,2,2
com.google.gson.internal.bind.JsonTreeReader.nextNull,0,4,4
com.google.gson.stream.JsonReader.hasNext,0,4,4
com.google.gson.internal.LinkedHashTreeMap.put,0,6,6
com.google.gson.internal.$Gson$Types.getSupertype,0,2,2
com.google.gson.internal.LazilyParsedNumber.equals,2,4,6
com.google.gson.internal.$Gson$Types.getGenericComponentType,0,1,1
com.google.gson.internal.$Gson$Types.toString,14,0,14
com.google.gson.GsonBuilder.excludeFieldsWithModifiers,0,2,2
com.google.gson.FieldNamingPolicy.modifyString,0,1,1
com.google.gson.internal.bind.MapTypeAdapterFactory.<init>,0,2,2
com.google.gson.stream.JsonReader.nextQuotedValue,0,26,26
com.google.gson.internal.$Gson$Types.equals,8,24,32
com.google.gson.JsonElement.getAsNumber,1,0,1
com.google.gson.internal.LinkedHashTreeMap.secondaryHash,0,2,2
com.google.gson.JsonPrimitive.getAsBoolean,0,3,3
com.google.gson.internal.bind.JsonTreeReader.push,9,2,11
com.google.gson.internal.bind.JsonTreeReader.nextInt,0,8,8
com.google.gson.JsonElement.isJsonPrimitive,0,1,1
com.google.gson.stream.JsonWriter.isLenient,0,1,1
com.google.gson.Gson.toJsonTree,0,6,6
com.google.gson.internal.LinkedTreeMap.toString,1,0,1
com.google.gson.internal.Streams.write,3,1,4
com.google.gson.JsonArray.getAsCharacter,3,0,3
com.google.gson.reflect.TypeToken.isAssignableFrom,20,30,50
com.google.gson.stream.JsonReader.nextDouble,0,24,24
com.google.gson.internal.bind.TreeTypeAdapter.newTypeHierarchyFactory,0,1,1
com.google.gson.internal.LinkedTreeMap.find,0,30,30
com.google.gson.stream.JsonWriter.endObject,0,1,1
com.google.gson.internal.bind.TreeTypeAdapter.<init>,0,5,5
com.google.gson.stream.JsonWriter.beginObject,0,2,2
com.google.gson.reflect.TypeToken.matches,0,1,1
com.google.gson.internal.bind.JsonTreeReader.expect,0,2,2
com.google.gson.JsonPrimitive.isPrimitiveOrString,1,6,7
com.google.gson.GsonBuilder.disableHtmlEscaping,0,2,2
com.google.gson.internal.LinkedHashTreeMap.hashCode,0,1,1
com.google.gson.internal.bind.ObjectTypeAdapter.write,0,9,9
com.google.gson.internal.LinkedHashTreeMap.get,0,2,2
com.google.gson.internal.bind.ArrayTypeAdapter.<init>,0,2,2
com.google.gson.GsonBuilder.addDeserializationExclusionStrategy,0,2,2
com.google.gson.internal.Primitives.<clinit>, line 44,0,13,13
com.google.gson.internal.LazilyParsedNumber.intValue,3,2,5
com.google.gson.internal.LinkedHashTreeMap.<init>,0,5,5
com.google.gson.internal.ConstructorConstructor.construct,6,50,56
com.google.gson.JsonElement.getAsByte,1,0,1
com.google.gson.JsonPrimitive.getAsShort,0,1,1
com.google.gson.stream.JsonWriter.beforeName,0,7,7
com.google.gson.internal.bind.TreeTypeAdapter.newFactoryWithMatchRawType,0,2,2
com.google.gson.internal.$Gson$Types.ParameterizedTypeImpl,0,11,11
com.google.gson.stream.JsonReader.checkLenient,0,2,2
com.google.gson.JsonArray.addAll,1,0,1
com.google.gson.TypeAdapter.fromJson,0,3,3
com.google.gson.stream.JsonReader.beginArray,0,8,8
com.google.gson.reflect.TypeToken.<init>,0,6,6
com.google.gson.internal.$Gson$Types.getUpperBounds,0,1,1
com.google.gson.stream.JsonReader.peekNumber,3,66,69
com.google.gson.internal.Excluder.create,0,6,6
com.google.gson.JsonSerializer.null,0,0,0
com.google.gson.stream.JsonReader.promoteNameToValue,2,11,13
com.google.gson.internal.LazilyParsedNumber.longValue,0,3,3
com.google.gson.internal.bind.JsonTreeReader.<init>,0,2,2
com.google.gson.internal.bind.CollectionTypeAdapterFactory.write,0,7,7
com.google.gson.internal.bind.JsonTreeReader.nextBoolean,0,5,5
com.google.gson.internal.$Gson$Types.typeToString,1,0,1
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.read,1,18,19
com.google.gson.JsonArray.add,1,6,7
com.google.gson.JsonPrimitive.getAsLong,0,1,1
com.google.gson.internal.bind.TreeTypeAdapter.delegate,0,2,2
com.google.gson.Gson.getAdapter,1,25,26
com.google.gson.JsonParser.parse,5,12,17
com.google.gson.internal.LinkedTreeMap.containsKey,0,1,1
com.google.gson.stream.JsonWriter.jsonValue,1,5,6
com.google.gson.FieldAttributes.getDeclaredType,0,1,1
com.google.gson.JsonElement.getAsBigInteger,1,0,1
com.google.gson.internal.LinkedHashTreeMap.entrySet,0,2,2
com.google.gson.internal.$Gson$Preconditions.checkArgument,0,2,2
com.google.gson.internal.LinkedHashTreeMap.equals,4,0,4
com.google.gson.internal.bind.CollectionTypeAdapterFactory.create,0,9,9
com.google.gson.internal.$Gson$Types.getCollectionElementType,0,6,6
com.google.gson.internal.$Gson$Types.equal,0,1,1
com.google.gson.internal.$Gson$Types.getArrayComponentType,0,1,1
com.google.gson.internal.bind.JsonTreeWriter.get,1,2,3
com.google.gson.stream.JsonReader.push,0,11,11
com.google.gson.DefaultDateTypeAdapter.serialize,0,3,3
com.google.gson.internal.LinkedHashTreeMap.compare,1,0,1
com.google.gson.stream.JsonWriter.string,0,23,23
com.google.gson.internal.bind.JsonTreeWriter.endObject,2,5,7
com.google.gson.internal.$Gson$Types.supertypeOf,1,0,1
com.google.gson.stream.JsonReader.skipValue,0,28,28
com.google.gson.JsonArray.getAsNumber,3,0,3
com.google.gson.JsonObject.getAsJsonArray,1,0,1
com.google.gson.Gson.atomicLongAdapter,0,1,1
com.google.gson.JsonElement.getAsFloat,1,0,1
com.google.gson.internal.Primitives.<init>,1,0,1
com.google.gson.FieldAttributes.getDeclaringClass,0,1,1
com.google.gson.internal.bind.JsonTreeReader.beginArray,0,4,4
com.google.gson.internal.bind.TreeTypeAdapter.serialize,0,2,2
com.google.gson.JsonSyntaxException.<init>,1,2,3
com.google.gson.internal.bind.JsonTreeWriter.value,4,20,24
com.google.gson.GsonBuilder.registerTypeAdapter,0,9,9
com.google.gson.JsonObject.equals,0,1,1
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory.getTypeAdapter,1,13,14
com.google.gson.JsonElement.getAsDouble,1,0,1
com.google.gson.internal.LinkedHashTreeMap.size,2,1,3
com.google.gson.stream.JsonReader.doPeek,1,101,102
com.google.gson.internal.bind.ArrayTypeAdapter.read,0,13,13
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.write,1,13,14
com.google.gson.GsonBuilder.registerTypeAdapterFactory,0,2,2
com.google.gson.internal.Primitives.isWrapperType,0,1,1
com.google.gson.JsonPrimitive.isNumber,0,1,1
com.google.gson.stream.JsonWriter.<init>,1,2,3
com.google.gson.stream.JsonReader.peekKeyword,1,27,28
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.<init>,0,4,4
com.google.gson.internal.bind.JsonTreeWriter.put,0,11,11
com.google.gson.internal.ConstructorConstructor.<init>,0,1,1
com.google.gson.internal.LinkedTreeMap.Node,0,9,9
com.google.gson.FieldAttributes.<init>,0,2,2
com.google.gson.internal.LazilyParsedNumber.writeReplace,0,1,1
com.google.gson.internal.LinkedHashTreeMap.clear,2,9,11
com.google.gson.internal.$Gson$Types.hashCode,0,3,3
com.google.gson.internal.LinkedHashTreeMap.removeInternalByKey,4,0,4
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.getBoundFields,0,26,26
com.google.gson.FieldAttributes.getAnnotations,1,0,1
com.google.gson.internal.bind.TypeAdapters.EnumTypeAdapter,2,9,11
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper.read,0,1,1
com.google.gson.internal.LinkedTreeMap.remove,9,6,15
com.google.gson.JsonNull.deepCopy,0,1,1
com.google.gson.stream.JsonReader.isLenient,0,1,1
com.google.gson.internal.bind.JsonTreeReader.endArray,0,5,5
com.google.gson.FieldNamingStrategy.null,0,0,0
com.google.gson.internal.LinkedHashTreeMap.rotateRight,1,11,12
com.google.gson.internal.bind.TreeTypeAdapter.SingleTypeFactory,0,6,6
com.google.gson.JsonElement.getAsShort,1,0,1
com.google.gson.JsonObject.has,0,1,1
com.google.gson.internal.LinkedHashTreeMap.doubleCapacity,0,28,28
com.google.gson.internal.LinkedTreeMap.put,0,6,6
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory.<init>,0,1,1
com.google.gson.JsonPrimitive.getAsByte,0,1,1
com.google.gson.JsonIOException.<init>,3,0,3
com.google.gson.internal.$Gson$Types.getLowerBounds,0,1,1
com.google.gson.annotations.Until.null,0,0,0
com.google.gson.DefaultDateTypeAdapter.<init>,0,6,6
com.google.gson.Gson.write,3,21,24
com.google.gson.internal.bind.ArrayTypeAdapter.write,0,8,8
com.google.gson.JsonPrimitive.isBoolean,0,1,1
com.google.gson.JsonStreamParser.<init>,0,4,4
com.google.gson.Gson.fieldNamingStrategy,0,1,1
com.google.gson.internal.bind.JsonTreeReader.nextDouble,0,10,10
com.google.gson.internal.LinkedHashTreeMap.keySet,0,2,2
com.google.gson.GsonBuilder.addSerializationExclusionStrategy,0,2,2
com.google.gson.GsonBuilder.disableInnerClassSerialization,0,2,2
com.google.gson.reflect.TypeToken.getParameterized,0,1,1
com.google.gson.stream.JsonWriter.peek,0,3,3
com.google.gson.internal.LinkedHashTreeMap.getKey,0,1,1
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.writeField,0,3,3
com.google.gson.reflect.TypeToken.buildUnexpectedTypeError,5,0,5
com.google.gson.internal.LinkedHashTreeMap.first,6,0,6
com.google.gson.JsonArray.set,0,1,1
com.google.gson.stream.JsonToken.null,0,0,0
com.google.gson.stream.JsonReader.endArray,0,8,8
com.google.gson.internal.LinkedHashTreeMap.hasNext,0,1,1
com.google.gson.internal.LinkedTreeMap.rotateRight,0,12,12
com.google.gson.internal.Streams.length,1,0,1
com.google.gson.JsonObject.size,0,1,1
com.google.gson.JsonObject.hashCode,0,1,1
com.google.gson.internal.LinkedHashTreeMap.removeInternal,23,14,37
com.google.gson.stream.JsonReader.fillBuffer,0,17,17
com.google.gson.JsonArray.equals,0,1,1
com.google.gson.internal.bind.util.ISO8601Utils.padInt,4,0,4
com.google.gson.internal.bind.ObjectTypeAdapter.read,2,25,27
com.google.gson.annotations.Since.null,0,0,0
com.google.gson.reflect.TypeToken.getArray,0,1,1
com.google.gson.GsonBuilder.setLenient,0,2,2
com.google.gson.JsonArray.getAsFloat,3,0,3
com.google.gson.JsonPrimitive.getAsBooleanWrapper,0,1,1
com.google.gson.JsonObject.getAsJsonPrimitive,1,0,1
com.google.gson.GsonBuilder.setLongSerializationPolicy,0,2,2
com.google.gson.internal.Excluder.withVersion,0,3,3
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.create,1,4,5
com.google.gson.internal.Excluder.read,0,4,4
com.google.gson.internal.bind.MapTypeAdapterFactory.write,0,32,32
com.google.gson.JsonPrimitive.setValue,0,5,5
