class,sc,omc_sc,cov_gap
com.google.gson.JsonParseException,66.66667,33.333336,33.333336
com.google.gson.JsonObject,86.36364,81.818184,4.545456
com.google.gson.reflect.TypeToken,66.66667,53.571426,13.095245
com.google.gson.internal.ConstructorConstructor,90.27778,38.88889,51.38889
com.google.gson.internal.bind.ObjectTypeAdapter,95.0,47.5,47.5
com.google.gson.JsonParser,70.588234,41.17647,29.411762
com.google.gson.internal.bind.DateTypeAdapter,70.588234,29.411766,41.176468
com.google.gson.GsonBuilder,89.47369,55.263157,34.21053
com.google.gson.stream.JsonReader,93.73368,57.049606,36.684074
com.google.gson.internal.bind.JsonTreeWriter,81.818184,41.55844,40.259743
com.google.gson.TypeAdapter,88.88889,37.037037,51.851856
com.google.gson.FieldAttributes,81.818184,72.72727,9.090912
com.google.gson.internal.bind.util.ISO8601Utils,57.14286,21.088434,36.05443
com.google.gson.JsonElement,44.444447,33.333336,11.111111
com.google.gson.internal.LinkedHashTreeMap,77.64706,57.64706,19.999996
com.google.gson.FieldNamingPolicy,96.296295,51.851852,44.444443
com.google.gson.internal.bind.CollectionTypeAdapterFactory,100.0,75.86207,24.137932
com.google.gson.internal.bind.MapTypeAdapterFactory,93.10345,45.977013,47.126434
com.google.gson.Gson,93.283585,52.238804,41.04478
com.google.gson.internal.bind.SqlDateTypeAdapter,88.88889,55.555557,33.333336
com.google.gson.internal.bind.TreeTypeAdapter,100.0,66.66667,33.33333
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper,100.0,100.0,0.0
com.google.gson.DefaultDateTypeAdapter,77.41935,58.064514,19.354836
com.google.gson.internal.UnsafeAllocator,45.16129,35.48387,9.677418
com.google.gson.JsonPrimitive,94.02985,77.61194,16.417908
com.google.gson.internal.bind.TimeTypeAdapter,88.88889,55.555557,33.333336
com.google.gson.stream.JsonWriter,96.75676,3.2432432,93.51352
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,95.0,85.0,10.0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,97.0,74.0,23.0
com.google.gson.internal.Streams,47.61905,14.285715,33.333336
com.google.gson.JsonSyntaxException,66.66667,33.333336,33.333336
com.google.gson.stream.MalformedJsonException,25.0,25.0,0.0
com.google.gson.internal.bind.ArrayTypeAdapter,100.0,82.75862,17.241379
com.google.gson.JsonArray,34.482758,24.13793,10.344828
com.google.gson.internal.bind.JsonTreeReader,90.344826,55.86207,34.482758
com.google.gson.LongSerializationPolicy,100.0,100.0,0.0
com.google.gson.internal.Excluder,97.70115,86.206894,11.494255
com.google.gson.JsonNull,100.0,33.333336,66.666664
com.google.gson.internal.bind.TypeAdapters,90.68493,50.136982,40.547947
com.google.gson.internal.LinkedTreeMap,81.702126,54.89362,26.808506
com.google.gson.JsonStreamParser,64.70589,35.294117,29.41177
com.google.gson.internal.LazilyParsedNumber,70.0,55.0,15.0
