method,sc,omc_sc,cov_gap
com.google.gson.FieldAttributes.<init>,100.0,50.0,50.0
com.google.gson.Gson.newJsonReader,100.0,66.66667,33.33333
com.google.gson.JsonObject.remove,100.0,100.0,0.0
com.google.gson.JsonPrimitive.getAsCharacter,100.0,100.0,0.0
com.google.gson.TypeAdapter.nullSafe,100.0,100.0,0.0
com.google.gson.internal.LinkedHashTreeMap.clear,81.818184,54.545456,27.272728
com.google.gson.internal.LinkedHashTreeMap.replaceInParent,100.0,90.0,10.0
com.google.gson.stream.JsonReader.nextBoolean,100.0,75.0,25.0
com.google.gson.JsonArray.deepCopy,100.0,100.0,0.0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.getBoundFields,100.0,69.230774,30.769226
com.google.gson.GsonBuilder.generateNonExecutableJson,100.0,50.0,50.0
com.google.gson.stream.JsonReader.readEscapeCharacter,97.5,10.0,87.5
com.google.gson.JsonStreamParser.hasNext,60.000004,20.0,40.000004
com.google.gson.JsonObject.deepCopy,100.0,100.0,0.0
com.google.gson.GsonBuilder.setFieldNamingPolicy,100.0,50.0,50.0
com.google.gson.internal.LinkedHashTreeMap.rebalance,97.2973,78.37838,18.918922
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper.read,100.0,100.0,0.0
com.google.gson.internal.LinkedTreeMap.remove,40.0,20.0,20.0
com.google.gson.JsonNull.deepCopy,100.0,100.0,0.0
com.google.gson.GsonBuilder.registerTypeHierarchyAdapter,100.0,83.33333,16.666672
com.google.gson.stream.JsonReader.isLenient,100.0,100.0,0.0
com.google.gson.internal.bind.JsonTreeReader.nextLong,100.0,50.0,50.0
com.google.gson.internal.bind.JsonTreeReader.endArray,100.0,40.0,60.0
com.google.gson.internal.bind.JsonTreeReader.nextName,100.0,71.42857,28.571426
com.google.gson.Gson.<init>,100.0,92.72727,7.272728
com.google.gson.internal.LinkedHashTreeMap.rotateRight,91.66667,50.0,41.66667
com.google.gson.internal.bind.MapTypeAdapterFactory.getKeyAdapter,100.0,100.0,0.0
com.google.gson.JsonObject.has,100.0,100.0,0.0
