class,obc(%),omc_obc(%),cov_gap(%)
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper,62.5,50.0,12.5
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,65.0,35.0,30.0
com.fasterxml.jackson.dataformat.xml.XmlMapper,83.33333,33.333336,49.999992
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer,35.714287,7.1428576,28.57143
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,48.333332,30.000002,18.33333
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,83.33333,50.0,33.33333
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,34.782608,28.260868,6.52174
com.fasterxml.jackson.dataformat.xml.util.TypeUtil,81.25,56.25,25.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,30.000002,30.000002,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,66.66667,33.333336,33.333336
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder,57.894737,15.789473,42.105263
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,86.84211,73.68421,13.157898
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,86.36364,68.181816,18.181824
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,68.181816,50.0,18.181816
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature,83.33333,16.666668,66.66666
com.fasterxml.jackson.dataformat.xml.XmlFactory,51.785713,41.07143,10.714283
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,94.44444,80.55556,13.8888855
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,50.0,33.333336,16.666664
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter,50.0,33.333336,16.666664
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,16.666668,16.666668,0.0
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,100.0,75.0,25.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,92.85714,57.14286,35.71428
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter,60.000004,33.333336,26.666668
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,56.37584,39.597313,16.778526
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,75.72816,47.572815,28.155342
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser$Feature,83.33333,66.66667,16.666656
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,86.36364,50.0,36.36364
