method,obc(%),omc_obc(%),cov_gap(%)
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeNull,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.XmlMapper.setDefaultUseWrapper,100.0,25.0,75.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeString,41.666664,37.5,4.166664
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText,75.0,75.0,0.0
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.sanitizeXmlTypeName,68.75,43.75,25.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._allWs,87.5,87.5,0.0
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.<init>,100.0,75.0,25.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._orderAttributesFirst,87.5,37.5,50.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeFieldsFiltered,40.625,28.125,12.5
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._skipUntilTag,75.0,25.0,50.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasXMLFormat,53.7037,53.7037,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeWithType,83.33333,66.66667,16.666656
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.flush,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._next,91.30435,56.521736,34.782616
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier._findSoleTextProp,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findNamespace,83.33333,66.66667,16.666656
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._handleEndElement,100.0,75.0,25.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.<init>,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCurrentName,50.0,33.333336,16.666664
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.close,60.000004,50.0,10.000004
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._asXmlGenerator,75.0,25.0,50.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.overrideFormatFeatures,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.validXmlNameStartChar,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlReader,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.checkNextIsUnwrapped,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeBoolean,50.0,37.5,12.5
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getText,57.14286,28.57143,28.57143
