method,missed_stmt,covered_stmt,total_stmts
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.setDefaultUseWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getEmbeddedObject,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.<init>,2,2,4
com.fasterxml.jackson.dataformat.xml.XmlMapper.setDefaultUseWrapper,0,5,5
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.newDelegatingInstance,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.isUnwrappingSerializer,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getFormatFeatures,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeString,21,16,37
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute,0,4,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.FixedSpaceIndenter,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.version,0,1,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText,0,4,4
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.sanitizeXmlTypeName,4,23,27
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRepeatedFieldName,2,0,2
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.toString,1,0,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setDefaultUseWrapper,0,1,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector._constructStdTypeResolverBuilder,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._orderAttributesFirst,3,12,15
com.fasterxml.jackson.dataformat.xml.XmlFactory._createXmlWriter,2,8,10
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._skipUntilTag,1,8,9
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.<init>,0,4,4
com.fasterxml.jackson.dataformat.xml.XmlFactory.version,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.copy,0,1,1
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlRootElement.null,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.flush,1,3,4
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeWithType,0,10,10
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLTextElementName,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getCurrentValue,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._getText,1,5,6
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.<init>,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier._findSoleTextProp,0,15,15
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isCData,0,1,1
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findNamespace,1,5,6
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation,0,10,10
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isAttribute,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.<init>,0,7,7
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._asXmlGenerator,1,4,5
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getText,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.findNamespace,5,0,5
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.overrideFormatFeatures,0,5,5
com.fasterxml.jackson.dataformat.xml.XmlFactory._initFactories,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.hasAttributes,1,0,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.Feature,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getText,4,10,14
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.getEmptyValue,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isEnabled,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.deserializeWithType,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.<init>,3,3,6
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.configure,4,0,4
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isCData,0,2,2
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.instance,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier.<init>,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._serializeObjectId,1,6,7
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.serialize,3,3,6
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._initWithRootName,2,7,9
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._collectUntilTag,6,17,23
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.indentArraysWith,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.serializeValue,8,34,42
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.NopIndenter,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.<init>,0,4,4
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNamespace,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsAttribute,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.<init>,0,6,6
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildObjectContext,0,6,6
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBinaryValue,2,5,7
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter.<init>,1,5,6
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.enable,3,0,3
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCurrentLocation,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.canWriteFormattedNumbers,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.unwrappingSerializer,1,0,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,1,7,8
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.newDelegatingInstance,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.version,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.withIgnorals,1,0,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve,5,6,11
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeFieldName,1,4,5
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.encodeXmlClassName,0,8,8
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextTextValue,40,31,71
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.inRoot,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.isOutputAsText,5,0,5
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getTokenLocation,0,1,1
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.throwXmlAsIOException,2,0,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.finishWrappedValue,1,5,6
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.getWrapperNamespace,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.readObject,0,3,3
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation,0,6,6
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputTarget,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getFormatFeatures,1,0,1
