class,sc,omc_sc,cov_gap
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper,59.090908,45.454548,13.63636
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,72.72727,34.090908,38.636364
com.fasterxml.jackson.dataformat.xml.XmlMapper,76.190475,47.61905,28.571426
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer,50.0,15.000001,35.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,54.88372,32.093025,22.790695
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,81.08108,64.86486,16.216217
com.fasterxml.jackson.dataformat.xml.util.TypeUtil,100.0,66.66667,33.33333
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,53.600002,44.0,9.600002
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,78.82353,57.64706,21.176472
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder,84.61539,25.641027,58.974358
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,83.33333,66.66667,16.666656
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,97.91667,87.5,10.416672
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,94.59459,81.08108,13.513512
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,77.84431,66.467064,11.377243
com.fasterxml.jackson.dataformat.xml.XmlFactory,68.51064,49.787235,18.723408
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector,18.918919,2.7027028,16.216215
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,100.0,71.42857,28.571426
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil,94.44444,86.11111,8.333336
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer,69.565216,39.130436,30.43478
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer,28.57143,19.047619,9.523811
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,47.457626,20.338982,27.118645
com.fasterxml.jackson.dataformat.xml.util.XmlInfo,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,100.0,91.30435,8.695648
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter,76.31579,71.05263,5.2631607
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,63.69048,40.17857,23.51191
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,85.56149,54.545456,31.016037
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector,96.49123,68.42105,28.070175
