method,sc,omc_sc,cov_gap
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.<init>,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlMapper.setDefaultUseWrapper,100.0,40.0,60.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeString,43.243244,35.135136,8.1081085
com.fasterxml.jackson.dataformat.xml.XmlMapper.version,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.sanitizeXmlTypeName,85.18519,55.555557,29.629631
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector._constructStdTypeResolverBuilder,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory._createXmlWriter,80.0,40.0,40.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._skipUntilTag,88.88889,33.333336,55.555557
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._orderAttributesFirst,80.0,60.000004,19.999996
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.<init>,100.0,25.0,75.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.version,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.copy,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._getText,83.33333,16.666668,66.66666
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeWithType,100.0,70.0,30.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.flush,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLTextElementName,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier._findSoleTextProp,100.0,86.666664,13.333336
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.<init>,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isCData,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findNamespace,83.33333,83.33333,0.0
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isAttribute,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.<init>,100.0,85.71429,14.285713
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._asXmlGenerator,80.0,40.0,40.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getText,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.overrideFormatFeatures,100.0,80.0,20.0
com.fasterxml.jackson.dataformat.xml.XmlFactory._initFactories,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData,100.0,75.0,25.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getText,71.42857,50.0,21.428574
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.<init>,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isCData,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier.<init>,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.instance,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._serializeObjectId,85.71429,85.71429,0.0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.serialize,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._initWithRootName,77.77778,55.555557,22.222221
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._collectUntilTag,73.91304,52.173912,21.739128
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.serializeValue,80.952385,57.14286,23.809525
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.<init>,100.0,75.0,25.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNamespace,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.<init>,100.0,66.66667,33.33333
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildObjectContext,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsAttribute,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBinaryValue,71.42857,28.57143,42.857143
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter.<init>,83.33333,66.66667,16.666656
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,87.5,87.5,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve,54.545456,27.272728,27.272728
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeFieldName,80.0,60.000004,19.999996
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextTextValue,43.661972,28.169016,15.492956
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.finishWrappedValue,83.33333,66.66667,16.666656
com.fasterxml.jackson.dataformat.xml.XmlFactory.readObject,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation,100.0,83.33333,16.666672
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getMask,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.skipAttributes,57.14286,42.857143,14.285717
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.isMatching,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.createInstance,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextName,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsUnwrapped,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.disable,50.0,25.0,25.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<init>,78.723404,70.21276,8.510643
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchesWrapper,80.0,60.000004,19.999996
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasFormat,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,100.0,42.857143,57.142857
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlWriter,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,87.5,75.0,12.5
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.initGenerator,92.30769,61.538464,30.76923
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRaw,37.5,12.5,25.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.serialize,75.0,75.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.copy,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeLeafElement,29.6875,28.125,1.5625
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.init,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getMask,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.util.TypeUtil.isIndexedType,100.0,66.66667,33.33333
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writePrologLinefeed,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.modifySerializer,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextToken,89.24731,59.139782,30.107525
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.<init>,25.0,12.5,12.5
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setXMLTextElementName,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.XmlFactory._decorate,40.0,40.0,0.0
