package,assertion_tested,exact_match,top_1,all_method_suggested
org.jfree.chart.urls,64,60,60,64
org.jfree.chart.util,46,39,39,46
org.jfree.chart.plot.dial,222,186,186,207
org.jfree.chart.panel,2,0,0,2
org.jfree.chart.plot,679,536,536,679
org.jfree.chart.renderer.xy,279,221,222,278
org.jfree.chart.labels,221,182,192,221
org.jfree.chart.renderer.category,289,220,237,288
org.jfree.chart.block,135,89,114,133
org.jfree.chart.imagemap,23,23,23,23
org.jfree.chart.title,132,103,125,132
org.jfree.chart.renderer,264,169,178,244
org.jfree.chart,158,113,113,158
org.jfree.chart.annotations,190,181,189,190
org.jfree.chart.entity,72,55,62,72
org.jfree.chart.axis,411,336,337,411
org.jfree.chart.needle,53,48,48,53
total:,3240,2561,2661,3201
