class,missed_branch, covered_branch, total_branch  
org.jfree.data.time.TimeTableXYDataset,24,12,36
org.jfree.chart.renderer.xy.XYShapeRenderer,36,24,60
org.jfree.chart.labels.StandardPieSectionLabelGenerator,1,5,6
org.jfree.chart.renderer.xy.VectorRenderer,44,4,48
org.jfree.chart.axis.CategoryTick,2,10,12
org.jfree.chart.MouseWheelHandler,14,0,14
org.jfree.chart.plot.ValueMarker,1,7,8
org.jfree.chart.labels.BubbleXYItemLabelGenerator,9,9,18
org.jfree.chart.encoders.SunJPEGEncoderAdapter,4,0,4
org.jfree.data.time.Minute,22,10,32
org.jfree.chart.renderer.xy.XYAreaRenderer,45,51,96
org.jfree.chart.axis.NumberTickUnitSource,16,46,62
org.jfree.chart.plot.dial.StandardDialRange,11,13,24
org.jfree.chart.urls.CustomPieURLGenerator,7,17,24
org.jfree.data.general.AbstractSeriesDataset,0,4,4
org.jfree.chart.LegendItemCollection,1,5,6
org.jfree.chart.annotations.XYShapeAnnotation,14,12,26
org.jfree.data.xy.DefaultTableXYDataset,21,53,74
org.jfree.chart.plot.dial.DialPointer$Pointer,3,7,10
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,62,30,92
org.jfree.chart.text.TextFragment,17,15,32
org.jfree.chart.labels.StandardCrosshairLabelGenerator,4,8,12
org.jfree.chart.util.RelativeDateFormat,8,32,40
org.jfree.chart.axis.AxisCollection,3,5,8
org.jfree.data.jdbc.JDBCXYDataset,52,0,52
org.jfree.chart.util.AttrStringUtils,92,0,92
org.jfree.chart.labels.ItemLabelPosition,3,9,12
org.jfree.data.general.DatasetUtils,150,406,556
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,39,29,68
org.jfree.chart.plot.dial.StandardDialScale,29,41,70
org.jfree.chart.StandardChartTheme,93,117,210
org.jfree.data.statistics.HistogramType,9,5,14
org.jfree.data.xy.DefaultXYDataset,10,24,34
org.jfree.chart.labels.ItemLabelAnchor,23,33,56
org.jfree.chart.title.ShortTextTitle,43,1,44
org.jfree.chart.plot.PiePlot3D,89,59,148
org.jfree.chart.util.PaintList,5,13,18
org.jfree.chart.editor.DefaultChartEditor,6,0,6
org.jfree.chart.labels.StandardXYToolTipGenerator,1,3,4
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,4,2,6
org.jfree.data.json.impl.JSONArray,16,0,16
org.jfree.chart.needle.LongNeedle,14,2,16
org.jfree.data.time.TimeSeriesCollection,22,50,72
org.jfree.chart.text.AttributedStringUtils,4,14,18
org.jfree.chart.axis.DateTick,2,4,6
org.jfree.data.xy.DefaultHighLowDataset,12,18,30
org.jfree.chart.entity.XYAnnotationEntity,8,0,8
org.jfree.chart.plot.dial.DialPlot,53,29,82
org.jfree.chart.renderer.xy.XYDifferenceRenderer,205,19,224
org.jfree.chart.text.TextBlock,20,28,48
org.jfree.chart.axis.Axis,61,103,164
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,36,40,76
org.jfree.chart.block.BlockBorder,6,10,16
org.jfree.chart.annotations.XYImageAnnotation,22,0,22
org.jfree.data.xy.WindDataItem,7,9,16
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,118,0,118
org.jfree.chart.needle.MeterNeedle,10,20,30
org.jfree.chart.imagemap.ImageMapUtils,12,22,34
org.jfree.data.statistics.Regression,50,12,62
org.jfree.chart.util.DirectionalGradientPaintTransformer,20,0,20
org.jfree.data.time.Second,32,10,42
org.jfree.data.xy.YIntervalDataItem,3,3,6
org.jfree.chart.ui.RectangleInsets,42,22,64
org.jfree.chart.needle.PlumNeedle,7,3,10
org.jfree.chart.ui.NumberCellRenderer,4,0,4
org.jfree.chart.labels.IntervalXYToolTipGenerator,32,0,32
org.jfree.chart.plot.DatasetRenderingOrder,4,6,10
org.jfree.chart.plot.CombinedRangeCategoryPlot,41,45,86
org.jfree.chart.block.FlowArrangement,30,34,64
org.jfree.chart.editor.DefaultLogAxisEditor,12,0,12
org.jfree.chart.labels.StandardCategoryToolTipGenerator,1,3,4
org.jfree.chart.title.CompositeTitle,4,6,10
org.jfree.data.xml.ValueHandler,8,0,8
org.jfree.chart.renderer.xy.XYAreaRenderer2,22,18,40
org.jfree.data.json.JSONUtils,20,0,20
org.jfree.chart.renderer.AreaRendererEndType,5,7,12
org.jfree.chart.plot.PieLabelLinkStyle,3,9,12
org.jfree.chart.util.HexNumberFormat,4,0,4
org.jfree.chart.ui.ApplicationFrame,2,0,2
org.jfree.chart.title.LegendGraphic,30,44,74
org.jfree.data.gantt.TaskSeries,2,10,12
org.jfree.chart.util.ShapeUtils,76,48,124
org.jfree.chart.needle.PointerNeedle,13,3,16
org.jfree.chart.renderer.category.WaterfallBarRenderer,41,21,62
org.jfree.chart.plot.dial.DialPointer,3,5,8
org.jfree.data.statistics.SimpleHistogramBin,11,39,50
org.jfree.chart.event.ChartChangeEventType,12,0,12
org.jfree.data.time.Millisecond,23,11,34
org.jfree.chart.axis.ExtendedCategoryAxis,14,8,22
org.jfree.chart.annotations.CategoryTextAnnotation,6,10,16
org.jfree.chart.annotations.AbstractAnnotation,4,4,8
org.jfree.chart.renderer.Outlier,16,6,22
org.jfree.chart.renderer.category.LineAndShapeRenderer,43,59,102
org.jfree.data.general.DefaultKeyedValueDataset,12,10,22
org.jfree.chart.plot.FastScatterPlot,37,65,102
org.jfree.chart.ChartPanel,358,52,410
org.jfree.data.KeyedValueComparator,7,21,28
org.jfree.chart.axis.TickUnits,5,5,10
org.jfree.chart.PolarChartPanel,24,0,24
org.jfree.chart.plot.dial.StandardDialFrame,2,12,14
org.jfree.chart.renderer.category.GanttRenderer,61,25,86
org.jfree.chart.renderer.category.StackedBarRenderer,77,7,84
org.jfree.chart.plot.SeriesRenderingOrder,4,6,10
org.jfree.chart.renderer.category.StackedAreaRenderer,57,7,64
org.jfree.chart.ChartTransferable,12,0,12
org.jfree.chart.util.XYCoordinateType,6,6,12
org.jfree.chart.util.ExportUtils,8,0,8
org.jfree.chart.ui.FontDisplayField,2,0,2
org.jfree.chart.block.BlockContainer,3,19,22
org.jfree.data.xy.DefaultWindDataset,12,18,30
org.jfree.chart.renderer.xy.StandardXYItemRenderer,74,66,140
org.jfree.chart.plot.Marker,7,35,42
org.jfree.chart.renderer.OutlierList,4,0,4
org.jfree.chart.renderer.category.CategoryItemRendererState,5,5,10
org.jfree.data.time.FixedMillisecond,11,5,16
org.jfree.chart.renderer.xy.CyclicXYItemRenderer$OverwriteDataSet,6,0,6
org.jfree.data.statistics.HistogramBin,10,10,20
org.jfree.chart.axis.ValueAxis,93,117,210
org.jfree.data.io.CSV,20,0,20
org.jfree.chart.needle.ShipNeedle,8,4,12
org.jfree.data.time.TimePeriodAnchor,4,8,12
org.jfree.data.gantt.Task,1,11,12
org.jfree.chart.plot.MultiplePiePlot,50,34,84
org.jfree.data.general.DefaultValueDataset,6,0,6
org.jfree.data.time.ohlc.OHLCSeries,1,3,4
org.jfree.data.xy.VectorSeriesCollection,5,7,12
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,139,89,228
org.jfree.data.xml.CategorySeriesHandler,8,0,8
org.jfree.chart.plot.CrosshairState,15,1,16
org.jfree.chart.urls.TimeSeriesURLGenerator,5,15,20
org.jfree.chart.plot.PieLabelRecord,7,19,26
org.jfree.chart.block.ColorBlock,1,5,6
org.jfree.data.DomainOrder,5,7,12
org.jfree.chart.axis.AxisState,8,0,8
org.jfree.chart.renderer.AbstractRenderer,127,177,304
org.jfree.chart.renderer.xy.XYStepRenderer,21,29,50
org.jfree.chart.plot.RingPlot,45,25,70
org.jfree.chart.renderer.xy.HighLowRenderer,53,15,68
org.jfree.chart.annotations.XYDataImageAnnotation,26,0,26
org.jfree.chart.ChartHints$Key,13,0,13
org.jfree.chart.renderer.DefaultPolarItemRenderer,89,29,118
org.jfree.chart.block.RectangleConstraint,6,22,28
org.jfree.chart.title.Title,9,19,28
org.jfree.data.jdbc.JDBCPieDataset,13,0,13
org.jfree.data.gantt.SlidingGanttCategoryDataset,32,12,44
org.jfree.chart.axis.DateTickMarkPosition,3,9,12
org.jfree.chart.block.LineBorder,13,9,22
org.jfree.chart.urls.StandardPieURLGenerator,3,11,14
org.jfree.chart.axis.QuarterDateFormat,4,6,10
org.jfree.data.DefaultKeyedValues2D,12,56,68
org.jfree.data.xy.DefaultOHLCDataset,10,8,18
org.jfree.chart.renderer.xy.GradientXYBarPainter,41,9,50
org.jfree.chart.block.BorderArrangement,30,96,126
org.jfree.chart.plot.CombinedDomainXYPlot,59,53,112
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,28,0,28
org.jfree.data.time.Day,5,9,14
org.jfree.chart.plot.Plot,88,92,180
org.jfree.chart.title.LegendItemBlockContainer,1,3,4
org.jfree.chart.text.TextUtils,55,69,124
org.jfree.chart.renderer.category.IntervalBarRenderer,15,15,30
org.jfree.chart.renderer.category.BarRenderer,140,78,218
org.jfree.data.json.impl.JSONObject,14,0,14
org.jfree.chart.servlet.ChartDeleter,4,0,4
org.jfree.chart.LegendItem,8,44,52
org.jfree.chart.renderer.xy.XYErrorRenderer,26,14,40
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,49,39,88
org.jfree.chart.ui.GradientPaintTransformType,5,9,14
org.jfree.chart.LegendRenderingOrder,10,0,10
org.jfree.chart.plot.PlotRenderingInfo,9,11,20
org.jfree.chart.renderer.xy.CandlestickRenderer,64,28,92
org.jfree.data.xy.AbstractXYZDataset,2,0,2
org.jfree.data.time.RegularTimePeriod,10,10,20
org.jfree.data.time.TimeSeries,42,150,192
