method,missed_branch,covered_branch,total_branch
org.jfree.data.statistics.HistogramType.<init>,0,0,0
org.jfree.chart.axis.LogAxis.refreshTicksHorizontal,13,5,18
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.addItemEntity,3,3,6
org.jfree.data.xml.PieDatasetHandler.startElement,6,0,6
org.jfree.data.function.NormalDistributionFunction2D.equals,2,4,6
org.jfree.chart.renderer.xy.XYSplineRenderer.getFillType,0,0,0
org.jfree.chart.plot.dial.AbstractDialLayer.<init>,0,0,0
org.jfree.chart.renderer.category.BarRenderer.setMaximumBarWidth,0,0,0
org.jfree.chart.event.ChartProgressEvent.setChart,0,0,0
org.jfree.chart.annotations.XYPointerAnnotation.setTipRadius,0,0,0
org.jfree.data.gantt.TaskSeriesCollection.getEndValue,1,7,8
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.updateCrosshairValues,2,2,4
org.jfree.chart.axis.LogarithmicAxis.valueToJava2D,4,2,6
org.jfree.chart.renderer.xy.XYErrorRenderer.drawItem,22,0,22
org.jfree.data.general.Series.clone,0,0,0
org.jfree.chart.block.RectangleConstraint.toUnconstrainedWidth,1,1,2
org.jfree.chart.plot.ThermometerPlot.draw,32,0,32
org.jfree.chart.StandardChartTheme.getDrawingSupplier,1,1,2
org.jfree.chart.StandardChartTheme.applyToAbstractRenderer,2,2,4
org.jfree.chart.date.SpreadsheetDate.equals,2,2,4
org.jfree.data.time.ohlc.OHLCSeries.getPeriod,0,0,0
org.jfree.chart.date.SerialDate.createInstance,0,0,0
org.jfree.chart.plot.CombinedRangeXYPlot.handleClick,4,0,4
org.jfree.chart.MouseWheelHandler.setZoomFactor,0,0,0
org.jfree.chart.plot.WaferMapPlot.getLegendItems,0,0,0
org.jfree.data.general.DatasetUtils.findMinimumRangeValue,17,9,26
org.jfree.chart.block.LabelBlock.setURLText,0,0,0
org.jfree.chart.plot.dial.StandardDialScale.getStartAngle,0,0,0
org.jfree.chart.axis.ValueAxis.setRangeWithMargins,0,0,0
org.jfree.data.ComparableObjectSeries.updateByIndex,0,0,0
org.jfree.chart.plot.Marker.getLabelOffsetType,0,0,0
org.jfree.data.time.DynamicTimeSeriesCollection.getOldestTime,0,0,0
org.jfree.chart.ui.FontChooserPanel.getSelectedName,0,0,0
org.jfree.chart.labels.IntervalCategoryToolTipGenerator.<init>,0,0,0
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator.equals,2,2,4
org.jfree.chart.encoders.SunJPEGEncoderAdapter.setEncodingAlpha,0,0,0
org.jfree.chart.renderer.category.BarRenderer.setDrawBarOutline,0,0,0
org.jfree.chart.ui.PaintSample.setPaint,0,0,0
org.jfree.data.time.TimePeriodValues.<init>,0,0,0
org.jfree.chart.plot.XYPlot.getIndexOf,1,3,4
org.jfree.chart.plot.SeriesRenderingOrder.<clinit>,0,0,0
org.jfree.chart.renderer.category.CategoryStepRenderer.drawLine,4,0,4
org.jfree.data.resources.DataPackageResources_fr.<init>,0,0,0
org.jfree.data.resources.DataPackageResources_ru.<clinit>,0,0,0
org.jfree.data.time.TimePeriodValue.setValue,0,0,0
org.jfree.data.xy.XYItemKey.getItemIndex,0,0,0
org.jfree.chart.title.LegendItemBlockContainer.getURLText,0,0,0
org.jfree.chart.renderer.xy.XYStepAreaRenderer.setShapesVisible,0,0,0
org.jfree.data.general.DatasetUtils.sampleFunction2D,0,0,0
org.jfree.chart.plot.CategoryPlot.zoom,2,0,2
org.jfree.chart.encoders.EncoderUtil.<init>,0,0,0
org.jfree.chart.axis.StandardTickUnitSource.<init>,0,0,0
org.jfree.data.time.TimeSeriesTableModel.isCellEditable,6,0,6
org.jfree.chart.renderer.xy.CyclicXYItemRenderer$OverwriteDataSet.removeChangeListener,0,0,0
org.jfree.data.category.DefaultIntervalCategoryDataset.getRowKeys,1,1,2
org.jfree.data.general.AbstractDataset.hasListener,0,0,0
org.jfree.chart.ChartRenderingInfo.clone,2,2,4
org.jfree.chart.renderer.category.GanttRenderer.setStartPercent,0,0,0
org.jfree.chart.renderer.xy.CyclicXYItemRenderer$OverwriteDataSet.addChangeListener,0,0,0
org.jfree.chart.plot.dial.DialPointer$Pointer.<init>,0,0,0
org.jfree.chart.labels.IntervalXYItemLabelGenerator.generateLabel,0,0,0
org.jfree.data.xml.PieDatasetHandler.endElement,2,0,2
org.jfree.chart.plot.CombinedDomainXYPlot.getPlotType,0,0,0
org.jfree.chart.title.LegendGraphic.setLineVisible,0,0,0
org.jfree.data.xy.XYBarDataset.getX,0,0,0
org.jfree.chart.editor.DefaultPolarPlotEditor.createPlotTabs,0,0,0
org.jfree.chart.labels.StandardXYItemLabelGenerator.<init>,0,0,0
org.jfree.chart.axis.DateAxis.java2DToValue,1,5,6
org.jfree.data.xy.XYDatasetTableModel.<init>,0,0,0
org.jfree.data.xml.ItemHandler.<init>,0,0,0
org.jfree.chart.plot.dial.StandardDialScale.getMinorTickCount,0,0,0
org.jfree.chart.plot.ValueMarker.<init>,0,0,0
org.jfree.data.time.TimePeriodValues.delete,0,2,2
org.jfree.chart.renderer.xy.VectorRenderer.<init>,0,0,0
org.jfree.data.time.RegularTimePeriod.getEnd,0,0,0
org.jfree.chart.renderer.OutlierList.setMultiple,0,0,0
org.jfree.chart.plot.CategoryPlot.setFixedRangeAxisSpace,0,2,2
org.jfree.chart.text.TextBox.getInteriorGap,0,0,0
org.jfree.chart.annotations.CategoryLineAnnotation.equals,2,14,16
org.jfree.chart.ChartPanel.setZoomAroundAnchor,0,0,0
org.jfree.chart.plot.dial.DialPointer.setRadius,0,0,0
org.jfree.data.xy.XYBarDataset.getY,0,0,0
org.jfree.chart.ui.HorizontalAlignment.<init>,0,0,0
org.jfree.chart.axis.DateAxis$DefaultTimeline.containsDomainValue,0,0,0
org.jfree.chart.renderer.xy.AbstractXYItemRenderer.annotationChanged,0,0,0
org.jfree.chart.renderer.category.GroupedStackedBarRenderer.equals,2,4,6
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer.drawVerticalItem,31,15,46
org.jfree.chart.ui.RectangleInsets.calculateTopInset,1,1,2
org.jfree.chart.plot.MultiplePiePlot.getPieChart,0,0,0
org.jfree.chart.axis.Axis.setMinorTickMarkInsideLength,0,0,0
org.jfree.chart.servlet.ServletUtilities.setTempFilePrefix,0,0,0
org.jfree.data.time.TimeSeriesDataItem.clone,0,0,0
org.jfree.data.time.Week.evaluateAsYear,0,0,0
org.jfree.chart.entity.PieSectionEntity.getSectionKey,0,0,0
org.jfree.chart.renderer.RendererState.getInfo,0,0,0
org.jfree.chart.renderer.xy.XYBlockRenderer.updateOffsets,13,5,18
