class,obc(%),omc_obc(%),cov_gap(%)
org.jfree.chart.renderer.xy.XYShapeRenderer,40.0,40.0,0.0
org.jfree.chart.renderer.xy.XYDotRenderer,47.058823,32.352943,14.705879
org.jfree.chart.labels.StandardPieSectionLabelGenerator,83.33333,83.33333,0.0
org.jfree.chart.renderer.xy.VectorRenderer,8.333334,8.333334,0.0
org.jfree.chart.labels.AbstractPieItemLabelGenerator,81.818184,59.090908,22.727276
org.jfree.chart.axis.CategoryTick,83.33333,83.33333,0.0
org.jfree.chart.plot.ValueMarker,87.5,75.0,12.5
org.jfree.chart.labels.BubbleXYItemLabelGenerator,50.0,44.444447,5.5555534
org.jfree.chart.renderer.xy.XYAreaRenderer,53.125,23.958332,29.166668
org.jfree.chart.needle.WindNeedle,33.333336,33.333336,0.0
org.jfree.chart.axis.NumberTickUnitSource,74.19355,22.580645,51.612907
org.jfree.chart.plot.dial.StandardDialRange,54.166668,45.833336,8.333332
org.jfree.chart.urls.CustomPieURLGenerator,70.83333,62.5,8.333328
org.jfree.chart.ui.StandardGradientPaintTransformer,44.444447,27.777779,16.666668
org.jfree.chart.axis.MarkerAxisBand,59.090908,59.090908,0.0
org.jfree.data.general.AbstractSeriesDataset,100.0,50.0,50.0
org.jfree.chart.annotations.XYShapeAnnotation,46.153847,46.153847,0.0
org.jfree.chart.LegendItemCollection,83.33333,83.33333,0.0
org.jfree.chart.axis.CategoryAxis,62.365593,23.11828,39.247314
org.jfree.data.xy.DefaultTableXYDataset,71.62162,1.3513514,70.27027
org.jfree.chart.plot.dial.DialPointer$Pointer,70.0,70.0,0.0
org.jfree.data.xy.AbstractIntervalXYDataset,75.0,25.0,50.0
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,32.608696,13.043478,19.565218
org.jfree.chart.entity.StandardEntityCollection,40.0,30.000002,9.999998
org.jfree.chart.util.RelativeDateFormat,80.0,62.5,17.5
org.jfree.chart.ui.RectangleEdge,55.263157,18.421053,36.842102
org.jfree.chart.axis.LogarithmicAxis,9.84252,6.692913,3.1496067
org.jfree.chart.plot.CompassPlot,34.285717,19.047619,15.238098
org.jfree.data.xy.AbstractXYDataset,75.0,50.0,25.0
org.jfree.chart.axis.AxisCollection,62.5,37.5,25.0
