method,obc(%),omc_obc(%),cov_gap(%)
org.jfree.chart.renderer.category.LineAndShapeRenderer.equals,95.454544,90.909096,4.5454483
org.jfree.chart.renderer.xy.XYShapeRenderer.equals,83.33333,83.33333,0.0
org.jfree.chart.plot.CategoryPlot.getRangeAxis,100.0,50.0,50.0
org.jfree.chart.renderer.DefaultPolarItemRenderer.equals,53.571426,53.571426,0.0
org.jfree.data.general.DatasetUtils.findRangeBounds,75.0,50.0,25.0
org.jfree.chart.axis.LogAxis.refreshTicksHorizontal,27.777779,5.555556,22.222223
org.jfree.chart.util.ObjectUtils.hashCode,100.0,50.0,50.0
org.jfree.data.Range.expandToInclude,66.66667,66.66667,0.0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.clone,62.5,12.5,50.0
org.jfree.chart.renderer.category.LevelRenderer.equals,75.0,75.0,0.0
org.jfree.chart.urls.CustomXYURLGenerator.getURLCount,100.0,50.0,50.0
org.jfree.chart.plot.CategoryMarker.equals,70.0,70.0,0.0
org.jfree.chart.axis.LogarithmicAxis.valueToJava2D,33.333336,33.333336,0.0
org.jfree.chart.block.RectangleConstraint.toUnconstrainedWidth,50.0,50.0,0.0
org.jfree.chart.axis.QuarterDateFormat.equals,75.0,75.0,0.0
org.jfree.chart.renderer.AbstractRenderer.setSeriesPaint,100.0,50.0,50.0
org.jfree.chart.util.CloneUtils.cloneMapValues,100.0,75.0,25.0
org.jfree.chart.axis.Axis.notifyListeners,75.0,50.0,25.0
org.jfree.chart.renderer.category.AreaRenderer.getLegendItem,50.0,25.0,25.0
org.jfree.chart.plot.CategoryPlot.rendererChanged,25.0,25.0,0.0
org.jfree.chart.urls.StandardPieURLGenerator.equals,90.0,90.0,0.0
org.jfree.chart.renderer.AbstractRenderer.clone,50.0,47.22222,2.7777786
org.jfree.chart.renderer.xy.StandardXYItemRenderer.setPlotDiscontinuous,50.0,50.0,0.0
org.jfree.data.xy.IntervalXYDelegate.getIntervalWidth,75.0,25.0,50.0
org.jfree.chart.renderer.category.StatisticalBarRenderer.equals,75.0,75.0,0.0
org.jfree.chart.util.SerialUtils.readStroke,66.66667,33.333336,33.333336
org.jfree.chart.StrokeMap.equals,100.0,100.0,0.0
org.jfree.chart.axis.ValueAxis.reserveSpace,68.75,50.0,18.75
org.jfree.chart.renderer.xy.XYStepRenderer.equals,66.66667,66.66667,0.0
org.jfree.chart.renderer.AbstractRenderer.notifyListeners,75.0,50.0,25.0
org.jfree.chart.renderer.category.GanttRenderer.equals,83.33333,83.33333,0.0
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.getLegendItem,58.333332,33.333336,24.999996
org.jfree.chart.plot.CategoryPlot.getDomainAxisEdge,50.0,50.0,0.0
org.jfree.chart.plot.XYPlot.getRendererForDataset,100.0,25.0,75.0
org.jfree.chart.labels.BubbleXYItemLabelGenerator.equals,80.0,80.0,0.0
org.jfree.chart.renderer.AbstractRenderer.setSeriesOutlinePaint,100.0,50.0,50.0
org.jfree.chart.plot.MultiplePiePlot.getLegendItems,58.333332,41.666664,16.666668
org.jfree.chart.StandardChartTheme.apply,66.66667,66.66667,0.0
org.jfree.chart.plot.ThermometerPlot.setValueFont,50.0,50.0,0.0
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.equals,80.0,80.0,0.0
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator.equals,50.0,50.0,0.0
org.jfree.chart.renderer.category.CategoryStepRenderer.getLegendItem,50.0,25.0,25.0
org.jfree.chart.imagemap.ImageMapUtils.javascriptEscape,100.0,25.0,75.0
org.jfree.chart.axis.DateTickUnit.equals,58.333332,58.333332,0.0
org.jfree.chart.axis.DateAxis.configure,50.0,50.0,0.0
org.jfree.chart.renderer.xy.XYShapeRenderer.clone,50.0,50.0,0.0
org.jfree.chart.JFreeChart.<init>,83.33333,33.333336,49.999992
org.jfree.chart.renderer.category.BarRenderer.equals,96.666664,93.333336,3.3333282
org.jfree.chart.plot.dial.StandardDialFrame.equals,91.66667,83.33333,8.3333435
org.jfree.chart.annotations.CategoryTextAnnotation.equals,83.33333,83.33333,0.0
org.jfree.chart.plot.XYPlot.getIndexOf,75.0,50.0,25.0
org.jfree.chart.plot.CompassPlot.setLabelType,50.0,16.666668,33.333332
org.jfree.chart.labels.StandardXYToolTipGenerator.equals,75.0,50.0,25.0
org.jfree.chart.renderer.LookupPaintScale.getPaint,94.44444,83.33333,11.1111145
org.jfree.chart.axis.AxisSpace.shrink,50.0,50.0,0.0
org.jfree.chart.urls.CustomCategoryURLGenerator.equals,61.11111,55.555557,5.5555534
