class,missed_stmt,covered_stmt,total_stmts
org.jfree.data.time.TimeTableXYDataset,52,39,91
org.jfree.chart.renderer.xy.XYShapeRenderer,64,65,129
org.jfree.chart.labels.StandardPieSectionLabelGenerator,5,17,22
org.jfree.chart.renderer.xy.VectorRenderer,113,7,120
org.jfree.chart.axis.CategoryTick,2,22,24
org.jfree.chart.MouseWheelHandler,29,3,32
org.jfree.chart.plot.ValueMarker,2,16,18
org.jfree.chart.labels.BubbleXYItemLabelGenerator,22,28,50
org.jfree.chart.editor.ChartEditorManager,4,0,4
org.jfree.data.resources.DataPackageResources,0,1,1
org.jfree.chart.encoders.SunJPEGEncoderAdapter,21,0,21
org.jfree.data.time.Minute,31,67,98
org.jfree.chart.renderer.xy.XYAreaRenderer,63,148,211
org.jfree.data.general.ValueDataset,0,0,0
org.jfree.chart.axis.NumberTickUnitSource,13,71,84
org.jfree.chart.plot.dial.StandardDialRange,38,46,84
org.jfree.chart.urls.CustomPieURLGenerator,5,40,45
org.jfree.data.general.AbstractSeriesDataset,0,7,7
org.jfree.chart.LegendItemCollection,2,15,17
org.jfree.chart.annotations.XYShapeAnnotation,38,37,75
org.jfree.data.xy.DefaultTableXYDataset,27,122,149
org.jfree.chart.ui.PaintSample,18,0,18
org.jfree.data.RangeInfo,0,0,0
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,115,111,226
org.jfree.chart.text.TextFragment,15,44,59
org.jfree.chart.labels.StandardCrosshairLabelGenerator,9,15,24
org.jfree.chart.util.RelativeDateFormat,14,102,116
org.jfree.chart.renderer.category.BarPainter,0,0,0
org.jfree.chart.axis.AxisCollection,2,16,18
org.jfree.chart.util.AttrStringUtils,80,2,82
org.jfree.data.jdbc.JDBCXYDataset,139,0,139
org.jfree.chart.labels.ItemLabelPosition,7,20,27
org.jfree.data.general.DatasetUtils,174,684,858
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,20,83,103
org.jfree.chart.plot.dial.StandardDialScale,85,124,209
org.jfree.chart.StandardChartTheme,185,323,508
org.jfree.data.statistics.HistogramType,11,9,20
org.jfree.data.xy.DefaultXYDataset,18,56,74
org.jfree.chart.labels.ItemLabelAnchor,22,40,62
org.jfree.chart.util.PaintList,5,26,31
org.jfree.chart.title.ShortTextTitle,57,1,58
org.jfree.chart.plot.PiePlot3D,186,229,415
org.jfree.chart.labels.StandardXYToolTipGenerator,3,10,13
org.jfree.chart.editor.DefaultChartEditor,79,0,79
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,16,5,21
org.jfree.chart.ChartMouseEvent,7,0,7
org.jfree.data.json.impl.JSONArray,36,0,36
org.jfree.chart.labels.XYZToolTipGenerator,0,0,0
org.jfree.chart.axis.Timeline,0,0,0
org.jfree.chart.needle.LongNeedle,49,6,55
org.jfree.data.json.impl.JSONAware,0,0,0
org.jfree.data.time.TimeSeriesCollection,33,140,173
org.jfree.chart.text.AttributedStringUtils,2,23,25
org.jfree.chart.axis.DateTick,3,11,14
org.jfree.data.xy.DefaultHighLowDataset,38,31,69
org.jfree.chart.entity.XYAnnotationEntity,14,0,14
org.jfree.data.time.TimePeriodFormatException,0,1,1
org.jfree.chart.plot.dial.DialPlot,117,91,208
org.jfree.chart.renderer.xy.XYDifferenceRenderer,362,70,432
org.jfree.chart.text.TextBlock,9,57,66
org.jfree.chart.axis.Axis,90,299,389
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,33,93,126
org.jfree.chart.block.BlockBorder,13,33,46
org.jfree.chart.annotations.XYImageAnnotation,58,0,58
org.jfree.chart.util.UnitType,1,1,2
org.jfree.chart.annotations.XYAnnotation,0,0,0
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,123,0,123
org.jfree.chart.imagemap.ImageMapUtils,24,32,56
org.jfree.chart.needle.MeterNeedle,34,43,77
org.jfree.data.statistics.Regression,80,92,172
org.jfree.chart.util.ShadowGenerator,0,0,0
org.jfree.chart.util.DirectionalGradientPaintTransformer,26,0,26
org.jfree.data.time.Second,45,54,99
org.jfree.data.xy.YIntervalDataItem,3,11,14
org.jfree.data.xy.XIntervalSeries,0,13,13
org.jfree.chart.ui.RectangleInsets,66,71,137
org.jfree.chart.needle.PlumNeedle,17,5,22
org.jfree.chart.ui.NumberCellRenderer,11,0,11
org.jfree.chart.labels.IntervalXYToolTipGenerator,55,0,55
org.jfree.chart.plot.DatasetRenderingOrder,5,11,16
org.jfree.chart.event.RendererChangeListener,0,0,0
org.jfree.chart.block.FlowArrangement,34,78,112
org.jfree.data.xy.XYIntervalSeries,0,17,17
org.jfree.data.KeyedValues,0,0,0
org.jfree.chart.plot.CombinedRangeCategoryPlot,45,129,174
org.jfree.chart.editor.DefaultLogAxisEditor,36,0,36
org.jfree.chart.labels.StandardCategoryToolTipGenerator,2,7,9
org.jfree.chart.title.CompositeTitle,16,20,36
org.jfree.chart.event.TitleChangeListener,0,0,0
org.jfree.chart.text.TextMeasurer,0,0,0
org.jfree.data.xml.ValueHandler,20,0,20
org.jfree.chart.encoders.ImageFormat,0,0,0
org.jfree.chart.renderer.xy.XYAreaRenderer2,32,92,124
org.jfree.chart.LegendItemSource,0,0,0
org.jfree.data.json.JSONUtils,61,0,61
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,0,2,2
org.jfree.chart.renderer.PolarItemRenderer,0,0,0
org.jfree.data.xy.XYZDataset,0,0,0
org.jfree.chart.renderer.AreaRendererEndType,4,14,18
org.jfree.chart.event.OverlayChangeListener,0,0,0
org.jfree.chart.util.HexNumberFormat,15,0,15
org.jfree.chart.plot.PieLabelLinkStyle,3,16,19
org.jfree.data.statistics.MultiValueCategoryDataset,0,0,0
org.jfree.data.general.DatasetChangeListener,0,0,0
org.jfree.chart.ui.ApplicationFrame,5,0,5
org.jfree.chart.title.LegendGraphic,30,124,154
org.jfree.data.gantt.TaskSeries,6,27,33
org.jfree.data.xy.YIntervalSeries,0,13,13
org.jfree.chart.date.MonthConstants,0,0,0
org.jfree.chart.event.TitleChangeEvent,1,2,3
org.jfree.chart.util.ShapeUtils,126,62,188
org.jfree.data.resources.DataPackageResources_fr,1,0,1
org.jfree.chart.needle.PointerNeedle,35,5,40
org.jfree.chart.renderer.category.WaterfallBarRenderer,69,67,136
org.jfree.chart.plot.dial.DialPointer,73,67,140
org.jfree.chart.block.EmptyBlock,4,5,9
org.jfree.data.statistics.SimpleHistogramBin,9,50,59
org.jfree.chart.event.ChartChangeEventType,17,1,18
org.jfree.data.time.Millisecond,31,54,85
org.jfree.chart.axis.ExtendedCategoryAxis,15,28,43
org.jfree.data.xy.YisSymbolic,0,0,0
org.jfree.data.resources.DataPackageResources_es,1,0,1
org.jfree.chart.renderer.category.CategoryItemRenderer,0,0,0
org.jfree.chart.annotations.AbstractAnnotation,6,15,21
org.jfree.chart.annotations.CategoryTextAnnotation,19,35,54
org.jfree.chart.renderer.Outlier,12,16,28
org.jfree.chart.renderer.category.LineAndShapeRenderer,31,158,189
org.jfree.data.general.DefaultKeyedValueDataset,8,25,33
org.jfree.data.general.SeriesChangeEvent,0,1,1
org.jfree.chart.ChartPanel,612,267,879
org.jfree.chart.labels.CategoryItemLabelGenerator,0,0,0
org.jfree.data.KeyedValueComparator,9,34,43
org.jfree.chart.plot.FastScatterPlot,54,190,244
org.jfree.chart.axis.TickUnits,10,17,27
org.jfree.chart.PolarChartPanel,58,0,58
org.jfree.chart.imagemap.URLTagFragmentGenerator,0,0,0
org.jfree.data.ItemKey,0,0,0
org.jfree.chart.plot.dial.StandardDialFrame,21,45,66
org.jfree.chart.renderer.category.GanttRenderer,91,85,176
org.jfree.chart.renderer.category.StackedBarRenderer,82,21,103
org.jfree.chart.plot.SeriesRenderingOrder,5,11,16
org.jfree.chart.block.EntityBlockResult,0,0,0
org.jfree.chart.event.AnnotationChangeEvent,1,3,4
org.jfree.chart.renderer.category.StackedAreaRenderer,145,15,160
org.jfree.chart.urls.StandardXYZURLGenerator,1,0,1
org.jfree.chart.ChartTransferable,46,0,46
org.jfree.chart.util.ExportUtils,67,0,67
org.jfree.chart.util.XYCoordinateType,6,11,17
org.jfree.chart.ui.FontDisplayField,9,0,9
org.jfree.data.json.impl.JSONStreamAware,0,0,0
org.jfree.chart.axis.NumberTick,1,4,5
org.jfree.chart.block.BlockContainer,4,53,57
org.jfree.data.xy.DefaultWindDataset,33,54,87
org.jfree.chart.renderer.xy.StandardXYItemRenderer,75,152,227
org.jfree.chart.plot.Marker,7,114,121
org.jfree.chart.ChartMouseListener,0,0,0
org.jfree.data.xy.IntervalXYZDataset,0,0,0
org.jfree.chart.renderer.OutlierList,20,0,20
org.jfree.chart.renderer.category.CategoryItemRendererState,9,17,26
org.jfree.data.time.FixedMillisecond,23,17,40
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,0,0,0
org.jfree.data.statistics.HistogramBin,5,17,22
org.jfree.chart.axis.ValueAxis,119,295,414
org.jfree.data.io.CSV,48,0,48
org.jfree.chart.needle.ShipNeedle,15,5,20
org.jfree.data.Value,0,0,0
org.jfree.data.time.TimePeriodAnchor,5,13,18
org.jfree.data.gantt.Task,1,34,35
org.jfree.chart.plot.MultiplePiePlot,83,107,190
org.jfree.chart.block.BlockFrame,0,0,0
org.jfree.data.general.DefaultValueDataset,9,5,14
org.jfree.data.time.ohlc.OHLCSeries,3,9,12
