method,missed_stmt,covered_stmt,total_stmts
org.jfree.data.statistics.HistogramType.<init>,0,1,1
org.jfree.chart.axis.LogAxis.refreshTicksHorizontal,10,18,28
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.addItemEntity,3,10,13
org.jfree.data.function.NormalDistributionFunction2D.equals,2,6,8
org.jfree.data.xml.PieDatasetHandler.startElement,9,0,9
org.jfree.chart.renderer.xy.XYSplineRenderer.getFillType,1,0,1
org.jfree.chart.plot.dial.AbstractDialLayer.<init>,0,2,2
org.jfree.chart.renderer.category.BarRenderer.setMaximumBarWidth,0,2,2
org.jfree.chart.annotations.XYPointerAnnotation.setTipRadius,0,2,2
org.jfree.chart.event.ChartProgressEvent.setChart,1,0,1
org.jfree.data.gantt.TaskSeriesCollection.getEndValue,0,25,25
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.updateCrosshairValues,1,4,5
org.jfree.chart.axis.LogarithmicAxis.valueToJava2D,4,11,15
org.jfree.chart.renderer.xy.XYErrorRenderer.drawItem,60,0,60
org.jfree.chart.block.RectangleConstraint.toUnconstrainedWidth,1,2,3
org.jfree.data.general.Series.clone,0,5,5
org.jfree.chart.plot.ThermometerPlot.draw,116,0,116
org.jfree.chart.StandardChartTheme.getDrawingSupplier,1,6,7
org.jfree.chart.StandardChartTheme.applyToAbstractRenderer,0,4,4
org.jfree.chart.date.SpreadsheetDate.equals,1,3,4
org.jfree.data.time.ohlc.OHLCSeries.getPeriod,0,2,2
org.jfree.chart.date.SerialDate.createInstance,3,2,5
org.jfree.chart.plot.CombinedRangeXYPlot.handleClick,6,0,6
org.jfree.chart.MouseWheelHandler.setZoomFactor,1,0,1
org.jfree.chart.plot.WaferMapPlot.getLegendItems,1,0,1
org.jfree.chart.block.LabelBlock.setURLText,0,1,1
org.jfree.data.general.DatasetUtils.findMinimumRangeValue,23,18,41
org.jfree.chart.plot.dial.StandardDialScale.getStartAngle,1,0,1
org.jfree.chart.axis.ValueAxis.setRangeWithMargins,4,0,4
org.jfree.data.ComparableObjectSeries.updateByIndex,3,0,3
org.jfree.chart.plot.Marker.getLabelOffsetType,0,1,1
org.jfree.data.time.DynamicTimeSeriesCollection.getOldestTime,1,0,1
org.jfree.chart.ui.FontChooserPanel.getSelectedName,1,0,1
org.jfree.chart.labels.IntervalCategoryToolTipGenerator.<init>,0,3,3
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator.equals,2,3,5
org.jfree.chart.encoders.SunJPEGEncoderAdapter.setEncodingAlpha,0,0,0
org.jfree.chart.renderer.category.BarRenderer.setDrawBarOutline,0,2,2
org.jfree.chart.ui.PaintSample.setPaint,2,0,2
org.jfree.data.time.TimePeriodValues.<init>,0,5,5
org.jfree.chart.plot.XYPlot.getIndexOf,1,3,4
org.jfree.chart.renderer.category.CategoryStepRenderer.drawLine,6,0,6
org.jfree.data.time.TimePeriodValue.setValue,0,1,1
org.jfree.data.xy.XYItemKey.getItemIndex,1,0,1
org.jfree.chart.title.LegendItemBlockContainer.getURLText,0,1,1
org.jfree.chart.renderer.xy.XYStepAreaRenderer.setShapesVisible,0,2,2
org.jfree.data.general.DatasetUtils.sampleFunction2D,0,3,3
org.jfree.chart.plot.CategoryPlot.zoom,5,0,5
org.jfree.chart.axis.StandardTickUnitSource.<init>,0,1,1
org.jfree.data.time.TimeSeriesTableModel.isCellEditable,5,0,5
org.jfree.data.category.DefaultIntervalCategoryDataset.getRowKeys,1,2,3
org.jfree.chart.labels.XYToolTipGenerator.null,0,0,0
org.jfree.chart.ChartRenderingInfo.clone,0,7,7
org.jfree.data.general.AbstractDataset.hasListener,0,2,2
org.jfree.chart.renderer.category.GanttRenderer.setStartPercent,0,2,2
org.jfree.chart.labels.IntervalXYItemLabelGenerator.generateLabel,1,0,1
org.jfree.data.xml.PieDatasetHandler.endElement,3,0,3
org.jfree.chart.plot.CombinedDomainXYPlot.getPlotType,1,0,1
org.jfree.chart.title.LegendGraphic.setLineVisible,0,1,1
org.jfree.data.xy.XYBarDataset.getX,1,0,1
org.jfree.chart.labels.StandardXYItemLabelGenerator.<init>,2,4,6
org.jfree.chart.editor.DefaultPolarPlotEditor.createPlotTabs,4,0,4
org.jfree.chart.axis.DateAxis.java2DToValue,0,16,16
org.jfree.data.xy.XYDatasetTableModel.<init>,4,0,4
org.jfree.data.xml.ItemHandler.<init>,4,0,4
org.jfree.chart.plot.dial.StandardDialScale.getMinorTickCount,1,0,1
org.jfree.chart.plot.ValueMarker.<init>,1,4,5
org.jfree.data.time.TimePeriodValues.delete,0,4,4
org.jfree.chart.renderer.xy.VectorRenderer.<init>,0,0,0
org.jfree.data.time.RegularTimePeriod.getEnd,0,1,1
org.jfree.chart.renderer.OutlierList.setMultiple,1,0,1
org.jfree.chart.plot.CategoryPlot.setFixedRangeAxisSpace,0,4,4
org.jfree.chart.annotations.CategoryLineAnnotation.equals,2,16,18
org.jfree.chart.text.TextBox.getInteriorGap,1,0,1
org.jfree.chart.ChartPanel.setZoomAroundAnchor,1,0,1
org.jfree.chart.plot.dial.DialPointer.setRadius,2,0,2
org.jfree.data.xy.XYBarDataset.getY,1,0,1
org.jfree.chart.ui.HorizontalAlignment.<init>,0,1,1
org.jfree.chart.renderer.xy.AbstractXYItemRenderer.annotationChanged,1,0,1
org.jfree.chart.renderer.category.GroupedStackedBarRenderer.equals,2,6,8
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer.drawVerticalItem,35,63,98
org.jfree.chart.ui.RectangleInsets.calculateTopInset,1,3,4
org.jfree.chart.plot.MultiplePiePlot.getPieChart,0,1,1
org.jfree.chart.axis.Axis.setMinorTickMarkInsideLength,0,2,2
org.jfree.chart.servlet.ServletUtilities.setTempFilePrefix,2,0,2
org.jfree.data.time.TimeSeriesDataItem.clone,1,4,5
org.jfree.data.time.Week.evaluateAsYear,4,0,4
org.jfree.chart.entity.PieSectionEntity.getSectionKey,1,0,1
org.jfree.chart.renderer.RendererState.getInfo,0,1,1
org.jfree.chart.renderer.xy.XYBlockRenderer.updateOffsets,20,7,27
org.jfree.chart.entity.XYItemEntity.setSeriesIndex,0,1,1
org.jfree.chart.axis.PeriodAxis.getMinorTickMarkInsideLength,1,0,1
org.jfree.chart.block.LabelBlock.readObject,0,2,2
org.jfree.chart.plot.dial.ArcDialFrame.draw,11,0,11
org.jfree.chart.plot.dial.StandardDialScale.clone,0,1,1
org.jfree.data.xy.XYSeries.update,0,4,4
org.jfree.chart.event.OverlayChangeEvent.<init>,0,1,1
org.jfree.chart.plot.CrosshairState.getAnchorX,1,0,1
org.jfree.chart.ui.RectangleEdge.toString,1,0,1
org.jfree.chart.axis.CategoryAxis.removeCategoryLabelURL,3,0,3
org.jfree.chart.text.TextBox.getShadowXOffset,1,0,1
org.jfree.chart.plot.CrosshairState.getAnchorY,1,0,1
org.jfree.chart.ChartPanel.createSVGGraphics2D,8,3,11
org.jfree.chart.plot.PiePlot.getSimpleLabelOffset,1,0,1
org.jfree.chart.axis.SymbolAxis.getGridBandAlternatePaint,1,0,1
org.jfree.data.xy.DefaultOHLCDataset.getVolume,1,0,1
org.jfree.chart.renderer.xy.StandardXYItemRenderer.getImageHotspot,3,0,3
org.jfree.chart.annotations.XYPointerAnnotation.setArrowPaint,0,3,3
org.jfree.chart.axis.CategoryAxis.getLowerMargin,0,1,1
org.jfree.data.time.ohlc.OHLCSeriesCollection.getSeriesCount,0,1,1
org.jfree.chart.plot.XYPlot.setRangeGridlineStroke,0,3,3
org.jfree.chart.plot.XYPlot.getFixedRangeAxisSpace,0,1,1
org.jfree.chart.text.TextUtils.getUseFontMetricsGetStringBounds,1,0,1
org.jfree.chart.needle.WindNeedle.drawNeedle,9,0,9
org.jfree.chart.plot.PolarPlot.getFixedLegendItems,1,0,1
org.jfree.chart.axis.DateAxis.setRange,3,8,11
org.jfree.chart.plot.CategoryPlot.setDatasetRenderingOrder,0,3,3
org.jfree.chart.annotations.TextAnnotation.getText,0,1,1
org.jfree.chart.axis.NumberAxis.<init>,0,8,8
org.jfree.chart.renderer.xy.XYErrorRenderer.setDrawXError,0,3,3
org.jfree.chart.plot.SpiderWebPlot.getBaseSeriesPaint,1,0,1
org.jfree.chart.renderer.AbstractRenderer.getDefaultOutlinePaint,0,1,1
org.jfree.data.gantt.SlidingGanttCategoryDataset.getFirstCategoryIndex,1,0,1
org.jfree.chart.plot.Plot.getBackgroundAlpha,1,0,1
org.jfree.chart.entity.AxisEntity.equals,14,0,14
org.jfree.data.xy.XYRangeInfo.null,0,0,0
org.jfree.data.time.FixedMillisecond.peg,0,0,0
org.jfree.chart.annotations.XYDataImageAnnotation.writeObject,1,0,1
org.jfree.chart.axis.LogAxis.calculateValueNoINF,2,4,6
org.jfree.data.category.SlidingCategoryDataset.getColumnKey,1,0,1
org.jfree.chart.ChartPanel.setZoomInFactor,1,0,1
org.jfree.data.xy.XYBarDataset.getStartXValue,0,1,1
org.jfree.chart.plot.FastScatterPlot.setDomainPannable,0,1,1
org.jfree.chart.util.RelativeDateFormat.parse,1,0,1
org.jfree.chart.plot.dial.DialPointer.<init>,1,2,3
org.jfree.data.xy.MatrixSeries.getItemColumn,0,1,1
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator.<init>,3,0,3
org.jfree.chart.plot.CombinedRangeCategoryPlot.getLegendItems,0,10,10
org.jfree.chart.ui.TextAnchor.isVerticalCenter,0,1,1
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.readObject,0,2,2
org.jfree.chart.editor.DefaultChartEditorFactory.createEditor,1,0,1
org.jfree.data.general.AbstractSeriesDataset.seriesChanged,0,1,1
org.jfree.chart.util.LogFormat.setExponentFormat,0,2,2
org.jfree.chart.ChartPanel.getPopupMenu,1,0,1
org.jfree.chart.title.Title.setPosition,0,4,4
org.jfree.data.general.DefaultPieDataset.sortByValues,2,0,2
org.jfree.chart.renderer.category.CategoryItemRendererState.getVisibleSeriesCount,1,2,3
org.jfree.data.gantt.TaskSeries.<init>,0,2,2
org.jfree.chart.renderer.xy.XYSplineRenderer.equals,2,10,12
org.jfree.data.xy.XYIntervalSeriesCollection.addSeries,0,4,4
org.jfree.data.xy.DefaultWindDataset.getWindDirection,4,0,4
org.jfree.chart.ChartFactory.createPieChart,80,11,91
org.jfree.chart.plot.PiePlot.getLegendItemShape,0,1,1
org.jfree.chart.renderer.RendererState.<init>,0,2,2
org.jfree.chart.editor.DefaultLogAxisEditor.actionPerformed,4,0,4
org.jfree.chart.plot.XYPlot.setDomainGridlinePaint,0,3,3
org.jfree.chart.labels.BubbleXYItemLabelGenerator.getZFormat,1,0,1
org.jfree.chart.plot.XYPlot.findRangeAxisIndex,0,4,4
org.jfree.chart.axis.TickUnit.hashCode,0,2,2
org.jfree.chart.axis.CategoryAnchor.equals,1,7,8
org.jfree.chart.renderer.category.BarRenderer.isDrawBarOutline,0,1,1
org.jfree.chart.plot.dial.DialTextAnnotation.setAngle,0,2,2
org.jfree.chart.renderer.xy.XYBubbleRenderer.equals,2,6,8
org.jfree.chart.axis.NumberAxis.java2DToValue,0,14,14
org.jfree.data.gantt.SlidingGanttCategoryDataset.<init>,0,3,3
org.jfree.chart.renderer.RendererState.getElementHinting,0,1,1
org.jfree.data.category.CategoryToPieDataset.getItemCount,0,7,7
org.jfree.chart.title.TextTitle.getTextAlignment,1,0,1
org.jfree.chart.plot.CombinedDomainXYPlot.isRangePannable,4,0,4
org.jfree.chart.title.LegendTitle.<init>,0,14,14
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getDefaultItemLabelGenerator,1,0,1
org.jfree.chart.block.RectangleConstraint.getHeight,0,1,1
org.jfree.chart.plot.PolarPlot.setRadiusGridlinePaint,0,2,2
org.jfree.chart.entity.XYAnnotationEntity.setRendererIndex,1,0,1
org.jfree.chart.renderer.AreaRendererEndType.equals,1,7,8
org.jfree.data.xy.DefaultXYDataset.getXValue,0,2,2
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.setWhiskerWidth,6,0,6
org.jfree.data.category.IntervalCategoryDataset.null,0,0,0
org.jfree.chart.plot.XYPlot.getDomainMinorGridlineStroke,1,0,1
