class,sc,omc_sc,cov_gap
org.jfree.chart.renderer.xy.XYDotRenderer,62.96296,34.5679,28.395058
org.jfree.chart.renderer.xy.XYShapeRenderer,50.387596,37.984497,12.403099
org.jfree.chart.renderer.xy.VectorRenderer,5.8333335,5.8333335,0.0
org.jfree.chart.labels.StandardPieSectionLabelGenerator,77.27273,63.636364,13.636364
org.jfree.chart.labels.AbstractPieItemLabelGenerator,96.15385,61.538464,34.615383
org.jfree.chart.axis.CategoryTick,91.66667,79.16667,12.5
org.jfree.chart.plot.ValueMarker,88.88889,83.33333,5.555565
org.jfree.chart.text.TextBox,64.210526,1.0526316,63.157894
org.jfree.chart.labels.BubbleXYItemLabelGenerator,56.0,40.0,16.0
org.jfree.data.time.Minute,68.36735,14.285715,54.081635
org.jfree.chart.renderer.xy.XYAreaRenderer,70.14218,32.22749,37.914692
org.jfree.chart.needle.WindNeedle,27.777779,22.222223,5.5555553
org.jfree.chart.axis.NumberTickUnitSource,84.52381,41.666664,42.857147
org.jfree.chart.plot.dial.StandardDialRange,54.761906,41.666664,13.095242
org.jfree.chart.ui.StandardGradientPaintTransformer,50.0,34.615387,15.384613
org.jfree.chart.urls.CustomPieURLGenerator,88.88889,73.333336,15.555557
org.jfree.chart.axis.MarkerAxisBand,42.62295,40.983604,1.6393471
org.jfree.data.general.AbstractSeriesDataset,100.0,57.14286,42.85714
org.jfree.chart.LegendItemCollection,88.2353,76.47059,11.764709
org.jfree.chart.annotations.XYShapeAnnotation,49.333336,33.333336,16.0
org.jfree.data.xy.DefaultTableXYDataset,81.879196,6.0402684,75.83893
org.jfree.chart.axis.CategoryAxis,81.508514,23.600973,57.90754
org.jfree.data.xy.AbstractIntervalXYDataset,100.0,40.0,60.0
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,49.115044,11.504425,37.61062
org.jfree.data.xy.OHLCDataItem,72.72727,12.121212,60.60606
org.jfree.chart.text.TextFragment,74.57627,11.864407,62.711864
org.jfree.chart.entity.StandardEntityCollection,59.25926,51.851852,7.407406
org.jfree.chart.labels.StandardCrosshairLabelGenerator,62.5,12.5,50.0
org.jfree.chart.util.RelativeDateFormat,87.93104,55.172413,32.758625
org.jfree.chart.ui.RectangleEdge,60.465115,6.9767447,53.48837
org.jfree.chart.axis.LogarithmicAxis,17.54386,11.578947,5.9649124
org.jfree.chart.plot.CompassPlot,32.93651,15.079366,17.857143
org.jfree.chart.axis.AxisCollection,88.88889,61.11111,27.777782
org.jfree.data.xy.AbstractXYDataset,100.0,72.72727,27.272728
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,95.2381,66.66667,28.571426
org.jfree.data.general.DatasetUtils,79.72028,25.174826,54.545456
org.jfree.chart.labels.ItemLabelPosition,74.07407,51.851852,22.222221
org.jfree.chart.plot.dial.DialValueIndicator,60.000004,40.0,20.000004
org.jfree.chart.annotations.XYPointerAnnotation,55.555557,42.06349,13.492065
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,80.58252,11.650486,68.93204
org.jfree.chart.axis.DateAxis,77.1757,51.724136,25.451561
org.jfree.chart.plot.dial.StandardDialScale,59.330143,41.148327,18.181816
org.jfree.chart.StandardChartTheme,63.582676,38.976376,24.6063
org.jfree.chart.plot.CategoryPlot,79.84,22.16,57.679996
org.jfree.chart.plot.dial.DialBackground,78.37838,56.75676,21.62162
org.jfree.data.xy.DefaultXYDataset,75.675674,16.216215,59.459457
org.jfree.chart.plot.PiePlot,74.70449,29.432625,45.271866
org.jfree.chart.util.PaintList,83.870964,29.032257,54.838707
org.jfree.chart.title.ShortTextTitle,1.7241379,1.7241379,0.0
org.jfree.chart.plot.PiePlot3D,55.18072,2.8915663,52.289154
org.jfree.chart.labels.ItemLabelAnchor,64.51613,11.290322,53.225807
org.jfree.chart.labels.StandardXYToolTipGenerator,76.92308,46.153847,30.769234
org.jfree.chart.axis.DateTickUnitType,92.59259,29.62963,62.96296
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,23.809525,19.047619,4.7619057
org.jfree.chart.renderer.xy.XYSplineRenderer,17.647058,13.235294,4.411764
org.jfree.chart.annotations.XYPolygonAnnotation,47.368423,32.894737,14.473686
org.jfree.chart.renderer.category.LayeredBarRenderer,40.76433,0.6369427,40.127388
org.jfree.chart.event.RendererChangeEvent,100.0,50.0,50.0
org.jfree.chart.text.G2TextMeasurer,100.0,100.0,0.0
org.jfree.chart.needle.LongNeedle,10.909091,7.272727,3.636364
org.jfree.data.time.TimeSeriesCollection,80.92486,2.8901734,78.03468
org.jfree.chart.text.AttributedStringUtils,92.0,8.0,84.0
org.jfree.chart.axis.DateTick,78.57143,71.42857,7.142853
org.jfree.chart.plot.dial.DialPlot,43.75,26.923079,16.826921
org.jfree.chart.axis.Tick,88.88889,14.814815,74.07408
org.jfree.chart.renderer.xy.XYDifferenceRenderer,16.203703,9.027778,7.1759253
org.jfree.chart.plot.dial.AbstractDialLayer,70.37037,37.037037,33.333332
org.jfree.chart.text.TextBlock,86.36364,27.272728,59.09091
org.jfree.chart.axis.Axis,76.863754,17.73779,59.125965
org.jfree.data.DefaultKeyedValues,90.196075,8.823529,81.37254
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,73.809525,12.698414,61.11111
org.jfree.chart.block.BlockBorder,71.73913,32.608696,39.130432
org.jfree.chart.util.ShapeList,63.333332,20.0,43.333332
org.jfree.chart.labels.StandardXYItemLabelGenerator,69.230774,53.846157,15.384617
org.jfree.chart.ui.Size2D,26.31579,26.31579,0.0
org.jfree.chart.annotations.XYDrawableAnnotation,64.912285,57.894737,7.0175476
org.jfree.chart.imagemap.ImageMapUtils,57.14286,10.714286,46.428574
org.jfree.data.time.Second,54.545456,18.181818,36.36364
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,100.0,50.0,50.0
org.jfree.chart.ui.RectangleInsets,51.82482,40.145985,11.678837
