method,sc,omc_sc,cov_gap
org.jfree.chart.urls.CustomPieURLGenerator.addURLs,100.0,100.0,0.0
org.jfree.chart.plot.CategoryPlot.getRangeAxis,100.0,100.0,0.0
org.jfree.data.general.DatasetUtils.findRangeBounds,86.666664,36.666668,49.999996
org.jfree.chart.plot.MeterPlot.<init>,100.0,100.0,0.0
org.jfree.chart.axis.LogAxis.refreshTicksHorizontal,64.28571,7.1428576,57.142857
org.jfree.data.Range.expandToInclude,71.42857,71.42857,0.0
org.jfree.chart.plot.dial.DialValueIndicator.setOutlineStroke,100.0,33.333336,66.666664
org.jfree.chart.renderer.category.LevelRenderer.equals,80.0,80.0,0.0
org.jfree.data.time.TimeSeries.getItemCount,100.0,100.0,0.0
org.jfree.chart.plot.dial.AbstractDialLayer.<init>,100.0,50.0,50.0
org.jfree.chart.plot.dial.StandardDialScale.setStartAngle,100.0,50.0,50.0
org.jfree.chart.renderer.category.BarRenderer.setMaximumBarWidth,100.0,50.0,50.0
org.jfree.chart.annotations.XYPointerAnnotation.setTipRadius,100.0,50.0,50.0
org.jfree.chart.axis.LogarithmicAxis.valueToJava2D,73.333336,53.333336,20.0
org.jfree.chart.plot.dial.DialValueIndicator.clone,100.0,100.0,0.0
org.jfree.chart.renderer.xy.XYShapeRenderer.setPaintScale,100.0,33.333336,66.666664
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.<init>,100.0,50.0,50.0
org.jfree.chart.block.RectangleConstraint.toUnconstrainedWidth,66.66667,66.66667,0.0
org.jfree.chart.util.CloneUtils.cloneMapValues,90.0,70.0,20.0
org.jfree.chart.plot.PiePlot.getDataset,100.0,100.0,0.0
org.jfree.chart.axis.ExtendedCategoryAxis.setSubLabelFont,100.0,33.333336,66.666664
org.jfree.data.xy.DefaultTableXYDataset.<init>,100.0,50.0,50.0
org.jfree.data.time.Millisecond.getFirstMillisecond,100.0,100.0,0.0
org.jfree.chart.date.SerialDate.createInstance,40.0,40.0,0.0
org.jfree.chart.ChartFactory.createTimeSeriesChart,100.0,55.0,45.0
org.jfree.chart.title.PaintScaleLegend.isStripOutlineVisible,100.0,100.0,0.0
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer.setErrorIndicatorPaint,100.0,50.0,50.0
org.jfree.data.time.Millisecond.peg,100.0,100.0,0.0
org.jfree.chart.block.LabelBlock.setURLText,100.0,100.0,0.0
org.jfree.chart.labels.StandardXYSeriesLabelGenerator.hashCode,100.0,100.0,0.0
org.jfree.chart.LegendItem.setLabelPaint,100.0,100.0,0.0
org.jfree.chart.renderer.AbstractRenderer.notifyListeners,100.0,100.0,0.0
org.jfree.chart.plot.Marker.getLabelOffsetType,100.0,100.0,0.0
org.jfree.chart.annotations.XYTextAnnotation.hashCode,100.0,100.0,0.0
org.jfree.chart.ui.HorizontalAlignment.hashCode,100.0,100.0,0.0
org.jfree.chart.plot.ThermometerPlot.setValueFont,100.0,50.0,50.0
org.jfree.chart.labels.IntervalCategoryToolTipGenerator.<init>,100.0,33.333336,66.666664
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator.equals,60.000004,60.000004,0.0
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator.<init>,100.0,33.333336,66.666664
org.jfree.chart.plot.CategoryPlot.calculateAxisSpace,100.0,100.0,0.0
org.jfree.chart.entity.ChartEntity.writeObject,100.0,100.0,0.0
org.jfree.chart.annotations.XYPointerAnnotation.hashCode,100.0,100.0,0.0
org.jfree.chart.plot.dial.StandardDialScale.setMinorTickCount,75.0,25.0,50.0
org.jfree.chart.renderer.category.BarRenderer.equals,96.875,93.75,3.125
org.jfree.chart.renderer.category.BarRenderer.setDrawBarOutline,100.0,50.0,50.0
org.jfree.chart.annotations.CategoryTextAnnotation.equals,85.71429,85.71429,0.0
org.jfree.chart.plot.dial.DialValueIndicator.hashCode,100.0,100.0,0.0
org.jfree.chart.plot.XYPlot.getIndexOf,75.0,50.0,25.0
org.jfree.chart.util.DefaultShadowGenerator.<init>,85.71429,71.42857,14.285713
org.jfree.chart.axis.ExtendedCategoryAxis.<init>,100.0,75.0,25.0
org.jfree.chart.title.DateTitle.<init>,100.0,100.0,0.0
org.jfree.chart.JFreeChart.setPadding,100.0,33.333336,66.666664
org.jfree.chart.renderer.xy.XYStepAreaRenderer.setShapesVisible,100.0,50.0,50.0
org.jfree.data.xy.XYBarDataset.<init>,100.0,33.333336,66.666664
org.jfree.chart.renderer.DefaultPolarItemRenderer.clone,71.42857,42.857143,28.57143
org.jfree.chart.plot.Plot.resolveRangeAxisLocation,61.538464,42.307693,19.23077
org.jfree.chart.date.SpreadsheetDate.getYYYY,100.0,100.0,0.0
org.jfree.data.general.AbstractDataset.hasListener,100.0,50.0,50.0
org.jfree.chart.ChartRenderingInfo.clone,100.0,100.0,0.0
org.jfree.chart.block.RectangleConstraint.calculateConstrainedSize,100.0,73.07692,26.92308
org.jfree.chart.renderer.category.GanttRenderer.setStartPercent,100.0,50.0,50.0
org.jfree.chart.StandardChartTheme.applyToCategoryItemRenderer,75.0,25.0,50.0
org.jfree.chart.renderer.LookupPaintScale.add,100.0,100.0,0.0
org.jfree.chart.plot.MultiplePiePlot.clone,100.0,80.0,20.0
org.jfree.chart.plot.Marker.setPaint,100.0,100.0,0.0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getToolTipGenerator,100.0,50.0,50.0
org.jfree.chart.renderer.xy.StandardXYItemRenderer.setPlotImages,100.0,66.66667,33.33333
org.jfree.chart.title.LegendGraphic.setLineVisible,100.0,100.0,0.0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getSeriesItemURLGenerator,100.0,50.0,50.0
org.jfree.chart.labels.StandardXYItemLabelGenerator.<init>,66.66667,50.0,16.666672
org.jfree.chart.axis.DateAxis.java2DToValue,100.0,81.25,18.75
org.jfree.chart.plot.ValueMarker.<init>,80.0,80.0,0.0
org.jfree.chart.plot.XYPlot.getRendererCount,100.0,100.0,0.0
org.jfree.data.time.TimeSeriesCollection.<init>,90.909096,27.272728,63.636368
org.jfree.chart.title.Title.<init>,92.30769,61.538464,30.76923
org.jfree.data.time.RegularTimePeriod.getEnd,100.0,100.0,0.0
org.jfree.data.DefaultKeyedValues2D.getRowIndex,100.0,50.0,50.0
org.jfree.chart.plot.XYPlot.getDomainAxis,100.0,37.5,62.5
org.jfree.chart.block.AbstractBlock.setBounds,100.0,50.0,50.0
org.jfree.chart.renderer.AbstractRenderer.setDefaultStroke,100.0,60.000004,39.999996
org.jfree.chart.renderer.xy.GradientXYBarPainter.<init>,100.0,75.0,25.0
org.jfree.chart.annotations.CategoryLineAnnotation.equals,88.88889,88.88889,0.0
org.jfree.chart.plot.DefaultDrawingSupplier.equals,96.15385,92.30769,3.8461533
org.jfree.chart.axis.PeriodAxis.<init>,100.0,79.16667,20.833328
org.jfree.chart.renderer.xy.XYShapeRenderer.setUseFillPaint,100.0,50.0,50.0
org.jfree.chart.renderer.category.GroupedStackedBarRenderer.equals,75.0,62.5,12.5
org.jfree.chart.ui.RectangleInsets.calculateTopInset,75.0,50.0,25.0
org.jfree.chart.plot.PiePlot.setShadowGenerator,100.0,50.0,50.0
org.jfree.chart.annotations.TextAnnotation.<init>,100.0,12.5,87.5
org.jfree.data.xy.XYDataItem.compareTo,90.909096,63.636364,27.272732
org.jfree.chart.urls.TimeSeriesURLGenerator.<init>,100.0,44.444447,55.555553
org.jfree.chart.annotations.XYPointerAnnotation.<init>,100.0,88.88889,11.111107
org.jfree.chart.axis.NumberTick.<init>,100.0,25.0,75.0
org.jfree.data.time.TimeSeriesDataItem.clone,80.0,40.0,40.0
org.jfree.chart.JFreeChart.setBorderStroke,100.0,50.0,50.0
org.jfree.data.category.DefaultCategoryDataset.addValue,100.0,100.0,0.0
org.jfree.chart.axis.NumberAxis.estimateMaximumTickLabelWidth,76.190475,57.14286,19.047615
org.jfree.chart.plot.FastScatterPlot.clone,91.66667,50.0,41.66667
org.jfree.chart.axis.CategoryAnchor.toString,100.0,100.0,0.0
org.jfree.chart.entity.XYItemEntity.setSeriesIndex,100.0,100.0,0.0
org.jfree.data.KeyedObjects.getObject,100.0,66.66667,33.33333
org.jfree.chart.axis.CategoryLabelPositions.equals,85.71429,78.57143,7.1428604
org.jfree.data.time.Month.previous,85.71429,42.857143,42.857143
org.jfree.chart.entity.PieSectionEntity.setSectionKey,100.0,100.0,0.0
org.jfree.chart.labels.StandardXYItemLabelGenerator.clone,100.0,100.0,0.0
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2.equals,75.0,75.0,0.0
org.jfree.chart.plot.dial.StandardDialScale.clone,100.0,100.0,0.0
org.jfree.chart.LegendItem.getDatasetIndex,100.0,100.0,0.0
org.jfree.chart.plot.CategoryPlot.getCategoriesForAxis,100.0,62.5,37.5
org.jfree.chart.renderer.xy.CandlestickRenderer.setUpPaint,100.0,50.0,50.0
org.jfree.data.xy.XYSeries.getMaxX,100.0,100.0,0.0
org.jfree.chart.labels.ItemLabelAnchor.equals,87.5,75.0,12.5
org.jfree.chart.axis.LogAxis.equals,68.75,68.75,0.0
org.jfree.chart.plot.Crosshair.setVisible,100.0,33.333336,66.666664
org.jfree.chart.annotations.XYPointerAnnotation.setArrowPaint,100.0,33.333336,66.666664
org.jfree.chart.renderer.xy.DeviationRenderer.<init>,100.0,75.0,25.0
org.jfree.chart.axis.Axis.createAndAddEntity,85.71429,28.57143,57.142857
org.jfree.data.category.DefaultIntervalCategoryDataset.generateKeys,100.0,83.33333,16.666672
org.jfree.chart.JFreeChart.equals,90.625,87.5,3.125
org.jfree.chart.axis.DateAxis.setRange,72.72727,36.363636,36.363636
org.jfree.chart.plot.PolarPlot.setRadiusGridlinesVisible,100.0,66.66667,33.33333
org.jfree.chart.plot.dial.StandardDialRange.setPaint,100.0,33.333336,66.666664
org.jfree.data.statistics.DefaultMultiValueCategoryDataset.getRowIndex,100.0,100.0,0.0
org.jfree.chart.title.LegendTitle.draw,96.0,16.0,80.0
org.jfree.chart.urls.CustomPieURLGenerator.<init>,100.0,100.0,0.0
org.jfree.chart.title.TextTitle.setBackgroundPaint,100.0,50.0,50.0
org.jfree.chart.axis.NumberAxis.<init>,100.0,87.5,12.5
org.jfree.chart.renderer.AbstractRenderer.getDefaultOutlinePaint,100.0,100.0,0.0
org.jfree.data.category.DefaultIntervalCategoryDataset.getRowKey,66.66667,33.333336,33.333336
org.jfree.chart.labels.BubbleXYItemLabelGenerator.generateLabelString,85.71429,28.57143,57.142857
org.jfree.chart.block.LabelBlock.<init>,80.0,80.0,0.0
org.jfree.chart.util.RelativeDateFormat.setMinuteFormatter,100.0,50.0,50.0
org.jfree.chart.plot.SpiderWebPlot.setDirection,100.0,33.333336,66.666664
org.jfree.data.xy.XYSeriesCollection.getSeriesKey,100.0,100.0,0.0
org.jfree.chart.plot.dial.StandardDialFrame.clone,100.0,100.0,0.0
org.jfree.chart.ui.RectangleInsets.getTop,100.0,100.0,0.0
org.jfree.chart.renderer.xy.CandlestickRenderer.getDownPaint,100.0,100.0,0.0
org.jfree.chart.plot.FastScatterPlot.setDomainPannable,100.0,100.0,0.0
org.jfree.chart.axis.LogarithmicAxis.getAllowNegativesFlag,100.0,100.0,0.0
org.jfree.chart.HashUtils.hashCodeForDoubleArray,87.5,75.0,12.5
org.jfree.chart.entity.PieSectionEntity.setDataset,100.0,100.0,0.0
org.jfree.chart.plot.CategoryPlot.cloneMarkerMap,55.555557,55.555557,0.0
org.jfree.chart.util.LogFormat.setExponentFormat,100.0,50.0,50.0
org.jfree.chart.plot.DefaultDrawingSupplier.getNextStroke,100.0,33.333336,66.666664
org.jfree.chart.title.Title.setPosition,100.0,75.0,25.0
org.jfree.chart.util.AbstractObjectList.<init>,100.0,75.0,25.0
org.jfree.chart.renderer.category.ScatterRenderer.setDrawOutlines,100.0,50.0,50.0
org.jfree.chart.StandardChartTheme.applyToXYPlot,65.85366,34.146343,31.707317
org.jfree.chart.plot.XYPlot.getDatasetsMappedToDomainAxis,100.0,72.72727,27.272728
org.jfree.chart.block.BlockParams.getGenerateEntities,100.0,100.0,0.0
org.jfree.chart.renderer.category.BarRenderer.getDefaultShadowsVisible,100.0,100.0,0.0
org.jfree.chart.renderer.AbstractRenderer.hasListener,100.0,100.0,0.0
org.jfree.chart.plot.CategoryPlot.datasetsMappedToDomainAxis,84.61539,76.92308,7.6923065
org.jfree.chart.plot.XYPlot.setDomainAxis,100.0,23.076923,76.92308
org.jfree.chart.annotations.XYDrawableAnnotation.<init>,100.0,77.77778,22.222221
org.jfree.chart.renderer.xy.XYSplineRenderer.equals,83.33333,83.33333,0.0
org.jfree.chart.ChartFactory.createPieChart,12.087913,10.989011,1.0989017
org.jfree.chart.plot.Marker.setLabelAnchor,100.0,100.0,0.0
org.jfree.chart.renderer.category.LayeredBarRenderer.<init>,100.0,50.0,50.0
org.jfree.chart.plot.CategoryMarker.getKey,100.0,100.0,0.0
org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount,100.0,100.0,0.0
org.jfree.chart.plot.dial.StandardDialScale.setMinorTickLength,75.0,25.0,50.0
org.jfree.chart.plot.XYPlot.findRangeAxisIndex,100.0,100.0,0.0
org.jfree.chart.title.LegendGraphic.readObject,100.0,100.0,0.0
org.jfree.chart.StandardChartTheme.setGridBandAlternatePaint,100.0,50.0,50.0
org.jfree.chart.plot.Marker.getOutlinePaint,100.0,100.0,0.0
org.jfree.chart.title.LegendGraphic.isShapeOutlineVisible,100.0,100.0,0.0
org.jfree.chart.axis.PeriodAxisLabelInfo.createInstance,100.0,60.000004,39.999996
org.jfree.chart.axis.CategoryAnchor.equals,87.5,75.0,12.5
org.jfree.chart.renderer.category.BarRenderer.isDrawBarOutline,100.0,100.0,0.0
org.jfree.chart.plot.dial.DialTextAnnotation.setAngle,100.0,50.0,50.0
org.jfree.chart.plot.CategoryPlot.datasetsMappedToRangeAxis,100.0,72.72727,27.272728
org.jfree.chart.renderer.xy.XYBubbleRenderer.equals,75.0,75.0,0.0
org.jfree.chart.renderer.AbstractRenderer.setDefaultItemLabelsVisible,100.0,75.0,25.0
org.jfree.chart.axis.NumberAxis.java2DToValue,100.0,85.71429,14.285713
org.jfree.chart.title.LegendTitle.<init>,100.0,85.71429,14.285713
org.jfree.chart.block.GridArrangement.equals,80.0,80.0,0.0
org.jfree.chart.plot.MultiplePiePlot.setAggregatedItemsKey,100.0,33.333336,66.666664
org.jfree.chart.axis.CategoryAxis.addCategoryLabelURL,100.0,33.333336,66.666664
org.jfree.chart.block.RectangleConstraint.getHeight,100.0,100.0,0.0
org.jfree.chart.plot.PolarPlot.setRadiusGridlinePaint,100.0,50.0,50.0
org.jfree.chart.axis.CyclicNumberAxis.setAdvanceLineVisible,100.0,100.0,0.0
org.jfree.chart.plot.CombinedDomainXYPlot.plotChanged,100.0,100.0,0.0
org.jfree.data.xy.DefaultXYDataset.getXValue,100.0,100.0,0.0
org.jfree.chart.labels.HighLowItemLabelGenerator.clone,100.0,100.0,0.0
org.jfree.chart.block.BorderArrangement.arrangeFN,100.0,77.41935,22.58065
org.jfree.chart.title.TextTitle.setFont,100.0,75.0,25.0
org.jfree.chart.util.ObjectList.set,100.0,100.0,0.0
org.jfree.chart.renderer.AbstractRenderer.writeObject,100.0,70.0,30.0
org.jfree.chart.axis.PeriodAxisLabelInfo.writeObject,100.0,25.0,75.0
org.jfree.chart.renderer.RendererUtils.findLiveItemsLowerBound,97.77778,26.666668,71.111115
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setLegendItemToolTipGenerator,100.0,50.0,50.0
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.setShapeStroke,100.0,50.0,50.0
org.jfree.data.xy.DefaultXYZDataset.indexOf,100.0,100.0,0.0
org.jfree.data.KeyedObjects2D.<init>,100.0,100.0,0.0
org.jfree.chart.plot.PiePlot.setLabelGenerator,100.0,50.0,50.0
org.jfree.chart.panel.CrosshairOverlay.equals,70.0,60.000004,9.999996
org.jfree.chart.plot.ThermometerPlot.setValueFormat,100.0,33.333336,66.666664
org.jfree.chart.block.BorderArrangement.arrangeFF,100.0,2.631579,97.36842
org.jfree.chart.renderer.category.LineAndShapeRenderer.getLegendItem,84.375,25.0,59.375
org.jfree.chart.date.SerialDate.lastDayOfMonth,100.0,83.33333,16.666672
org.jfree.chart.renderer.xy.HighLowRenderer.setOpenTickPaint,100.0,50.0,50.0
org.jfree.chart.plot.MeterPlot.setTickLabelsVisible,100.0,66.66667,33.33333
org.jfree.chart.axis.DateAxis.previousStandardDate,96.82539,86.507935,10.317459
org.jfree.chart.plot.XYPlot.getDomainAxisEdge,100.0,66.66667,33.33333
org.jfree.chart.annotations.XYTitleAnnotation.<init>,100.0,72.72727,27.272728
org.jfree.chart.labels.CustomXYToolTipGenerator.equals,78.57143,35.714287,42.85714
org.jfree.chart.plot.PiePlot.setLabelOutlineStroke,100.0,50.0,50.0
org.jfree.chart.urls.CustomCategoryURLGenerator.clone,100.0,100.0,0.0
org.jfree.chart.axis.NumberAxis.setNumberFormatOverride,100.0,50.0,50.0
org.jfree.data.xy.XYDataItem.getXValue,100.0,100.0,0.0
org.jfree.chart.entity.ChartEntity.equals,83.33333,83.33333,0.0
org.jfree.chart.renderer.AbstractRenderer.lookupSeriesFillPaint,100.0,100.0,0.0
org.jfree.chart.plot.Marker.getLabelTextAnchor,100.0,100.0,0.0
org.jfree.chart.plot.SpiderWebPlot.setBaseSeriesPaint,100.0,33.333336,66.666664
org.jfree.chart.plot.PiePlot.<init>,100.0,93.02326,6.976738
org.jfree.chart.ui.RectangleInsets.equals,75.0,68.75,6.25
org.jfree.chart.block.AbstractBlock.<init>,100.0,71.42857,28.571426
org.jfree.chart.axis.PeriodAxisLabelInfo.clone,100.0,100.0,0.0
org.jfree.data.general.AbstractDataset.readObject,100.0,33.333336,66.666664
org.jfree.chart.axis.DateAxis.setTickUnit,100.0,33.333336,66.666664
org.jfree.chart.axis.ValueAxis.getMinorTickCount,100.0,100.0,0.0
org.jfree.chart.plot.dial.DialPointer.clone,100.0,100.0,0.0
org.jfree.chart.annotations.XYLineAnnotation.writeObject,100.0,33.333336,66.666664
org.jfree.chart.title.LegendGraphic.setLine,100.0,100.0,0.0
org.jfree.chart.panel.CrosshairOverlay.addDomainCrosshair,100.0,25.0,75.0
org.jfree.chart.plot.PiePlot3D.equals,90.0,80.0,10.0
org.jfree.chart.title.LegendTitle.setLegendItemGraphicEdge,100.0,33.333336,66.666664
org.jfree.chart.plot.CategoryPlot.getRangeAxisLocation,80.0,40.0,40.0
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator.hashCode,100.0,100.0,0.0
org.jfree.chart.plot.MeterPlot.setDrawBorder,100.0,50.0,50.0
org.jfree.chart.axis.ValueAxis.readObject,100.0,100.0,0.0
org.jfree.chart.annotations.CategoryTextAnnotation.getCategory,100.0,100.0,0.0
org.jfree.chart.plot.SpiderWebPlot.setBaseSeriesOutlinePaint,100.0,33.333336,66.666664
org.jfree.chart.renderer.category.MinMaxCategoryRenderer.setGroupPaint,100.0,33.333336,66.666664
org.jfree.chart.renderer.category.CategoryStepRenderer.equals,75.0,75.0,0.0
org.jfree.chart.plot.PolarPlot.setFixedLegendItems,100.0,50.0,50.0
org.jfree.chart.labels.StandardXYToolTipGenerator.clone,100.0,100.0,0.0
org.jfree.chart.plot.MeterPlot.getDrawBorder,100.0,100.0,0.0
org.jfree.chart.renderer.xy.XYAreaRenderer.getLegendItem,88.0,36.0,52.0
org.jfree.data.xy.OHLCDataItem.getLow,100.0,100.0,0.0
org.jfree.chart.plot.SpiderWebPlot.setLabelGenerator,100.0,50.0,50.0
org.jfree.chart.util.ShapeList.equals,80.0,50.0,30.0
org.jfree.data.general.DatasetUtils.findStackedRangeBounds,98.64865,51.35135,47.297302
org.jfree.chart.plot.MultiplePiePlot.setLegendItemShape,100.0,33.333336,66.666664
org.jfree.chart.ui.RectangleInsets.calculateBottomInset,75.0,50.0,25.0
org.jfree.chart.renderer.xy.XYAreaRenderer.setUseFillPaint,100.0,50.0,50.0
org.jfree.chart.plot.PiePlot.setShadowYOffset,100.0,50.0,50.0
org.jfree.chart.renderer.category.LineAndShapeRenderer.getDefaultLinesVisible,100.0,100.0,0.0
org.jfree.chart.plot.CategoryPlot.getDomainAxisIndex,100.0,60.000004,39.999996
org.jfree.chart.labels.AbstractXYItemLabelGenerator.clone,100.0,80.0,20.0
org.jfree.chart.title.LegendGraphic.hashCode,100.0,100.0,0.0
org.jfree.chart.axis.AxisLocation.hashCode,100.0,100.0,0.0
org.jfree.data.time.Second.<init>,100.0,35.294117,64.70589
org.jfree.data.time.Day.compareTo,62.5,50.0,12.5
org.jfree.chart.annotations.XYLineAnnotation.hashCode,100.0,81.818184,18.181816
org.jfree.chart.axis.SymbolAxis.setGridBandPaint,100.0,33.333336,66.666664
org.jfree.chart.axis.PeriodAxis.createInstance,62.5,37.5,25.0
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer.findRangeBounds,100.0,100.0,0.0
org.jfree.chart.axis.TickUnit.<init>,100.0,66.66667,33.33333
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getPlot,100.0,100.0,0.0
org.jfree.chart.plot.MeterPlot.setValueFont,100.0,33.333336,66.666664
org.jfree.chart.axis.ValueAxis.clone,100.0,100.0,0.0
org.jfree.chart.axis.PeriodAxisLabelInfo.readObject,100.0,100.0,0.0
org.jfree.chart.block.LabelBlock.setTextAnchor,100.0,100.0,0.0
org.jfree.chart.date.SpreadsheetDate.getMonth,100.0,100.0,0.0
org.jfree.chart.annotations.XYBoxAnnotation.<init>,80.0,70.0,10.0
org.jfree.chart.renderer.xy.CandlestickRenderer.getDrawVolume,100.0,100.0,0.0
org.jfree.chart.renderer.xy.XYDotRenderer.equals,83.33333,83.33333,0.0
org.jfree.data.xy.XYSeriesCollection.addSeries,100.0,28.57143,71.42857
org.jfree.chart.block.BorderArrangement.arrangeRR,76.08696,50.0,26.08696
org.jfree.chart.title.TextTitle.setToolTipText,100.0,50.0,50.0
org.jfree.chart.plot.CategoryMarker.setDrawAsLine,100.0,100.0,0.0
org.jfree.chart.renderer.xy.StandardXYItemRenderer.clone,100.0,100.0,0.0
org.jfree.chart.entity.StandardEntityCollection.clear,100.0,100.0,0.0
org.jfree.data.general.DatasetUtils.calculatePieDatasetTotal,100.0,14.285715,85.71429
org.jfree.chart.labels.StandardCategoryToolTipGenerator.<init>,100.0,66.66667,33.33333
org.jfree.chart.axis.ValueAxis.setLowerMargin,100.0,75.0,25.0
org.jfree.data.Range.combine,100.0,57.14286,42.85714
org.jfree.chart.block.AbstractBlock.clone,66.66667,50.0,16.666672
org.jfree.chart.block.BlockParams.setGenerateEntities,100.0,100.0,0.0
org.jfree.chart.labels.ItemLabelPosition.<init>,100.0,55.555557,44.444443
org.jfree.chart.JFreeChart.readObject,100.0,7.692308,92.30769
org.jfree.chart.plot.PiePlot.setLabelLinkPaint,100.0,33.333336,66.666664
org.jfree.data.general.DefaultPieDataset.equals,71.42857,33.333336,38.095238
org.jfree.chart.plot.CategoryPlot.equals,100.0,34.31373,65.68627
org.jfree.chart.renderer.xy.XYShapeRenderer.findRangeBounds,71.42857,71.42857,0.0
org.jfree.chart.urls.StandardCategoryURLGenerator.generateURL,90.0,20.0,70.0
org.jfree.chart.LegendItem.setLinePaint,100.0,50.0,50.0
org.jfree.chart.plot.PiePlot.writeObject,100.0,23.076923,76.92308
org.jfree.chart.plot.Plot.fireChangeEvent,100.0,100.0,0.0
org.jfree.chart.renderer.xy.CandlestickRenderer.getUseOutlinePaint,100.0,100.0,0.0
org.jfree.data.time.Month.<init>,88.2353,47.058823,41.176476
org.jfree.chart.util.PaintUtils.equal,68.42105,68.42105,0.0
org.jfree.chart.axis.DateAxis.getDateFormatOverride,100.0,100.0,0.0
org.jfree.chart.plot.PolarPlot.equals,86.36364,86.36364,0.0
org.jfree.data.category.DefaultCategoryDataset.<init>,100.0,100.0,0.0
org.jfree.data.general.DatasetUtils.findZBounds,57.14286,28.57143,28.57143
org.jfree.chart.axis.CategoryAxis.setMaximumCategoryLabelWidthRatio,100.0,50.0,50.0
