class,missed_branch, covered_branch, total_branch  
org.jsoup.parser.TokeniserState$56,5,1,6
org.jsoup.parser.TokeniserState$57,3,2,5
org.jsoup.parser.TokeniserState$58,5,0,5
org.jsoup.parser.HtmlTreeBuilderState$18,3,15,18
org.jsoup.select.StructuralEvaluator$ImmediateParent,1,5,6
org.jsoup.helper.DataUtil,20,64,84
org.jsoup.parser.TokeniserState$59,4,2,6
org.jsoup.parser.HtmlTreeBuilderState$19,15,15,30
org.jsoup.parser.TokeniserState$52,3,3,6
org.jsoup.parser.HtmlTreeBuilderState$16,24,23,47
org.jsoup.parser.TokeniserState$53,3,4,7
org.jsoup.parser.HtmlTreeBuilderState$17,10,0,10
org.jsoup.parser.TokeniserState$54,5,5,10
org.jsoup.parser.TreeBuilder,2,8,10
org.jsoup.parser.HtmlTreeBuilderState$14,9,13,22
org.jsoup.parser.TokeniserState$55,5,1,6
org.jsoup.parser.HtmlTreeBuilderState$15,4,20,24
org.jsoup.parser.TokeniserState$50,5,0,5
org.jsoup.parser.TokeniserState$51,2,2,4
org.jsoup.select.Evaluator$IsOnlyOfType,0,10,10
org.jsoup.parser.Parser,0,8,8
org.jsoup.select.Evaluator$IsEmpty,2,6,8
org.jsoup.nodes.Entities$CoreCharset,0,4,4
org.jsoup.select.Evaluator$AttributeWithValueMatching,0,4,4
org.jsoup.safety.Cleaner,0,8,8
org.jsoup.nodes.Element,14,156,170
org.jsoup.examples.ListLinks,12,0,12
org.jsoup.parser.HtmlTreeBuilderState$12,10,10,20
org.jsoup.parser.HtmlTreeBuilderState$13,4,19,23
org.jsoup.helper.HttpConnection,15,9,24
org.jsoup.parser.HtmlTreeBuilderState$10,2,10,12
org.jsoup.parser.HtmlTreeBuilderState$11,5,17,22
org.jsoup.safety.Whitelist$TypedValue,8,6,14
org.jsoup.select.NodeTraversor,1,9,10
org.jsoup.select.StructuralEvaluator$Has,0,6,6
org.jsoup.parser.TokeniserState$63,3,2,5
org.jsoup.nodes.Node$OuterHtmlVisitor,0,2,2
